Position,song,artist
1,Lie,Kizz Daniel
2,Peru,Fireboy DML
3,Bloody Samaritan,Ayra Starr
4,Let Me Know,Mayorkun
5,Understand,Omah Lay
6,Monalisa,Lojay and  Sarz
7,Essence (feat. Justin Bieber & Tems),Wizkid
8,Sinner,Adekunle Gold and  Lucky Daye
9,Ojuju,Troniq Music and  Oxlade
10,Feel Good,MohBad
11,Bounce,Ruger
12,Outside,Buju
13,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],DJ Tarico and  Burna Boy
14,Big Thug Boys,AV
15,Feeling,LADIPOE and  Buju
16,Naira Marley,Zinoleesky
17,Medicine,Jaywillz
18,Somebody’s Son (feat. Brandy),Tiwa Savage
19,Fashion Killer,Ayra Starr
20,Confident,Savage and  Buju
21,Tales By Moonlight (feat. Amaarae),Tiwa Savage
22,Cocaine,Dai Verse
23,Rock,Olamide
24,Pay Me,Troniq Music and  Oxlade
25,Soundgasm,Rema
26,Testimony,Buju
27,Essence (feat. Tems),Wizkid
28,Party Next Door,Dangbana Republik and  Bella Shmurda
29,Work Fada (feat. Nas & Rich King),Tiwa Savage
30,More,Troniq Music and  Oxlade
31,System,Dave and  Wizkid
32,Cast (Gen Z Anthem),Ayra Starr
33,Bling (feat. Amaarae & Buju),Blaqbonez
34,Dimension (feat. Skepta & Rema),JAE5
35,Beggie Beggie (feat. Ckay),Ayra Starr
36,Special Kinda (feat. Tay Iwar),Tiwa Savage
37,Coming,Naira Marley and  Busiswa
38,Clash,Dave and  Stormzy
39,Incomplete,Troniq Music and  Oxlade
40,Ginger (feat. Burna Boy),Wizkid
41,Show Me,Joeboy
42,Tonongo,Lojay and  Sarz
43,Ade Ori,Tiwa Savage
44,Lazarus,Dave and  Boj
45,Alubarika (feat. Buju),Zlatan
46,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid
47,Pronto,Ajebo Hustlers and  Omah Lay
48,HUSTLE,Teni
49,It Is What It Is,Adekunle Gold
50,Drug Test,Naira Marley
51,Need To Know,Doja Cat
52,Mercy,Falz
53,Felony,CKay
54,Abu Dhabi,Ruger
55,Southy Love (feat. Fireboy DML),Peruzzi
56,Far Away,Dangbana Republik and  Bella Shmurda
57,La La (feat. CKay),Davido
58,INDUSTRY BABY,Lil Nas X and  Jack Harlow
59,Lonely,Ayra Starr
60,Kilometre,Burna Boy
61,Colorado,Zugo and  Dai Verse
62,LV N ATTN feat. Wizkid,Lojay and  Sarz
63,Ke Star (feat. Virgo Deep) [Remix],Focalistic and  Davido
64,Bridgertn,Ayra Starr
65,Pray,Victony
66,23,Burna Boy
67,Rush,Dangbana Republik and  Bella Shmurda
68,STAY,The Kid LAROI and  Justin Bieber
69,Reckless,Wizkid
70,Snitch (feat. Fousheé),Ayra Starr
71,Way Too Big,Burna Boy
72,World,Dangbana Republik and  Bella Shmurda
73,Forever (Remix),Gyakie and  Omah Lay
74,Bank On It,Burna Boy
75,Chosen (feat. Ty Dolla $ign),Blxst and  Tyga
76,Loved By You (feat. Burna Boy),Justin Bieber
77,Early Momo (feat. GoodGirl LA),Vector
78,Petite,NSG
79,Out There,Dangbana Republik and  Bella Shmurda
80,Celebrate Me,Patoranking
81,Karma,Ayra Starr
82,Bounce,Rema
83,History,Cheque and  Fireboy DML
84,Kilofeshe,Zinoleesky
85,Toxic,Ayra Starr
86,Focus,Joeboy
87,Wade In the Water (Live),The Spirituals
88,Real Life (feat. Stormzy),Burna Boy
89,True Love (feat. Tay Iwar & Projexx),Wizkid
90,Late At Night,Roddy Ricch
91,The Best (feat. Mayorkun),Davido
92,Sweet One,Wizkid
93,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
94,Longtime (feat. Skepta),Wizkid
95,Solace,Ajebo Hustlers
96,Running (To You),Chike and  Simi
97,Lakiriboto,Liya and  Davido
98,RAPSTAR,Polo G
99,KOLO (feat. Oxlade),Ice Prince
100,In Between,Ayra Starr
