Position,song,artist
1,Understand,Omah Lay
2,System,Dave and  Wizkid
3,Sinner,Adekunle Gold and  Lucky Daye
4,Monalisa,Lojay and  Sarz
5,Bounce,Ruger
6,Peru,Fireboy DML
7,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],DJ Tarico and  Burna Boy
8,Lazarus,Dave and  Boj
9,Outside,Buju
10,Feeling,LADIPOE and  Buju
11,Clash,Dave and  Stormzy
12,Feel Good,MohBad
13,Big Thug Boys,AV
14,Confident,Savage and  Buju
15,Testimony,Buju
16,Rock,Olamide
17,Soundgasm,Rema
18,Naira Marley,Zinoleesky
19,Essence (feat. Tems),Wizkid
20,We're All Alone,Dave
21,Medicine,Jaywillz
22,Verdansk,Dave
23,Law Of Attraction,Dave and  Snoh Aalegra
24,Party Next Door,Dangbana Republik and  Bella Shmurda
25,In The Fire,Dave
26,INDUSTRY BABY,Lil Nas X and  Jack Harlow
27,Both Sides Of A Smile,Dave and  James Blake
28,Bling (feat. Amaarae & Buju),Blaqbonez
29,Dimension (feat. Skepta & Rema),JAE5
30,Twenty To One,Dave
31,Far Away,Dangbana Republik and  Bella Shmurda
32,Tonongo,Lojay and  Sarz
33,Show Me,Joeboy
34,Three Rivers,Dave
35,Heart Attack,Dave
36,Pronto,Ajebo Hustlers and  Omah Lay
37,Coming,Naira Marley and  Busiswa
38,Cocaine,Dai Verse
39,Abu Dhabi,Ruger
40,LV N ATTN feat. Wizkid,Lojay and  Sarz
41,Ginger (feat. Burna Boy),Wizkid
42,Out There,Dangbana Republik and  Bella Shmurda
43,HUSTLE,Teni
44,Survivor's Guilt,Dave
45,Rush,Dangbana Republik and  Bella Shmurda
46,Call Me Baby,Cheque
47,World,Dangbana Republik and  Bella Shmurda
48,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid
49,Solace,Ajebo Hustlers
50,It Is What It Is,Adekunle Gold
51,Felony,CKay
52,It Ain't Me Tiktok (feat. Dj Abux) [Remix],Eduardo XD
53,La La (feat. CKay),Davido
54,Kilometre,Burna Boy
55,Professor Peller (feat. Zlatan),Seyi Vibez
56,Ke Star (feat. Virgo Deep) [Remix],Focalistic and  Davido
57,Forever (Remix),Gyakie and  Omah Lay
58,Southy Love (feat. Fireboy DML),Peruzzi
59,History,Cheque and  Fireboy DML
60,Bank On It,Burna Boy
61,23,Burna Boy
62,Unforgiving,Yung Bleu and  Davido
63,Yafun Yafun,Ajebo Hustlers
64,Jailer (feat. Jaywillz),Olamide
65,Celebrate Me,Patoranking
66,Late At Night,Roddy Ricch
67,Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke
68,Early Momo (feat. GoodGirl LA),Vector
69,Loved By You (feat. Burna Boy),Justin Bieber
70,Focus,Joeboy
71,The Best (feat. Mayorkun),Davido
72,Somebody Baby,Davido and  Peruzzi
73,Way Too Big,Burna Boy
74,Julie,Olamide
75,Unconditionally,Ajebutter 22 and  Oxlade
76,Bounce,Rema
77,Reckless,Wizkid
78,Soldier Go,Dangbana Republik and  Bella Shmurda
79,KOLO (feat. Oxlade),Ice Prince
80,Lako,Dangbana Republik and  Bella Shmurda
81,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
82,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne and  Russ Millions
83,Bout A Million (feat. 21 Savage & 42 Dugg),Pop Smoke
84,Real Life (feat. Stormzy),Burna Boy
85,Champion,Dangbana Republik and  Bella Shmurda
86,Sweet One,Wizkid
87,RAPSTAR,Polo G
88,Running (To You),Chike and  Simi
89,Gone Girl,Obongjayar and  Sarz
90,Oliver Twist,ArrDee
91,Longtime (feat. Skepta),Wizkid
92,FOR YOU (feat. Davido),Teni
93,Symbiosis (feat. Nissi),Ajebo Hustlers
94,No Stress,Wizkid
95,PonPon (feat. Fave),Olamide
96,INJURE ME,Teni
97,Godly,Omah Lay
98,Need To Know,Doja Cat
99,Shopping Spree (feat. Chris Brown & Young Thug),Davido
100,Kilofeshe,Zinoleesky
