Position,song,artist
1,Mood (feat. Buju),Wizkid
2,Bloody Samaritan,Ayra Starr
3,Peru,Fireboy DML
4,High,Adekunle Gold and  Davido
5,Anoti,Wizkid
6,Lie,Kizz Daniel
7,Fountains (feat. Tems),Drake
8,Girls Want Girls (feat. Lil Baby),Drake
9,Understand,Omah Lay
10,Feel Good,MohBad
11,Monalisa,Lojay and  Sarz
12,Essence (feat. Justin Bieber & Tems),Wizkid
13,Fair Trade (feat. Travis Scott),Drake
14,Question (feat. Don Jazzy),Burna Boy
15,Way 2 Sexy (feat. Future & Young Thug),Drake
16,Steady,Wizkid
17,Cocaine,Dai Verse
18,Sinner,Adekunle Gold and  Lucky Daye
19,Champagne Poetry,Drake
20,Bounce,Ruger
21,Outside,Buju
22,In The Bible (feat. Lil Durk & GIVĒON),Drake
23,Somebody’s Son (feat. Brandy),Tiwa Savage
24,Love All (feat. JAY-Z),Drake
25,Ojuju,Troniq Music and  Oxlade
26,Let Me Know,Mayorkun
27,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],DJ Tarico and  Burna Boy
28,Feeling,LADIPOE and  Buju
29,Medicine,Jaywillz
30,TSU,Drake
31,Naira Marley,Zinoleesky
32,Papi’s Home,Drake
33,Big Thug Boys,AV
34,N 2 Deep (feat. Future),Drake
35,No Friends In The Industry,Drake
36,Fashion Killer,Ayra Starr
37,Confident,Savage and  Buju
38,Hurricane,Kanye West
39,Knife Talk (feat. 21 Savage & Project Pat),Drake
40,7am On Bridle Path,Drake
41,Essence (feat. Tems),Wizkid
42,Pipe Down,Drake
43,Soundgasm,Rema
44,Cast (Gen Z Anthem),Ayra Starr
45,Testimony,Buju
46,Rock,Olamide
47,Ginger (feat. Burna Boy),Wizkid
48,Get Along Better (feat. Ty Dolla $ign),Drake
49,Party Next Door,Dangbana Republik and  Bella Shmurda
50,You Only Live Twice (feat. Lil Wayne & Rick Ross),Drake
51,Race My Mind,Drake
52,Yebba’s Heartbreak,Drake and  Yebba
53,IMY2 (feat. Kid Cudi),Drake
54,Colorado,Zugo and  Dai Verse
55,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid
56,Jail,Kanye West
57,Dimension (feat. Skepta & Rema),JAE5
58,Shako,Barry Jhay
59,Off The Grid,Kanye West
60,Bling (feat. Amaarae & Buju),Blaqbonez
61,So Cold,Bella Shmurda and  Popcaan
62,LOML (feat. Olamide),Cheque
63,Beggie Beggie (feat. Ckay),Ayra Starr
64,Clash,Dave and  Stormzy
65,Fucking Fans,Drake
66,Reckless,Wizkid
67,The Remorse,Drake
68,System,Dave and  Wizkid
69,Coming,Naira Marley and  Busiswa
70,Praise God,Kanye West
71,Show Me,Joeboy
72,Moon,Kanye West
73,Jonah,Kanye West
74,Southy Love (feat. Fireboy DML),Peruzzi
75,Felony,CKay
76,Far Away,Dangbana Republik and  Bella Shmurda
77,ova (feat. Don Jazzy),Johnny Drille
78,Tonongo,Lojay and  Sarz
79,Lazarus,Dave and  Boj
80,Longtime (feat. Skepta),Wizkid
81,HUSTLE,Teni
82,INDUSTRY BABY,Lil Nas X and  Jack Harlow
83,No Child Left Behind,Kanye West
84,Pronto,Ajebo Hustlers and  Omah Lay
85,Sweet One,Wizkid
86,No Stress,Wizkid
87,Mighty Wine,Wizkid
88,True Love (feat. Tay Iwar & Projexx),Wizkid
89,Ok Ok,Kanye West
90,It Is What It Is,Adekunle Gold
91,God Breathed,Kanye West
92,Pay Me,Troniq Music and  Oxlade
93,STAY,The Kid LAROI and  Justin Bieber
94,Piece of Me (feat. Ella Mai),Wizkid
95,MAKAVELI,T-Classic
96,Remote Control,Kanye West
97,Need To Know,Doja Cat
98,23,Burna Boy
99,Jesus Lord,Kanye West
100,Believe What I Say,Kanye West
