Position,song,artist,album
1,Far Away,"Dangbana Republik, Bella Shmurda",High Tension 2.0
2,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,Sweet And Short 2.0
3,Somebody (feat. Phyno),Olamide,UY Scuti
4,Essence (feat. Tems),Wizkid,Made In Lagos
5,Understand,Omah Lay,Understand - Single
6,Feeling,"LADIPOE, Buju",Feeling - Single
7,Slow Down,King Promise,Slow Down - Single
8,Outside,Buju,Outside - Single
9,Soundgasm,Rema,Soundgasm - Single
10,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
11,Monalisa,"Lojay, Sarz",LV N ATTN - EP
12,Nimekuzoea,Nandy,Taste - EP
13,Rock,Olamide,UY Scuti
14,Bounce,Ruger,PANDEMIC - EP
15,Bobo,Aya Nakamura,Bobo - Single
16,Jack,Nasty C,Jack - Single
17,Hold,Blxckie,B4now
18,Big Thug Boys,AV,Big Thug Boys - Single
19,Fine Wine (feat. King Promise & Joeboy),R2Bees,Fine Wine (feat. King Promise & Joeboy)
20,All (feat. Davido),Rexxie,A True Champion
21,Show Me,Joeboy,Somewhere Between Beauty & Magic
22,ONLY IF YOU LIKE THAT,Tshego,3 Piece - Single
23,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
24,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,Umshiso
25,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],"DJ Tarico, Burna Boy",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix] - Single
26,Southy Love (feat. Fireboy DML),Peruzzi,Rum & Boogie
27,Asambeni,"Oscar Mbo, C-Blak",Defenders of House - EP
28,Medicine,Jaywillz,Love or the Word (EP)
29,Confident,"Savage, Buju",Confident - Single
30,It Is What It Is,Adekunle Gold,It Is What It Is - Single
31,Le temps,Tayc,Fleur froide (Donum Novae)
32,Ex,Nikita Kering,A Side Of Me
33,"Dangerous Love (feat. Mugeez, Efya & R2Bees)",Omar Sterling,Same Earth Different Worlds
34,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
35,I Want (feat. Mutoriah),Chris Kaiga,I Want (feat. Mutoriah) - Single
36,Niko Sawa (feat. Bien),Nviiri The Storyteller,Kitenge - EP
37,"Africa, One Of A Kind","Angelique Kidjo, Mr Eazi, Salif Keita",Mother Nature
38,La La (feat. CKay),Davido,A Better Time
39,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
40,Ngilimele (feat. Q Twins),DJ Tira,Rockstar Forever
41,Felony,CKay,Boyfriend
42,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
43,Baby Go,"Otile Brown, Kizz Daniel",Baby Go - Single
44,Bank Notification (feat. Madumane),"Ciza, DJ Maphorisa",Bank Notification (feat. Madumane) - Single
45,Enough,Hersh,Peace Of Mind EP
46,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729,Where I Come From
47,Coachella,"Sarkodie, Kwesi Arthur",Coachella - Single
48,Kamata,Diamond Platnumz,Kamata - Single
49,Weekend,Eddy Kenzo,Made in Africa
50,FOR YOU (feat. Davido),Teni,WONDALAND
51,Kilometre,Burna Boy,Kilometre - Single
