Position,song,artist
1,Yafun Yafun,Ajebo Hustlers
2,Tycoon (feat. Reminisce & MOJO),Show Dem Camp
3,Essence (feat. Tems),Wizkid
4,Understand,Omah Lay
5,Feeling,LADIPOE and  Buju
6,Slow Down,King Promise
7,Outside,Buju
8,Bling (feat. Amaarae & Buju),Blaqbonez
9,Bounce,Ruger
10,Soundgasm,Rema
11,Monalisa,Lojay and  Sarz
12,Emlanjeni (feat. Da Muziqal Chef),De Mthuda and  Sir Trill
13,Rock,Olamide
14,Sinner,Adekunle Gold and  Lucky Daye
15,Dis moi comment.,Tayc
16,Far Away,Dangbana Republik and  Bella Shmurda
17,Bobo,Aya Nakamura
18,Professor Peller (feat. Zlatan),Seyi Vibez
19,Big Thug Boys,AV
20,MY FAVOURITE SONG (feat. Shekhinah),Tshego
21,Sima Nkre,"Djodje,  Deejay Telio and  Julinho Ksd"
22,Shopping Spree (feat. Chris Brown & Young Thug),Davido
23,Pololo (feat. Tiakola),MHD
24,Second Sermon,Black Sherif
25,Hustlers Prayer (feat. A-Reece),25K
26,LEGGO,Serge Ibaka and  Tayc
27,Feel Good,MohBad
28,Show Me,Joeboy
29,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest
30,Felony,CKay
31,Dimension (feat. Skepta & Rema),JAE5
32,Jack,Nasty C
33,Somebody (feat. Phyno),Olamide
34,Hold,Blxckie
35,La La,T'neeya
36,Sweet Escape,Mizzle
37,Fine Wine (feat. King Promise & Joeboy),R2Bees
38,Running (To You),Chike and  Simi
39,Ex,Nikita Kering
40,All (feat. Davido),Rexxie
41,Kilometre,Burna Boy
42,One Time (feat. Reekado Banks),Moelogo
43,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA
44,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],DJ Tarico and  Burna Boy
45,Southy Love (feat. Fireboy DML),Peruzzi
46,Money & Laughter,"BOJ,  Zamir and  Amaarae"
47,Coming,Naira Marley and  Busiswa
48,Asambeni,Oscar Mbo and  C-Blak
49,Medicine,Jaywillz
50,Confident,Savage and  Buju
51,Ex,Nikita Kering
52,"Dangerous Love (feat. Mugeez, Efya & R2Bees)",Omar Sterling
53,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp
54,I Want (feat. Mutoriah),Chris Kaiga
55,Niko Sawa (feat. Bien),Nviiri The Storyteller
56,"Africa, One Of A Kind","Angelique Kidjo,  Mr Eazi and  Salif Keita"
57,Verified (feat. Mayorkun),Laycon
58,Ngilimele (feat. Q Twins),DJ Tira
59,Early Momo (feat. GoodGirl LA),Vector
60,Baby Go,Otile Brown and  Kizz Daniel
61,Nimekuzoea,Nandy
62,Bank Notification (feat. Madumane),Ciza and  DJ Maphorisa
63,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729
64,Coachella,Sarkodie and  Kwesi Arthur
65,Kamata,Diamond Platnumz
66,Weekend,Eddy Kenzo
67,FOR YOU (feat. Davido),Teni
68,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah
69,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and  Mr JazziQ
70,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)",Busta 929 and  Mpura
71,Forever (Remix),Gyakie and  Omah Lay
72,Somebody Baby,Davido and  Peruzzi
73,Denzel Washington (feat. Lannie Billion) [Radio Edit],"King Zeph,  Deep Sen and  K Sugah"
74,History,Cheque and  Fireboy DML
75,Je veux que toi (feat. Fally Ipupa),Bramsito
76,"Samsokolo (feat. Mr JazziQ, Sir Trill, ThackzinDJ & Boohle) [Radio Edit]",Tee Jay and  Rascoe Kaos
77,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky
78,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo,  Blaqnick and  MasterBlaq"
79,Questions,Shekhinah
80,Sere (Remix),"Spinall,  Fireboy DML and  6LACK"
81,Nossas Coisas (feat. ARY),C4 pedro
82,Long Way,Emtee
