Position,song,artist,album
1,I Bow,Judikay,I Bow - Single
2,Good God,"Limoblaze, Ada Ehi",God\'s Favourite Baby
3,Everything (Amen),Timi Dakolo,Everything (Amen) - Single
4,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,Olorun Agbaye - You Are Mighty - Single (feat. Chandler Moore & O/B/A) - Single
5,More Than Gold,Judith Kanayo,More Than Gold - Single
6,This Love,Chidinma,This Love - Single
7,Amen,Tjsarx,The Journey
8,Fourthman (feat. Chris Morgan),Caleb Audu,Fourthman (feat. Chris Morgan) - Single
9,Congratulations (feat. Buchi),Ada Ehi,Born of God
10,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga,Mercy O ! - Single (feat. Ini Adesanya & Pastor Sarah Omakwu) - Single
11,Omemma,Judikay,Man of Galilee
12,Onyedikagi (feat. Glowrie),Mercy Chinwo,Onyedikagi (feat. Glowrie) - Single
13,Too Faithful,Moses Bliss,Too Faithful
14,Ebube Jehovah,Victor Ike,Ebube Jehovah - Single
15,Your Name Is Jesus,Eljoe Onoja,Songs of Eljoe (Deluxe)
16,Song of Victory,Esther Olugbemi,Song of Victory - Single
17,No Troubles,Chris Morgan,No Troubles - Single
18,Ye Obua Mi (My Help),Joe Mettle,Ye Obua Mi (My Help) - Single
19,Worship Your Maker,Dunsin Oyekan,The Gospel of the Kingdom
20,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,SATISFIED
21,In This Place,Minister GUC,In This Place - EP
22,Never Forget Your Love,Anny,Never Forget Your Love - Single
23,Capable God,Judikay,Man of Galilee
24,Everything,Ada Ehi,Everything - Single
25,Beautiful (feat. Nathaniel Bassey),Sinach,Greatest Lord
26,Hallelujah No Go Finish,Freke Umoh,Hallelujah No Go Finish - Single
27,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
28,All in All,CalledOut Music,Roots - EP
29,Hosanna (Live),Steve Crown,Hosanna (Live) - Single
30,Nothing Missing,Preye Odede,Nothing Missing - Single
31,Too Much,Chioma Jesus,Next Level
32,Thank You,"Kobby Mantey, Joe Mettle",Thank You - Single
33,Jesu Doh,"EBEN, Jahdiel",Jesu Doh - Single
34,All Things New,Tee Worship,All Things New - Single
35,King of Glory (feat. Darlene Zschech),Sinach,Greatest Lord
36,Lions,T Sharp,Lions - Single
37,Oga Jesus,Daniel Mylez,Oga Jesus - Single
38,Best of Me,Double F,Best of Me - Single
39,Awone (feat. Chris Morgan),naomee,Beautified by Grace
40,Great & Mighty (Awimayehun),Segun John,Great & Mighty (Awimayehun) - Single
41,Cultural Praise Vol. 3,"KCee, Okwesili Eze Group",Cultural Praise
42,Jehovah Overdo,Chidinma,Jehovah Overdo - Single
43,Covenant Keeping God,Jimmy D Psalmist,Indomitable
44,Amazing,Isyrose,Amazing - Single
45,Most High,Frank Edwards,Anglican
46,You Fight for Me,Mahalia Buchanan,You Fight for Me - Single
47,We Prevail (feat. Maranda Curtis),Sinach,Greatest Lord
48,Fire (feat. Okey Sokay),Dj Ernesty,Fire (feat. Okey Sokay) - Single
49,Billion Words,"Limoblaze, Onos",Billion Words - Single
50,Faithful God (Live),Onos,Faithful God (Live) - Single
51,Ekele,Desai David,Ekele - Single
52,Oka\'ome,Chioma Jesus,Chiomalized
53,Perfect Love,Rhema \'Ye,Perfect Love - Single
54,Hosanna,TDR,Hosanna - Single
55,I Believe,Jessika Kioja,I Believe - Single
56,Answer Your Name (feat. Rosemary Chibuogwu),Caleb Audu,Answer Your Name (feat. Rosemary Chibuogwu) - Single
57,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,Already Won
58,Konyana,Dr Tumi,The Great Shepherd
59,Chukwu Eze,Melody Gabriel,Chukwu Eze - Single
60,Unastahili,Evelyn Wanjiru,Unastahili - Single
61,Bigger Everyday,"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",Bigger Everyday - Single
62,Amanamo (feat. Mercy Chinwo),Chris Morgan,The Rebirth
63,Battles,Tim Godfrey,Already Won
64,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,My Father & My Friend - Single (feat. Stephanie Kome Ita) - Single
65,Grace Is Available,Sammie Okposo,Grace Is Available - Single
66,Cultural Praise Vol.2,"KCee, Okwesili Eze Group",Cultural Praise Vol.2 - EP
67,Do,Austin Hogan,Do - Single
68,Bless Me (feat. Ada Ehi),Mercy Masika,Zaidi
69,Greatest Lord,Sinach,Greatest Lord
70,Praise Medley (Live in London),Joe Mettle,Praise Medley (Live in London) - Single
71,Mma Mma,Frank Edwards,Unlimited Verse 2
72,Baba Ese (feat. Yoruba Mass Choir),Mike Abdul,Baba Ese (feat. Yoruba Mass Choir) - Single
73,Okokroko (Remix) [Live],Sonnie Badu,Rhythms of Afrika (Live in Atlanta)
74,We Raise a Sound (feat. 121SELAH),Nosa,We Raise a Sound (feat. 121SELAH) - Single
75,Holy Ghost (Live),Joe Praize,Praise Ovation Live Recording
76,Nothing Is Impossible (feat. Tope Alabi),EBEN,Nothing Is Impossible (feat. Tope Alabi) - Single
77,Grateful,Sinach,Greatest Lord
78,Yahweh (feat. Gabriel Eziashi),Ifeoma Okoli,Yahweh (feat. Gabriel Eziashi) - Single
79,We Testify,Deborah Lukalu,We Testify - Single
80,Awurade,Jayana,Awurade - Single
81,Now,Ada Ehi,Now - Single
82,I Made It,Gabriel Eziashi,I Made It - Single
83,Incredible God (Live),Mercy Chinwo,Incredible God (Live) - Single
84,We Bow Down,Sinach,"Acoustic Versions, Vol. 2"
85,You Are God (Live),"Chingtok Ishaku, House of Judah",Worship Expressions II: The Eternal God
86,Eze (Radio Edit) [feat. Osby Berry],Dare David,Eze (Radio Edit) - Single [feat. Osby Berry] - Single
87,Nara (feat. Travis Greene),Tim Godfrey,Nara
