Position,song,artist
1,Amazing God,Mercy Chinwo
2,Too Faithful,Moses Bliss
3,Covenant Keeping God,Jimmy D Psalmist
4,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey
5,Jesus the Son of God,Chidinma
6,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo
7,Roar,Dunsin Oyekan
8,Chim Ooo,Ernieola Olusoga
9,"A New Wave of Glory (feat. Tosin Bee, Segunfunmi, Moses Onofeghara & Femi Okunuga)",One Hallelujah
10,Your Name Is Jesus,Eljoe Onoja
11,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey
12,More Than Gold,Judith Kanayo
13,Thank You,Kobby Mantey and  Joe Mettle
14,I Bow,Judikay
15,Jehovah Overdo,Chidinma
16,Onyedikagi (feat. Glowrie),Mercy Chinwo
17,Omemma,Judikay
18,Hallelujah (feat. Dunsin Oyekan),Joe Mettle
19,Worship Your Maker,Dunsin Oyekan
20,Everything,Ada Ehi
21,Made In Amazing,Timothy Bassey
22,You Are God (feat. Stella Damasus) [Remix],Eliaz Alex
23,Hallelujah No Go Finish,Freke Umoh
24,Congratulations (feat. Buchi),Ada Ehi
25,Suddenly,Mercy Chinwo
26,Capable God,Judikay
27,Good God,Limoblaze and  Ada Ehi
28,Holy,Monica Eze
29,Everything (Amen),Timi Dakolo
30,Ebube Jehovah,Victor Ike
31,Oka'ome,Chioma Jesus
32,Ojo-Chenemi,Caleb David
33,Ye Obua Mi (My Help),Joe Mettle
34,No Troubles,Chris Morgan
35,This Love,Chidinma
36,In This Place,Minister GUC
37,Hallelujah,Elisha Amana
38,One Song,Ikiri Lawrence
39,Never Forget Your Love,Anny
40,xc3x8cmxe1xbbx8dxccx81lxe1xbaxb9xccx80,T Sharp
41,More Than Conquerors,Chelsea Levi
42,Beautiful (feat. Nathaniel Bassey),Sinach
43,This Love,Chidinma
44,Song of Victory,Esther Olugbemi
45,All in All,CalledOut Music
46,Hope (Live),Tosin Ajolore
47,Hosanna (Live),Steve Crown
48,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga
49,Nothing Missing,Preye Odede
50,Your Love Is Amazing (feat. Bethuel Lasoi),Rebekah Dawn
51,O De (He's Here),"HHPG,  Tobi Walker,  Bukola Bekes and  Uwana Etuk"
52,God of Wonders,Simon Onah
53,Hozanna,Claire Bahi
54,Jesu Doh (feat. Jahdiel),EBEN
55,Warriors Worship (Medley),Nayaah
56,Amen,Tjsarx
57,All Things New,Tee Worship
58,King of Glory (feat. Darlene Zschech),Sinach
59,Now,Ada Ehi
60,Lions,T Sharp
61,Best of Me,Double F
62,Ajibole,Protek Illasheva and  Marizu
63,God Most High,Shalom Braide
64,Awone (feat. Chris Morgan),naomee
65,My Father My God (Live),Jimmy D Psalmist
66,Fourthman (feat. Chris Morgan),Caleb Audu
67,Great & Mighty (Awimayehun),Segun John
68,Oga Jesus,Daniel Mylez
69,Amazing,Isyrose
70,Oluwa Is Involved,Joyce Blessing
71,Most High,Frank Edwards
72,You Fight for Me,Mahalia Buchanan
73,We Prevail (feat. Maranda Curtis),Sinach
74,They That Wait (feat. MOG),Joe Mettle
75,Worship with Angels (feat. Joe Praize),PV Idemudia
76,I Am Yours,Ify Ehis
77,Too Much,Chioma Jesus
78,Faithful God (Live),Onos
79,Liyinqaba,Hle and  Hlengiwe Mhlaba
80,Ekele,Desai David
81,Ubangiji (feat. Steve Williz),Younggod
82,God Dey (Live),KobbySalm
83,Perfect Love,Rhema 'Ye
84,Billion Words,Limoblaze and  Onos
85,Delight,Freke Umoh
86,Hosanna,TDR
87,I Believe,Jessika Kioja
88,Answer Your Name (feat. Rosemary Chibuogwu),Caleb Audu
89,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey
90,We Bow Down,Sinach
91,Konyana,Dr Tumi
92,Chukwu Eze,Melody Gabriel
93,Tested and Trusted,BOSE PETER
94,Alpha & Omega (feat. Chris Morgan),K Praise
95,Unastahili,Evelyn Wanjiru
96,Light it up (feat. Savanah),LaToyah Bless
97,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple"
98,Amanamo (feat. Mercy Chinwo),Chris Morgan
99,Battles,Tim Godfrey
100,New Dimension (Live),Onos
