Position,song,artist,album
1,Tycoon (feat. Reminisce & MOJO),Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
2,Omo X 100 (feat. Olamide),Reminisce,Omo X 100 (feat. Olamide) - Single
3,Cakes (feat. PatricKxxLee & KashCPT),Straffitti,Cakes (feat. PatricKxxLee & KashCPT) - Single
4,Jack,Nasty C,Jack - Single
5,Vibration,"Sarkodie, VIC MENSA",Vibration - Single
6,Survive (feat. Olamide),Jaido P,Shopla - EP
7,Question For the Gods (feat. M.anifest),M3NSA,Question For the Gods (feat. M.anifest) - Single
8,Forever (feat. Riky Rick),Frank Casino,Forever (feat. Riky Rick) - Single
9,Align (feat. LADIPOE),Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
10,Uthini (feat. Blxckie & Phantom Steeze),Costa Titch,Uthini (feat. Blxckie & Phantom Steeze) - Single
11,OKAY,"Franglish, Tyga",Vibe
12,Loyal,Acebergtm,Far from Home - EP
13,Somebody (feat. Phyno),Olamide,UY Scuti
14,Feeling,"LADIPOE, Buju",Feeling - Single
15,Ye X 4,"Blxckie, Nasty C",B4now
16,HIGH (feat. AratheJay),Korshi T,HIGH (feat. AratheJay) - Single
17,ROCKETS,Kashcpt,ROCKETS - Single
18,Body on Me,Sudxn,Body on Me - Single
19,Zaza,Brian Simba,Zaza - Single
20,Stoves,Wale the Sage,Stoves - Single
21,We Don\'t Play,Givtti,We Don\'t Play - Single
22,"Top (feat. Ambulanceee, IzzPurp & Wheaguy)",Danagog,"Top (feat. Ambulanceee, IzzPurp & Wheaguy) - Single"
23,Makola Dreams (feat. M.anifest),Omar Sterling,Same Earth Different Worlds
24,Decisions (feat. Sean Lifer),Jay Bahd,RETURN OF OKOMFO ANOKYE
25,"Akata Gang Gang (feat. O\'Kenneth, Pappy Kojo, Skyface SDW, Kawabanga & Jay Bahd)",Reggie,2 TIMES A GUY
26,Missing You,Dead Peepol,Missing You - Single
27,Death Sentence,Amerado,Death Sentence - Single
28,PUBLIC ENEMY (Kwesi Arthur Remix),INFAMOUSIZAK,PUBLIC ENEMY (Kwesi Arthur Remix) - Single
29,Hold On,"Oluwapizzle, Emaxee",Hold On - Single
30,Ayo (feat. Blaise B),Mink\'s,Urban Bantou
31,Bigger Picture,Thutmose,Bigger Picture - Single
32,Euphoria,PsychoYP,Euphoria - Single
33,"Dkm (Ma Pa Mi) [feat. PsychoYP, Eeskay & Magna.]",Loti,"Dkm (Ma Pa Mi) [feat. PsychoYP, Eeskay & Magna.] - Single"
34,Korope,"Lil Kesh, Naira Marley",Korope - Single
35,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,A True Champion
36,50 Miss Calls (Drill Mix),"Tony Ross, JoeBoy, Layzee Ella",50 Miss Calls (Drill Mix) - Single
37,Yaya Tour\xc3\xa9,Yung Mavu,Heathens / Yaya Tour\xc3\xa9 - Single
38,RIP OLD DAD,The.wav,RIP OLD DAD - Single
39,Confirm Me,Durello,Confirm Me - Single
40,Hustlers Prayer (feat. A-Reece),25K,Pheli Makaveli
41,One Time (feat. Lioness),Willy Monfret,One Time (feat. Lioness) - Single
42,I Want (feat. Mutoriah),Chris Kaiga,I Want (feat. Mutoriah) - Single
43,Hustle,Nami,I Am Nami
44,What If I Stumble,Snatcha,What If I Stumble - Single
45,Makaveli,Kida Kudz,TOP MEMBA
46,For Me (feat. deeachi),The Beat-Oven,For Me (feat. deeachi) - Single
47,No Juju (feat. Ecibu),Khofi Images,No Juju (feat. Ecibu) - Single
48,Heartbreaker (feat. Nasty C),Blaqbonez,Sex Over Love
49,Jailer (feat. Jaywillz),Olamide,UY Scuti
50,Stay With Me,Layzee Ella,When The Lights Go Off - EP
51,Gidi Flex,KingJayy,Gidi Flex - Single
52,Eyes off Me,Stella Mwangi,Eyes off Me - Single
53,Coachella,"Sarkodie, Kwesi Arthur",Coachella - Single
54,My Crew (feat. Lil5ive),Kiiwii,My Crew (feat. Lil5ive) - Single
55,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth) - Single"
56,Ama,Medikal,Ama - Single
57,Married to the Game,TenTik,Married to the Game - Single
58,First Sermon,Black Sherif,First Sermon - Single
59,Network,Twist,Network - Single
