Position,song,artist
1,La Vida,M.anifest
2,Whipped (feat. DarkoVibes),Sarkodie
3,Pilka Pilka,Steph Kapela
4,Ofr3 (feat. Kawabanga & Kwaku DMC),$pacely
5,Gimme Racks!,M8alla and  Ducee' droptop
6,Spotlight (feat. El Choco),Darrell Cole
7,Woah,TOBi and  Jazz Cartier
8,Stop Acting,Morph
9,VOD Gang (feat. Edoh YAT),Dar Rich
10,Ntoni Na (feat. Blxckie & 25K),Yanga Chief
11,Ctrl Z,Miles Caliph
12,Eff All Day (feat. Phyno),Timaya
13,"Tukye (feat. Braa Benk, Reggie, Jay Bahd & O'Kenneth)",Cabum
14,Save the World (feat. OGSNYPZ),Nakie4000
15,Amnesia,Zamir
16,Running (feat. Bergdorfbadman & KXNGWUAP),Thirstyworldwide and  Straffitti
17,Limbo (Pretty Little Thing),Xplosive DJ and  Maglera Doe Boy
18,Ichwane Lenyoka,Big Zulu
19,Tryna,Kiiing Leo
20,Eze Ego (with Kida Kudz),Keyz Emmanuel
21,Dance (feat. Droxx),Lokii840
22,Panda Shuka,Wendy Kay
23,Konji,Aiinem Myke
24,+234 (Daily Paper),PsychoYP
25,Yabo?! (feat. YoungstaCPT),Bravo Le Roux
26,16 (feat. Unity),Kavali King
27,My Crew (feat. Lil5ive),Kiiwii
28,Fear (feat. DE7),Eldeezy
29,"Calling (feat. O'Kenneth, Jay Bahd, Sean Lifer, Reggie & City Boy)",Kawabanga
30,Mozart Capitaine Jackson (Episode 1),Leto
31,Better Days (feat. DTS),Bless Clymax
32,Second Sermon,Black Sherif
33,Come With Me,Sam Asari
34,Do or Die,Kweku Smoke
35,Brag,DETO BLACK
36,Yafun Yafun,Ajebo Hustlers
37,Salute (feat. Rissy God),Wavedave
38,Panana,Sam Asari
39,Petite,NSG
40,Purple Rain (feat. PsychoYP),Laime
41,Chini Chini,Matata and  Mejja
42,Heathrow,Droxx and  Mo'gunz
43,Somebody (feat. Phyno),Olamide
44,mONEY,Lanray X and  Rotex
45,Banana (feat. Quamina Mp),YAW BERK
46,On Me (feat. DwillsHarmony & PsychoYP),Beatsbykarma
47,Ain't No Regular,Lucretius and  Tumi Tladi
48,Baby Stuff (feat. Kayode),Tobii WTW and  Kadens
49,That Guy,T.O.D SZN and  EESKAY
50,"My Touch (feat. Medikal, D-Black & Kwesi Arthur) [Remix]","Eugy,  Chop Daily and  Falz"
51,Sirudi Home (feat. BREEDER LW & NDOVU KUU) [Refix],Maandy
52,Tycoon (feat. Reminisce & MOJO),Show Dem Camp
53,Bobby (feat. Timmy Blanco),Silverstone Barz
54,Racks (feat. Pukido),F$rgo
55,Money,BADYOUTH
56,Easy Come (feat. Okese1),$pacely
57,GET A GRIP,DEELA
58,Wonder (feat. Patoranking),Dremo
59,MKD,Skillz 8Figure
60,Gbese,Ogranya and  Show Dem Camp
61,Yawa,Baba Kuboye
62,OKAY,Franglish and  Tyga
63,Iprc,Didi B
64,Akwasi,Akan
65,Pololo (feat. Tiakola),MHD
66,Seke (feat. TiwaDara),Vader the Wildcard
67,SHARK (feat. Teios),Glorich
68,Laye (feat. Zlatan),Bennylee
69,Mbougeul,Shampagne Baby
70,6 Feet Deep (feat. Alpha P & PatricKxxLee),PsychoYP
71,OMOKOMO,Baddy Oosha
72,Eyes But No Eyes,M3NSA
73,See You Next Week,Dremo
74,Badder Than Bad (feat. Fame Holiday),Jbwai
75,If Its On (feat. Boutross),Silverstone Barz
76,Aketesia (feat. Laycon & Medikal),Kweku Darlington
77,T-R (feat. MC Azas),Raykaa
78,GENG (feat. windy citi),Lasko Blark
79,Match Esili (Freestyle),Crystal
80,Vibration,Sarkodie and  VIC MENSA
81,Sika Beba (feat. Pope Skinny & Kwesi Slay) [Remix],Akesisem
82,Saneba,TiDraps
83,Hustle,Nami
84,GET A GRIP,DEELA
85,Touch Down (feat. Wav. Casino),Kvng Dav
86,Makaveli,Kida Kudz
87,FETA,Kashcpt
88,Feeling Like Me (feat. Kojey Radical),Nego True and  Hunter Rose
89,Kivuruga,Bushali and  Ghanaian Stallion
90,Dreams (feat. Kashcpt & FlowJones Jr.),Kilo Kami
91,Umbrella,Kezyklef and  Zoro
92,Crown of Clay (Remix) [feat. Ashs The Best],"Vector,  Khaligraph Jones and  Dip Doundou Guiss"
93,Senior Man,Abobi Eddieroll
94,Non Living Thing (feat. Oxlade),Sarkodie
95,Like Dat,Kess
96,A. Iverson (feat. dndSection),Zamir
97,T.Y.B,"Del B,  Phyno and  Mofassa"
98,Pagans,"Kelly Anthony,  Sarkodie and  Larruso"
