Position,song,artist,album
1,Essence (feat. Tems),Wizkid,Made In Lagos
2,Rock,Olamide,UY Scuti
3,Outside,Buju,Outside - Single
4,Soundgasm,Rema,Soundgasm - Single
5,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
6,DKT,Oxlade,DKT - Single
7,Bounce,Ruger,PANDEMIC - EP
8,Feeling,"LADIPOE, Buju",Feeling - Single
9,All (feat. Davido),Rexxie,A True Champion
10,Naira Marley,Zinoleesky,Naira Marley - Single
11,Party Next Door,"Dangbana Republik, Bella Shmurda",Party Next Door - Single
12,Show Me,Joeboy,Somewhere Between Beauty & Magic
13,Monalisa,"Lojay, Sarz",LV N ATTN - EP
14,Somebody (feat. Phyno),Olamide,UY Scuti
15,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay],Justin Bieber,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay] - Single
16,Frenemies (feat. Oxlade),Rexxie,A True Champion
17,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
18,Slow Down,King Promise,Slow Down - Single
19,Fine Wine (feat. King Promise & Joeboy),R2Bees,Fine Wine (feat. King Promise & Joeboy)
20,The Best (feat. Mayorkun),Davido,A Better Time
21,Korope,"Lil Kesh, Naira Marley",Korope - Single
22,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,Masta Groove
23,Sisi Caro,"Governor of Africa, Oxlade",Sisi Caro - Single
24,Send Me Nudes (feat. Joey B),KiDi,The Golden Boy
25,Carolina,Yung D3mz,Yung - EP
26,It Is What It Is,Adekunle Gold,It Is What It Is - Single
27,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
28,Sweet Escape,Mizzle,In The Dark
29,I\'m Strong,"Stonebwoy, SQUASH",I\'m Strong - Single
30,Breakup Riddim,"DJ Aroma, Mr Eazi, Nhlanhla Nciza",Breakup Riddim - Single
31,Kogi (feat. Bella Shmurda & Poco Lee),Jumabee,Kogi (feat. Bella Shmurda & Poco Lee) - Single
32,Kilometre,Burna Boy,Kilometre - Single
33,Carry Go (feat. Zlatan),Schengen Owner,Carry Go (feat. Zlatan) - Single
34,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,A True Champion
35,Oshofree (feat. s3nami),YKB,Oshofree - Single (feat. s3nami) - Single
36,Do Yourself,"Angelique Kidjo, Burna Boy",Mother Nature
37,So Long (feat. Tomi Thomas & Larry Gaaga),Sjxy,So Long (feat. Tomi Thomas & Larry Gaaga) - Single
38,Tonight,Yung D3mz,Tonight - Single
39,PEPE,"L.A.X, Davido",PEPE - Single
40,Berna Reloaded,"Flavour, Fally Ipupa, Diamond Platnumz",Berna Reloaded - Single
41,Jackpot (feat. Bella Shmurda),Crayon,Jackpot (feat. Bella Shmurda) - Single
42,Kenkey Seller (Remix) [feat. Medikal],Quamina MP,Kenkey Seller (Remix) [feat. Medikal] - Single
43,Inside House,"D-Tac, Soundz",Inside House - Single
44,LV N ATTN feat. Wizkid,"Lojay, Sarz",LV N ATTN - EP
45,Sere (Remix),"Spinall, Fireboy DML, 6LACK",Sere (Remix) - Single
46,Bank On It,Burna Boy,Twice As Tall
47,Sw\xc3\xa9,Mus,Sw\xc3\xa9 - Single
48,PonPon (feat. Fave),Olamide,UY Scuti
49,Juju,Idyl,Juju - Single
50,Coming,"Naira Marley, Busiswa",Coming - Single
51,KAMBA,Terry Apala,KAMBA - Single
52,Ohemaa,Kelvin Black,Mama Stella - EP
53,Melanin,June Freedom,Anchor Baby
54,Egbon,"Masterkraft, Phyno",Egbon - Single
55,Chill,KO-C,Chill - Single
56,La La (feat. CKay),Davido,A Better Time
57,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
58,Kilofeshe,Zinoleesky,Kilofeshe - Single
59,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
60,Let Dem Kno,"Smallgod, Tiwa Savage, Kwesi Arthur",Building Bridges
61,Lifestyle,Fireboy DML,APOLLO
62,Sika (feat. Sarkodie & Kweku Flick) [Remix],Sista Afia,Sika (Remix) [feat. Sarkodie & Kweku Flick] - Single
63,Duro,"Ojayy Wright, Bad Boy Timz",Commander in Chief
64,Yuda,Nandy,Taste - EP
65,World,"Dangbana Republik, Bella Shmurda",World - Single
66,Tropical Breeze,"Magnom, Caine",Tropical Breeze - Single
67,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
68,Okay,Adekunle Gold,"Afro Pop, Vol. 1"
69,"Don Dada (feat. Boyymaph, Moudini & LT)",Killer Producer,Mark My Words
70,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
71,Fendi (feat. Joeboy),Blaqbonez,Sex Over Love
72,LEGGO,"Serge Ibaka, Tayc",LEGGO - Single
73,Baajo,"Kwesi Arthur, Joeboy",Baajo - Single
74,The Key,Tems,For Broken Ears
75,INJURE ME,Teni,WONDALAND
76,Loading (feat. Bad Boy Timz),Olamide,Carpe Diem
77,6AM,Blaq Jerzee,6AM - Single
78,Godly,Omah Lay,What Have We Done - EP
79,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
80,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
81,Baby Go,"Otile Brown, Kizz Daniel",Baby Go - Single
82,Jowo,Davido,A Better Time
83,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
84,Big Boss,Didi B,Big Boss - Single
