Position,song,artist
1,Anoti,Wizkid
2,Peru,Fireboy DML
3,Question (feat. Don Jazzy),Burna Boy
4,Lie,Kizz Daniel
5,Understand,Omah Lay
6,Ojuju,Troniq Music and  Oxlade
7,Bena,Jinmi Abduls
8,Sinner,Adekunle Gold and  Lucky Daye
9,Let Me Know,Mayorkun
10,So Cold,Bella Shmurda and  Popcaan
11,Essence (feat. Justin Bieber & Tems),Wizkid
12,Tales By Moonlight (feat. Amaarae),Tiwa Savage
13,Bloody Samaritan,Ayra Starr
14,Naira Marley,Zinoleesky
15,Bounce,Ruger
16,Mama Mia (feat. Joeboy),Jaido P
17,Monalisa,Lojay and  Sarz
18,Southy Love (feat. Fireboy DML),Peruzzi
19,The Key,Tems
20,Show Me,Joeboy
21,Fendi (feat. Joeboy),Blaqbonez
22,Mood (feat. Buju),Wizkid
23,Outside,Buju
24,Migrate,Ayanfe and  Davido
25,Feeling,LADIPOE and  Buju
26,Cocaine,Dai Verse
27,Soundgasm,Rema
28,Lazarus,Dave and  Boj
29,Rock,Olamide
30,Hata Iweje,Jaivah
31,Frenemies (feat. Oxlade),Rexxie
32,Fashion Killer,Ayra Starr
33,Shopping Spree (feat. Chris Brown & Young Thug),Davido
34,Steady,Wizkid
35,NEED ME,Gyakie
36,Cool Me Down,Majeek
37,Outside (feat. Skillz 8figure & Tomi Agape),P. Montana
38,Pay Me,Troniq Music and  Oxlade
39,Summer Bounce,Blaq Jerzee and  Joeboy
40,Fayah,Rotimi
41,Trina,Jinmi Abduls
42,It Is What It Is,Adekunle Gold
43,STAMINA (feat. LuuDadeejay),WurlD and  Major League Djz
44,Ghetto Vigilante,Uche B and  Kwesi Arthur
45,Testimony,Buju
46,Ring My Line (feat. Headie One),King Promise
47,Carolina,Yung D3mz
48,Somebodyxe2x80x99s Son (feat. Brandy),Tiwa Savage
49,K.O,Darassa and  Otile Brown
50,Fine Wine (feat. King Promise & Joeboy),R2Bees
51,Naanzaje,Diamond Platnumz
52,Man Up,Waye
53,make me feel (feat. Tori J & Yung D3mz),Ginius
54,Feel Good,MohBad
55,Solace,Ajebo Hustlers
56,Joy,Blxckie and  Oxlade
57,Pray,Victony
58,Melo,Liya
59,Far Away,Dangbana Republik and  Bella Shmurda
60,Gbese,Ogranya and  Show Dem Camp
61,Dimension (feat. Skepta & Rema),JAE5
62,Sweet Escape,Mizzle
63,Nobody,Chike Agada
64,Erima (feat. Terri & Minz),DJ Latitude
65,Bank On It,Burna Boy
66,Bling (feat. Amaarae & Buju),Blaqbonez
67,Alone,Oladapo
68,"My Touch (feat. Medikal, D-Black & Kwesi Arthur) [Remix]","Eugy,  Chop Daily and  Falz"
69,La La (feat. CKay),Davido
70,Coming,Naira Marley and  Busiswa
71,Somebody (feat. Phyno),Olamide
72,INJURE ME,Teni
73,Non Living Thing (feat. Oxlade),Sarkodie
74,Fancy,Uche Malik
75,System,Dave and  Wizkid
76,Tu Amour (feat. Ojujucalaba),Jake Chowman
77,Slow Down,King Promise
78,Yafun Yafun,Ajebo Hustlers
79,Money Bag,Ria Sean
80,Sere (Remix),"Spinall,  Fireboy DML and  6LACK"
81,LV N ATTN feat. Wizkid,Lojay and  Sarz
82,Rise Up,2Baba and  Falz
83,Sans moi,Franglish and  Aya Nakamura
84,Mercy,Falz
85,Dodo,May D
86,Love Me,Juls and  Niniola
87,Spotlight (feat. El Choco),Darrell Cole
88,Wonder Mama (feat. Adekunle Gold),MHD
89,Somebody Baby,Davido and  Peruzzi
90,Dis moi comment.,Tayc
91,Sweety,Yemi Alade
92,Baby Go,Otile Brown and  Kizz Daniel
93,Joy,BadTheSoundBoy
94,Me Den You,KashBwoy and  Kuami Eugene
