Position,artist,album
1,Ayra Starr,19 & Dangerous
2,Dave,We're All Alone In This Together
3,Wizkid,Made In Lagos (Deluxe)
4,Lojay & Sarz,LV N ATTN - EP
5,Dangbana Republik & Bella Shmurda,High Tension 2.0
6,Doja Cat,Planet Her (Deluxe)
7,Pop Smoke,Faith
8,Olamide,UY Scuti
9,Lil Baby & Lil Durk,The Voice of the Heroes
10,Burna Boy,Twice As Tall
11,Ruger,PANDEMIC - EP
12,YNW Melly,Just A Matter of Slime
13,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
14,Skepta,All In - EP
15,Nas,King's Disease II
16,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
17,Obongjayar & Sarz,Sweetness - EP
18,Migos,Culture III (Deluxe)
19,The Cavemen.,Roots
20,J. Cole,The Off-Season
21,Lil Durk,Just Cause Y'all Waited 2 (Deluxe)
22,Billie Eilish,Happier Than Ever
23,Victor AD,Nothing To Prove - EP
24,Davido,A Better Time
25,Yung Bleu,Moon Boy
26,Blaqbonez,Sex Over Love
27,Chike,Boo of the Booless
28,Polo G,Hall of Fame
29,Burna Boy,African Giant
30,Teni,WONDALAND
31,KCee & Okwesili Eze Group,Cultural Praise
32,Tems,For Broken Ears
33,Rudeboy,Rudykillus
34,Lil Durk,The Voice (Deluxe)
35,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
36,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
37,Elevation Worship & Maverick City Music,Old Church Basement
38,J Hus,Big Conspiracy
39,Basketmouth,Yabasi
40,Wizkid,Superstar
41,Judikay,Man of Galilee
42,Joeboy,Somewhere Between Beauty & Magic
43,Lil Baby,My Turn (Deluxe)
44,Roddy Ricch,Please Excuse Me For Being Antisocial
45,Fireboy DML,APOLLO
46,Laycon,...Shall We Begin...
47,Travis Scott,ASTROWORLD
48,Justin Bieber,Freedom. - EP
49,The Weeknd,After Hours
50,The Kid LAROI,F*CK LOVE 3+: OVER YOU
51,Rexxie,A True Champion
52,Davido,A Good Time
53,Rod Wave,SoulFly
54,Juice WRLD,Legends Never Die (Video Version)
55,Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
56,Young Thug,BEAUTIFUL THUGGER GIRLS
57,Wizkid,Ayo
58,Dunsin Oyekan,The Gospel of the Kingdom
59,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
60,Olivia Rodrigo,SOUR
61,Bella Shmurda,High Tension
62,Fireboy DML,"Laughter, Tears & Goosebumps"
63,The Spirituals,Black History Project (Live from London) - EP
64,DJ Khaled,KHALED KHALED
65,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
66,CKay,Boyfriend
67,Spinall,"Afromix, Ep. 2 (DJ Mix)"
68,Oxlade,OXYGENE - EP
69,Omah Lay,Get Layd - EP
70,Kida Kudz,TOP MEMBA
71,Blxst,No Love Lost (Deluxe)
72,Jaywillz,Love or the Word (EP)
73,Pop Smoke,Meet the Woo 2 (Deluxe)
74,6LACK,East Atlanta Love Letter
75,Olamide,Carpe Diem
76,Mercy Chinwo,SATISFIED
77,Omah Lay,What Have We Done - EP
78,Gunna,WUNNA (Deluxe)
79,Post Malone,Hollywood's Bleeding
80,Kodak Black,Haitian Boy Kodak
81,Toosii,Platinum Heart (Deluxe)
82,SAINt JHN,Ghetto Lenny's Love Songs
83,Polo G,THE GOAT
84,Amaarae,THE ANGEL YOU DON'T KNOW
85,Abra Cadabra,Product of My Environment
86,Dave,PSYCHODRAMA
87,Omawumi,Love Deep High Life
88,Burna Boy,Outside
89,GIVĒON,When It's All Said And Done... Take Time
90,YoungBoy Never Broke Again,Top
91,Unknown T,Adolescence
92,Isaiah Rashad,The House Is Burning
93,Corizo,Dead Rose
94,SAINt JHN,While the World Was Burning
95,Future,High Off Life
96,NSG,Roots
97,Ayra Starr,Ayra Starr - EP
98,Central Cee,Wild West
99,Wizkid,Sounds From the Other Side
100,Maverick City Music,Jubilee: Juneteenth Edition
101,Minister GUC,The Message
102,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
103,Various Artists,Budweiser (Remix)
104,Laolu Gbenjo,"Spontaneous Praise, Vol. 1"
105,21 Savage & Metro Boomin,SAVAGE MODE II
106,Nasty C,Zulu Man With Some Power
107,Lil Tjay,Destined 2 Win
108,Juice WRLD,Death Race for Love
109,Polo G,Die a Legend
110,Jhené Aiko,Chilombo (Deluxe Video Version)
111,Roddy Ricch,Feed Tha Streets ll
112,Tribl & Maverick City Music,Tribl I
113,Drake,Dark Lane Demo Tapes
114,Adekunle Gold,"Afro Pop, Vol. 1"
115,KDDO,TOO LATE TOO LIT (EP)
116,Lil Durk,Signed to the Streets 3
117,Drake,Scorpion
118,Sia,This Is Acting (Deluxe Version)
119,Peruzzi,Rum & Boogie
120,Kanye West,JESUS IS KING
121,Kanye West,The Life of Pablo
122,J. Cole,2014 Forest Hills Drive
123,Offset,FATHER OF 4
124,Young Thug,So Much Fun (Deluxe)
125,Beyoncé,The Lion King: The Gift [Deluxe Edition]
126,Justin Bieber,Purpose (Deluxe)
127,Santi,Mandy & The Jungle
128,Drake,Views
129,J Hus,Common Sense
130,Tope Alabi,Yes and Amen
131,Toosii,Thank You For Believing (The Manifestation)
132,Erigga,Before the Chaos-EP
133,Jeriq,Hood Boy Dreams - EP
134,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
135,Kodak Black,Dying to Live
136,Sarkodie,No Pressure
137,Gunna,Drip Season 3 (Deluxe)
138,The Weeknd,Starboy
139,Khalid,Free Spirit
140,Brymo,Yellow
141,Maroon 5,JORDI (Deluxe)
142,Fredo,Independence Day
143,Sarz & WurlD,I LOVE GIRLS WITH TROBUL
144,Nipsey Hussle,Victory Lap
145,Meek Mill,Wins & Losses (Deluxe)
146,Chris Brown,Indigo (Extended)
147,Jon Bellion,The Human Condition
148,Yemi Alade,Queendoncom
149,Post Malone,beerbongs & bentleys
150,JACKBOYS & Travis Scott,JACKBOYS
