Position,artist,album
1,Lojay & Sarz,LV N ATTN - EP
2,Olamide,UY Scuti
3,Wizkid,Made In Lagos
4,Lil Baby & Lil Durk,The Voice of the Heroes
5,Ruger,PANDEMIC - EP
6,Rexxie,A True Champion
7,Doja Cat,Planet Her (Deluxe)
8,Migos,Culture III (Deluxe)
9,Burna Boy,Twice As Tall
10,Polo G,Hall of Fame
11,J. Cole,The Off-Season
12,Teni,WONDALAND
13,Blaqbonez,Sex Over Love
14,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
15,KCee & Okwesili Eze Group,Cultural Praise
16,Mizzle,In The Dark
17,The Cavemen.,Roots
18,Chike,Boo of the Booless
19,Burna Boy,African Giant
20,Judikay,Man of Galilee
21,Joeboy,Somewhere Between Beauty & Magic
22,Davido,A Better Time
23,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
24,Elevation Worship & Maverick City Music,Old Church Basement
25,DJ Khaled,KHALED KHALED
26,Lil Durk,Just Cause Y\'all Waited 2 (Deluxe)
27,"Tyler, The Creator",CALL ME IF YOU GET LOST
28,Dunsin Oyekan,The Gospel of the Kingdom
29,J Hus,Big Conspiracy
30,Laycon,...Shall We Begin...
31,Olivia Rodrigo,SOUR
32,Fireboy DML,APOLLO
33,Lil Durk,The Voice (Deluxe)
34,Bella Shmurda,High Tension
35,Wizkid,Superstar
36,Masterkraft,Masta Groove
37,Roddy Ricch,Please Excuse Me For Being Antisocial
38,Lil Baby,My Turn (Deluxe)
39,Tems,For Broken Ears
40,The Weeknd,After Hours
41,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
42,Amaarae,THE ANGEL YOU DON\'T KNOW
43,Omah Lay,Get Layd - EP
44,Rod Wave,SoulFly
45,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
46,Omah Lay,What Have We Done - EP
47,Juice WRLD,Legends Never Die (Video Version)
48,Maverick City Music,Jubilee: Juneteenth Edition
49,CKay,Boyfriend
50,Travis Scott,ASTROWORLD
51,H.E.R.,Back of My Mind (Apple Music Edition)
52,Kodak Black,Haitian Boy Kodak
53,Jaywillz,Love or the Word (EP)
54,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
55,KDDO,TOO LATE TOO LIT (EP)
56,Post Malone,Hollywood's Bleeding
57,SAINt JHN,Ghetto Lenny's Love Songs
58,Fireboy DML,"Laughter, Tears & Goosebumps"
59,Basketmouth,Yabasi
60,Mercy Chinwo,SATISFIED
61,G Herbo,25
62,Maroon 5,JORDI (Deluxe)
63,Pop Smoke,Meet the Woo 2 (Deluxe)
64,Ayo Jay,Wonder Shall Never End - EP
65,Peruzzi,Rum & Boogie
66,Olamide,Carpe Diem
67,Gunna,WUNNA (Deluxe)
68,Nathaniel Bassey,The King Is Coming
69,Burna Boy,Outside
70,Davido,A Good Time
71,GIVĒON,When It's All Said And Done... Take Time
72,Toosii,Platinum Heart (Deluxe)
73,Erigga,Before the Chaos-EP
74,Abra Cadabra,Product of My Environment
75,Central Cee,Wild West
76,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
77,Polo G,THE GOAT
78,Wizkid,Ayo
79,SAINt JHN,While the World Was Burning
80,Juice WRLD,Death Race for Love
81,6LACK,East Atlanta Love Letter
82,Future,High Off Life
83,Oxlade,OXYGENE - EP
84,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
85,Nicki Minaj,Beam Me Up Scotty
86,Tope Alabi,Yes and Amen
87,Show Dem Camp,The Palmwine Express
88,Young Thug,BEAUTIFUL THUGGER GIRLS
89,Dremo & Jeriq,Ea$t N We$t - EP
90,Moneybagg Yo,A Gangsta's Pain
91,Sam Smith,Love Goes
92,Wizkid,Sounds From the Other Side
93,Roddy Ricch,Feed Tha Streets ll
94,Ayra Starr,Ayra Starr - EP
95,Nasty C,Strings and Bling
96,Nasty C,Zulu Man With Some Power
97,Lil Tjay,Destined 2 Win
98,Nas,It Was Written (Expanded Edition)
99,YoungBoy Never Broke Again,Top
100,Santi,Mandy & The Jungle
101,Jeriq,Hood Boy Dreams - EP
102,Minister GUC,The Message
103,Kodak Black,Dying to Live
104,Post Malone,beerbongs & bentleys
105,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Deluxe)
106,Drake,Dark Lane Demo Tapes
107,Drake,Scorpion
108,Polo G,Die a Legend
109,J. Cole,2014 Forest Hills Drive
110,Drake,Views
111,Dave,PSYCHODRAMA
112,Brymo,Yellow
113,Adekunle Gold,"Afro Pop, Vol. 1"
114,Jesse Jagz,"Jagz Nation, Vol.1: Thy Nation Come"
115,Jhené Aiko,Chilombo (Deluxe Video Version)
116,AURORA,All My Demons Greeting Me as a Friend
117,J Hus,Common Sense
118,Jorja Smith,Be Right Back
119,Jon Bellion,The Human Condition
120,"Limoblaze, Marizu, CalledOut Music, Sam Rivera, Asha Elia, CASS & Ada Ehi",God's Favourite Baby
121,Doja Cat,Hot Pink (Video Deluxe)
122,Don Toliver,Heaven Or Hell
123,Sola Allyson,ÌRÌ (The Album Live)
124,Blxst,No Love Lost (Deluxe)
125,Ariana Grande,Positions (Deluxe Edition)
126,Lil Wayne,Tha Carter V (Deluxe)
127,Sia,This Is Acting (Deluxe Version)
128,Summer Walker,Over It
129,Khalid,American Teen
130,SAINt JHN,Collection One
131,Internet Money,B4 The Storm
132,Rod Wave,Pray 4 Love (Deluxe)
133,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
134,Rihanna,ANTI (Deluxe)
135,21 Savage & Metro Boomin,SAVAGE MODE II
136,Gunna,Drip Season 3 (Deluxe)
137,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)"
138,Drake,More Life
139,Drake,Take Care (Deluxe Version)
140,Layzee Ella,When The Lights Go Off - EP
141,Young M.A,Off the Yak
142,NSG,Roots
143,Tomi Thomas,Hopeless Romantic - EP
144,Pop Smoke,Meet the Woo
145,XXXTENTACION,?
146,Moses Bliss,Too Faithful
147,42 Dugg,Free Dem Boyz
148,Offset,FATHER OF 4
149,Simi,Simisola (Deluxe)
150,M.I Abaga,MI 2: The Movie
151,G4 Boyz,Scam - EP
152,The Weeknd,Starboy
153,Kendrick Lamar,DAMN.
154,50 Cent,Get Rich or Die Tryin
155,"Nas & Damian ""Jr. Gong"" Marley",Distant Relatives (Bonus Track Version)
156,Meek Mill,Wins & Losses (Deluxe)
157,Spinall,"Afromix, Ep. 1 (DJ Mix)"
158,Drake,Nothing Was the Same (Deluxe)
159,Dunsin Oyekan,Kingdom Now
160,Post Malone,Stoney (Deluxe)
161,Billie Eilish,Happier Than Ever
162,Khalid,Free Spirit
163,21 Savage,i am > i was (Deluxe)
164,KiDi,The Golden Boy
165,Sarz & WurlD,I LOVE GIRLS WITH TROBUL
166,Maverick City Music,Maverick City Vol. 3 Part 1
167,The Weeknd,Beauty Behind the Madness
168,NF,The Search
169,Bryson Tiller,T R A P S O U L (Deluxe)
170,Kida Kudz,TOP MEMBA
171,JACKBOYS & Travis Scott,JACKBOYS
172,Toosii,Thank You For Believing
173,Asa,ASA (Asha) [Deluxe Edition]
174,21 Savage,Issa Album
175,Travis Scott,Birds in the Trap Sing McKnight
176,Olakira,4Play - EP
177,Kanye West,Late Registration
178,Chris Brown,Indigo (Extended)
179,Zinoleesky,Chrome - EP
180,Meek Mill,Championships
181,"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya",The Greatest Showman (Original Motion Picture Soundtrack)
182,Popcaan,Forever
183,PsychoYP & Azanti,"YP & Azanti, Vol. 1"
184,Tope Alabi & Ty Bello,The Spirit of Light
185,Olamide,Eyan Mayweather
186,A Boogie wit da Hoodie,Artist 2.0
187,Barry Jhay,Barry Back
188,The Weeknd,"My Dear Melancholy,"
189,Pi'erre Bourne,The Life Of Pi'erre 5
190,Kanye West,The Life of Pablo
191,Future,Future Hndrxx Presents: The WIZRD
192,Skepta,Ignorance Is Bliss
193,Flavour,Flavour of Africa
194,Kodak Black,Happy Birthday Kodak - EP
195,Lil Durk,Signed to the Streets 3
196,Mannywellz,Mirage
197,Dua Lipa,Future Nostalgia
198,Don Moen,Ultimate Collection
199,Roddy Ricch,Feed tha Streets
200,Burna Boy,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition)
