Position,artist,album
1,Drake,Certified Lover Boy
2,Wizkid,Made In Lagos: Deluxe Edition
3,Kanye West,Donda
4,Johnny Drille,Before We Fall Asleep
5,Ayra Starr,19 & Dangerous
6,Tiwa Savage,Water & Garri - EP
7,Troniq Music & Oxlade,Eclipse - EP
8,Dave,We're All Alone In This Together
9,Dangbana Republik & Bella Shmurda,High Tension 2.0
10,Lojay & Sarz,LV N ATTN - EP
11,YKB,Before I Blow
12,Doja Cat,Planet Her (Deluxe)
13,Burna Boy,Twice As Tall
14,PsychoYP,Euphoria
15,Lil Baby & Lil Durk,The Voice of the Heroes
16,Olamide,UY Scuti
17,Ruger,PANDEMIC - EP
18,Pop Smoke,Faith
19,Rod Wave,SoulFly (Deluxe Version)
20,Tems,For Broken Ears
21,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
22,Chike,Boo of the Booless
23,Imagine Dragons,Mercury - Act 1
24,The Cavemen.,Roots
25,Lil Durk,Just Cause Y'all Waited 2 (Deluxe)
26,J. Cole,The Off-Season
27,Ayanfe,All That Matters
28,KCee & Okwesili Eze Group,Cultural Praise
29,Migos,Culture III (Deluxe)
30,Fireboy DML,"Laughter, Tears & Goosebumps"
31,Polo G,Hall of Fame
32,Davido,A Better Time
33,Burna Boy,African Giant
34,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
35,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
36,Ria Sean,Fluid (EP)
37,Obongjayar & Sarz,Sweetness - EP
38,Fireboy DML,APOLLO
39,Blaqbonez,Sex Over Love
40,Drake,Dark Lane Demo Tapes
41,Trippie Redd,Trip At Knight (Complete Expanded Edition)
42,Lil Baby,My Turn (Deluxe)
43,Cheque,Bravo
44,Yung Bleu,Moon Boy
45,Lil Durk,The Voice (Deluxe)
46,Laycon,...Shall We Begin...
47,J Hus,Big Conspiracy
48,Skepta,All In - EP
49,The Weeknd,After Hours
50,Teni,WONDALAND
51,Judikay,Man of Galilee
52,Nas,King's Disease II
53,Liya,Alari - EP
54,Elevation Worship & Maverick City Music,Old Church Basement
55,Billie Eilish,Happier Than Ever
56,Victor AD,Nothing To Prove - EP
57,Wizkid,Superstar
58,Drake,Scorpion
59,Roddy Ricch,Please Excuse Me For Being Antisocial
60,Travis Scott,ASTROWORLD
61,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
62,Jackboy,Jackboy 2
63,Bella Shmurda,High Tension
64,Juice WRLD,Legends Never Die (Video Version)
65,Joeboy,Somewhere Between Beauty & Magic
66,Rotimi,All or Nothing
67,Dunsin Oyekan,The Gospel of the Kingdom
68,Not3s,3 Th3 Album
69,Omah Lay,Get Layd - EP
70,Little Simz,Sometimes I Might Be Introvert
71,Basketmouth,Yabasi
72,Olivia Rodrigo,SOUR (Video Version)
73,Drake,Views
74,OneRepublic,Human (Deluxe)
75,Klass Money,More Money More Problems
76,The Kid LAROI,F*CK LOVE 3+: OVER YOU
77,Toosii,Platinum Heart (Deluxe)
78,BIG30,King Of Killbranch
79,Mercy Chinwo,SATISFIED
80,YoungBoy Never Broke Again,Top
81,2Baba,Unstoppable International
82,Drake,Take Care (Deluxe Version)
83,Lil Tecca,We Love You Tecca 2 (Deluxe)
84,Davido,A Good Time
85,Spinall,"Afromix, Ep. 2 (DJ Mix)"
86,Pop Smoke,Meet the Woo 2 (Deluxe)
87,Polo G,THE GOAT
88,DJ Khaled,KHALED KHALED
89,Rexxie,A True Champion
90,42 Dugg,Free Dem Boyz (Deluxe)
91,Young Thug,BEAUTIFUL THUGGER GIRLS
92,Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
93,Gunna,WUNNA (Deluxe)
94,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
95,6LACK,East Atlanta Love Letter
96,Wizkid,Ayo
97,Future,High Off Life
98,CKay,Boyfriend
99,Burna Boy,Outside
100,Olamide,Carpe Diem
101,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
102,Oxlade,OXYGENE - EP
103,Omah Lay,What Have We Done - EP
104,Travis Greene,Oil + Water
105,Post Malone,Hollywood's Bleeding
106,Jaido P,Shopla
107,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
108,Drake,More Life
109,SAINt JHN,Ghetto Lenny's Love Songs
110,Drake,Nothing Was the Same (Deluxe)
111,Juice WRLD,Death Race for Love
112,Lorde,Solar Power
113,Halsey,"If I Can’t Have Love, I Want Power"
114,SAINt JHN,While the World Was Burning
115,Polo G,Die a Legend
116,Abra Cadabra,Product of My Environment
117,Amaarae,THE ANGEL YOU DON'T KNOW
118,GIVĒON,When It's All Said And Done... Take Time
119,Kodak Black,Haitian Boy Kodak
120,Tope Alabi,Yes and Amen
121,Dave,PSYCHODRAMA
122,Jaywillz,Love or the Word (EP)
123,Kanye West,JESUS IS KING
124,Maverick City Music,Jubilee: Juneteenth Edition
125,Travis Scott,Birds in the Trap Sing McKnight
126,Minister GUC,The Message
127,Zamir,FLOWERBOI4000
128,Roddy Ricch,Feed Tha Streets ll
129,Show Dem Camp,The Palmwine Express
130,Wizkid,Sounds From the Other Side
131,Central Cee,Wild West
132,The Spirituals,Black History Project (Live from London) - EP
133,21 Savage & Metro Boomin,SAVAGE MODE II
134,Santi,Mandy & The Jungle
135,Ayra Starr,Ayra Starr - EP
136,YNW Melly,Just A Matter of Slime
137,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Deluxe)
138,Kanye West,The Life of Pablo
139,Jhené Aiko,Chilombo (Deluxe Video Version)
140,Jeriq,Hood Boy Dreams - EP
141,Lil Nas X,MONTERO
142,Lil Tjay,Destined 2 Win
143,Kodak Black,Dying to Live
144,J. Cole,2014 Forest Hills Drive
145,Kida Kudz,TOP MEMBA
146,Erigga,Before the Chaos-EP
147,Nasty C,Zulu Man With Some Power
148,Justin Bieber,Freedom. - EP
149,Adekunle Gold,"Afro Pop, Vol. 1"
150,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
