Position,artist,album
1,Olamide,UY Scuti
2,Lojay & Sarz,LV N ATTN - EP
3,Wizkid,Made In Lagos
4,Rexxie,A True Champion
5,Lil Baby & Lil Durk,The Voice of the Heroes
6,Migos,Culture III (Deluxe)
7,Ruger,PANDEMIC - EP
8,Doja Cat,Planet Her (Deluxe)
9,Burna Boy,Twice As Tall
10,Polo G,Hall of Fame
11,Teni,WONDALAND
12,J. Cole,The Off-Season
13,G Herbo,25
14,Mizzle,In The Dark
15,Blaqbonez,Sex Over Love
16,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
17,"Tyler, The Creator",CALL ME IF YOU GET LOST
18,The Cavemen.,Roots
19,Burna Boy,African Giant
20,Elevation Worship & Maverick City Music,Old Church Basement
21,Joeboy,Somewhere Between Beauty & Magic
22,Chike,Boo of the Booless
23,Davido,A Better Time
24,KCee & Okwesili Eze Group,Cultural Praise
25,Laycon,...Shall We Begin...
26,Tems,For Broken Ears
27,Judikay,Man of Galilee
28,Lil Durk,Just Cause Y\'all Waited 2 (Deluxe)
29,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
30,DJ Khaled,KHALED KHALED
31,Wizkid,Superstar
32,Masterkraft,Masta Groove
33,Fireboy DML,APOLLO
34,J Hus,Big Conspiracy
35,Dunsin Oyekan,The Gospel of the Kingdom
36,Bella Shmurda,High Tension
37,The Weeknd,After Hours
38,Olivia Rodrigo,SOUR
39,Ayo Jay,Wonder Shall Never End - EP
40,Roddy Ricch,Please Excuse Me For Being Antisocial
41,Lil Durk,The Voice (Deluxe)
42,H.E.R.,Back of My Mind (Apple Music Edition)
43,Rod Wave,SoulFly
44,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
45,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
46,Fireboy DML,"Laughter, Tears & Goosebumps"
47,Lil Baby,My Turn (Deluxe)
48,Basketmouth,Yabasi
49,Peruzzi,Rum & Boogie
50,Travis Scott,ASTROWORLD
51,Juice WRLD,Legends Never Die (Video Version)
52,Pop Smoke,Meet the Woo 2 (Deluxe)
53,Maverick City Music,Jubilee: Juneteenth Edition
54,Burna Boy,Outside
55,Maroon 5,JORDI (Deluxe)
56,Kodak Black,Haitian Boy Kodak
57,Davido,A Good Time
58,"Limoblaze, Marizu, CalledOut Music, Sam Rivera, Asha Elia, CASS & Ada Ehi",God's Favourite Baby
59,Olamide,Carpe Diem
60,CKay,Boyfriend
61,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
62,SAINt JHN,Ghetto Lenny's Love Songs
63,Omah Lay,What Have We Done - EP
64,Amaarae,THE ANGEL YOU DON'T KNOW
65,Mercy Chinwo,SATISFIED
66,Wizkid,Ayo
67,6LACK,East Atlanta Love Letter
68,Omah Lay,Get Layd - EP
69,KDDO,TOO LATE TOO LIT (EP)
70,Toosii,Platinum Heart (Deluxe)
71,Oxlade,OXYGENE - EP
72,Gunna,WUNNA (Deluxe)
73,Minister GUC,The Message
74,Erigga,Before the Chaos-EP
75,Post Malone,Hollywood's Bleeding
76,Abra Cadabra,Product of My Environment
77,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
78,Jaywillz,Love or the Word (EP)
79,Dangbana Republik & Bella Shmurda,High Tension 2.0
80,Central Cee,Wild West
81,SAINt JHN,While the World Was Burning
82,GIVĒON,When It's All Said And Done... Take Time
83,Nicki Minaj,Beam Me Up Scotty
84,Dremo & Jeriq,Ea$t N We$t - EP
85,Polo G,THE GOAT
86,Juice WRLD,Death Race for Love
87,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Deluxe)
88,Wizkid,Sounds From the Other Side
89,Layzee Ella,When The Lights Go Off - EP
90,Young Thug,BEAUTIFUL THUGGER GIRLS
91,Ayra Starr,Ayra Starr - EP
92,Nasty C,Zulu Man With Some Power
93,Show Dem Camp,The Palmwine Express
94,Moneybagg Yo,A Gangsta's Pain
95,Sam Smith,Love Goes
96,Nathaniel Bassey,The King Is Coming
97,AURORA,All My Demons Greeting Me as a Friend
98,Lil Tjay,Destined 2 Win
99,Future,High Off Life
100,Drake,Dark Lane Demo Tapes
101,Santi,Mandy & The Jungle
102,YoungBoy Never Broke Again,Top
103,Yungeen Ace,Life of Betrayal 2x
104,Brymo,Yellow
105,Drake,Scorpion
106,NSG,Roots
107,Polo G,Die a Legend
108,J. Cole,2014 Forest Hills Drive
109,Roddy Ricch,Feed Tha Streets ll
110,Adekunle Gold,"Afro Pop, Vol. 1"
111,Young M.A,Off the Yak
112,Jhené Aiko,Chilombo (Deluxe Video Version)
113,The Weeknd,Starboy
114,Kodak Black,Dying to Live
115,Kodak Black,Happy Birthday Kodak - EP
116,Burna Boy,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition)
117,Olakira,4Play - EP
118,Jesse Jagz,"Jagz Nation, Vol.1: Thy Nation Come"
119,Spinall,"Afromix, Ep. 1 (DJ Mix)"
120,Khalid,Free Spirit
121,Jon Bellion,The Human Condition
122,K1 De Ultimate,Fuji the Sound - EP
123,Dave,PSYCHODRAMA
124,Ariana Grande,Positions (Deluxe Edition)
125,Drake,Views
126,Kida Kudz,TOP MEMBA
127,42 Dugg,Free Dem Boyz
128,Offset,FATHER OF 4
129,Summer Walker,Over It
130,J Hus,Common Sense
131,SAINt JHN,Collection One
132,Khalid,American Teen
133,Kendrick Lamar,DAMN.
134,Omar Sterling,Same Earth Different Worlds
135,Burna Boy,On a Spaceship
136,Rihanna,ANTI (Deluxe)
137,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
138,SZA,Ctrl
139,Internet Money,B4 The Storm
140,21 Savage & Metro Boomin,SAVAGE MODE II
141,KiDi,The Golden Boy
142,Sola Allyson,ÌRÌ (The Album Live)
143,XXXTENTACION,?
144,Post Malone,Stoney (Deluxe)
145,Post Malone,beerbongs & bentleys
146,Burna Boy,Redemption
147,21 Savage,i am > i was (Deluxe)
148,G4 Boyz,Scam - EP
149,JAY-Z,4:44
150,Unfoonk & Young Stoner Life,My Struggle
151,The Weeknd,Beauty Behind the Madness
152,King Perryy,Citizen of the World
153,Chris Brown,Indigo (Extended)
154,Jeriq,Hood Boy Dreams - EP
155,Gunna,Drip Season 3 (Deluxe)
156,Tope Alabi & Ty Bello,The Spirit of Light
157,Bryson Tiller,T R A P S O U L (Deluxe)
158,Mercy Chinwo,The Cross: My Gaze
159,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)"
160,Jorja Smith,Be Right Back
161,Blxst,No Love Lost (Deluxe)
162,Tope Alabi,Yes and Amen
163,MohBad,Light
164,Nasty C,Strings and Bling
165,Stormzy,Heavy Is The Head
166,Drake,More Life
167,Drake,Nothing Was the Same (Deluxe)
168,Future,HNDRXX
169,50 Cent,Get Rich or Die Tryin
170,Aṣa,Lucid
171,Various Artists,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack)
172,Young M.A,Herstory in the Making
173,Cassper Nyovest,Sweet And Short 2.0
174,Ed Sheeran,÷ (Deluxe)
175,M.I Abaga,MI 2: The Movie
176,Lil Wayne,Tha Carter V (Deluxe)
177,JACKBOYS & Travis Scott,JACKBOYS
178,Toosii,Thank You For Believing
179,Lil Durk,Signed to the Streets 3
180,Young Thug,So Much Fun (Deluxe)
181,Dunsin Oyekan,Kingdom Now
182,Naïka,"Lost in Paradïse, Pt. 2 - EP"
183,Skepta,Ignorance Is Bliss
184,Drake,Take Care (Deluxe Version)
185,Timaya,Gratitude
186,Sarz & WurlD,I LOVE GIRLS WITH TROBUL
187,Flavour,Flavour of Africa
188,Doja Cat,Hot Pink (Video Deluxe)
189,Suté Iwar,199X
190,Toosii,Poetic Pain (Illustrated)
191,The Weeknd,"My Dear Melancholy,"
192,Runtown,Sound God Fest Reloaded
193,Playboi Carti,Whole Lotta Red
194,Simi,Simisola (Deluxe)
195,Don Toliver,Heaven Or Hell
196,Sia,This Is Acting (Deluxe Version)
197,Pa Salieu,Send Them To Coventry
198,Mannywellz,Mirage
199,Pi'erre Bourne,The Life Of Pi'erre 5
200,Pooh Shiesty,Shiesty Season - Spring Deluxe
