Position,artist,album
1,Olamide,UY Scuti
2,Lojay & Sarz,LV N ATTN - EP
3,Migos,Culture III (Deluxe)
4,Wizkid,Made In Lagos
5,Polo G,Hall of Fame
6,Lil Baby & Lil Durk,The Voice of the Heroes
7,Ruger,PANDEMIC - EP
8,J. Cole,The Off-Season
9,Burna Boy,Twice As Tall
10,Blaqbonez,Sex Over Love
11,H.E.R.,Back of My Mind (Apple Music Edition)
12,Teni,WONDALAND
13,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
14,Davido,A Better Time
15,Joeboy,Somewhere Between Beauty & Magic
16,KCee & Okwesili Eze Group,Cultural Praise
17,Elevation Worship & Maverick City Music,Old Church Basement
18,The Cavemen.,Roots
19,Chike,Boo of the Booless
20,Wizkid,Superstar
21,Laycon,...Shall We Begin...
22,Maroon 5,JORDI (Deluxe)
23,Judikay,Man of Galilee
24,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
25,DJ Khaled,KHALED KHALED
26,Maverick City Music,Jubilee: Juneteenth Edition
27,Burna Boy,African Giant
28,Lil Durk,Just Cause Y\'all Waited 2 (Deluxe)
29,Unfoonk & Young Stoner Life,My Struggle
30,Olivia Rodrigo,SOUR
31,Fireboy DML,APOLLO
32,Olamide,Carpe Diem
33,J Hus,Big Conspiracy
34,Bella Shmurda,High Tension
35,The Weeknd,After Hours
36,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
37,Lil Durk,The Voice (Deluxe)
38,Amaarae,THE ANGEL YOU DON\'T KNOW
39,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
40,Tems,For Broken Ears
41,KDDO,TOO LATE TOO LIT (EP)
42,Dunsin Oyekan,The Gospel of the Kingdom
43,Roddy Ricch,Please Excuse Me For Being Antisocial
44,Rod Wave,SoulFly
45,Kodak Black,Haitian Boy Kodak
46,Lil Baby,My Turn (Deluxe)
47,Wizkid,Ayo
48,CKay,Boyfriend
49,Hugo P,Resurrection
50,Erigga,Before the Chaos-EP
51,Peruzzi,Rum & Boogie
52,Travis Scott,ASTROWORLD
53,Basketmouth,Yabasi
54,Omah Lay,What Have We Done - EP
55,Omah Lay,Get Layd - EP
56,Fireboy DML,"Laughter, Tears & Goosebumps"
57,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
58,Kodak Black,Happy Birthday Kodak - EP
59,Juice WRLD,Legends Never Die (Video Version)
60,Nicki Minaj,Beam Me Up Scotty
61,Post Malone,Hollywood's Bleeding
62,Mercy Chinwo,SATISFIED
63,Wizkid,Sounds From the Other Side
64,Suté Iwar,199X
65,Davido,A Good Time
66,Central Cee,Wild West
67,Abra Cadabra,Product of My Environment
68,Pop Smoke,Meet the Woo 2 (Deluxe)
69,Gunna,WUNNA (Deluxe)
70,Angelique Kidjo,Mother Nature
71,SAINt JHN,Ghetto Lenny's Love Songs
72,Dremo & Jeriq,Ea$t N We$t - EP
73,Burna Boy,Outside
74,Polo G,THE GOAT
75,SAINt JHN,While the World Was Burning
76,GIVĒON,When It's All Said And Done... Take Time
77,Oxlade,OXYGENE - EP
78,6LACK,East Atlanta Love Letter
79,Summer Walker,Over It
80,Jorja Smith,Be Right Back
81,Juice WRLD,Death Race for Love
82,Kida Kudz,TOP MEMBA
83,Pi'erre Bourne,The Life Of Pi'erre 5
84,Show Dem Camp,The Palmwine Express
85,Spinall,"Afromix, Ep. 1 (DJ Mix)"
86,Jeriq,Hood Boy Dreams - EP
87,Young Thug,BEAUTIFUL THUGGER GIRLS
88,Sam Smith,Love Goes
89,Toosii,Platinum Heart (Deluxe)
90,YoungBoy Never Broke Again,Top
91,Ayra Starr,Ayra Starr - EP
92,Gucci Mane,Ice Daddy
93,NSG,Roots
94,AURORA,All My Demons Greeting Me as a Friend
95,Santi,Mandy & The Jungle
96,Tori Keeche,Torilyna's Secret Book - EP
97,Polo G,Die a Legend
98,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
99,Minister GUC,The Message
100,Roddy Ricch,Feed Tha Streets ll
101,Jhené Aiko,Chilombo (Deluxe Video Version)
102,King Perryy,Citizen of the World
103,Runtown,Sound God Fest Reloaded
104,Billie Eilish,Happier Than Ever
105,Lil Tjay,Destined 2 Win
106,Moneybagg Yo,A Gangsta's Pain
107,Internet Money,B4 The Storm
108,The Weeknd,Starboy
109,Nasty C,Zulu Man With Some Power
110,J. Cole,2014 Forest Hills Drive
111,J Hus,Common Sense
112,Young M.A,Off the Yak
113,SAINt JHN,Collection One
114,Mannywellz,Mirage
115,Future,High Off Life
116,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
117,Drake,Scorpion
118,21 Savage & Metro Boomin,SAVAGE MODE II
119,Tomi Thomas,Hopeless Romantic - EP
120,G4 Boyz,Scam - EP
121,Toosii,Thank You For Believing
122,Drake,Dark Lane Demo Tapes
123,Various Artists,Fast & Furious 9: The Fast Saga (Original Motion Picture Soundtrack)
124,Asa,ASA (Asha) [Deluxe Edition]
125,Tope Alabi,Yes and Amen
126,Pop Smoke,Meet the Woo
127,Dave,PSYCHODRAMA
128,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Deluxe)
129,Kodak Black,Dying to Live
130,Brymo,Yellow
131,The Weeknd,Beauty Behind the Madness
132,Ariana Grande,Positions (Deluxe Edition)
133,Jon Bellion,The Human Condition
134,Sarz & WurlD,I LOVE GIRLS WITH TROBUL
135,Sola Allyson,ÌRÌ (The Album Live)
136,Kendrick Lamar,DAMN.
137,XXXTENTACION,?
138,42 Dugg,Free Dem Boyz
139,Khalid,Free Spirit
140,Timaya,Gratitude
141,Jaywillz,Love or the Word (EP)
142,Drake,Views
143,Young Thug,So Much Fun (Deluxe)
144,Adekunle Gold,"Afro Pop, Vol. 1"
145,Don Toliver,Heaven Or Hell
146,SZA,Ctrl
147,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)"
148,Jacob Banks,Village
149,Lord B,State of Mind
150,Khalid,American Teen
