Position,song,artist,album
1,Human (feat. Tomi Ow\xc3\xb3),Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
2,Money & Laughter,"BOJ, Zamir, Amaarae",Money & Laughter - Single
3,Frenemies (feat. Oxlade),Rexxie,A True Champion
4,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
5,Confident,"Savage, Buju",Confident - Single
6,Ltf,"Victor Collins, MisterKay",Lust & Emotions - EP
7,Outside,Buju,Outside - Single
8,Understand,Omah Lay,Understand - Single
9,Tonongo,"Lojay, Sarz",Tonongo - Single
10,DUP\xc4\x96 (feat. Lady Donli) [Lady Donli Remix],Azekel,DUP\xc4\x96 (Lady Donli Remix) [feat. Lady Donli] - Single
11,Euphoria (feat. Victony),Hoodini,Euphoria (feat. Victony) - Single
12,Tornado,chuXchu,Luv Struck - EP
13,Wotm,Richie Benson,Wotm - Single
14,Feeling,"LADIPOE, Buju",Feeling - Single
15,Align (feat. LADIPOE),Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
16,So Long (feat. Tomi Thomas & Larry Gaaga),Sjxy,So Long (feat. Tomi Thomas & Larry Gaaga) - Single
17,The Key,Tems,For Broken Ears
18,Fancy (feat. Africaine),Niinety9,Fancy (feat. Africaine) - Single
19,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
20,Soundgasm,Rema,Soundgasm - Single
21,PEAKING,Tay Iwar,Love & Isolation - EP
22,Sativa (feat. Minz),Runtown,Sound God Fest Reloaded
23,Fever,Yung D3mz,Fever - Single
24,Result,Dreylo,Mixed Feelings
25,Send Me Nudes (feat. Joey B),KiDi,The Golden Boy
26,Kogi (feat. Bella Shmurda & Poco Lee),Jumabee,Kogi (feat. Bella Shmurda & Poco Lee) - Single
27,Closure,The Syndicate,Closure - Single
28,Someone Else (feat. Mannywellz),Olayinka Ehi,Someone Else (feat. Mannywellz) - Single
29,Right Back,"Skaa, Buju",Right Back - Single
30,Sisi Caro,"Governor of Africa, Oxlade",Sisi Caro - Single
31,Cry Another Day,"Zubi, anatu, Gabriel",Cry Another Day - Single
32,Dark Twisted Fantasy,T\'neeya,Dark Twisted Fantasy - Single
33,Kiss Me Like You Miss Me,CKay,Boyfriend
34,For You,Smyley,For You - Single
35,Down for You (feat. Boybreed),Aramide,Down for You (feat. Boybreed) - Single
36,Joro Mi,Beejvibe$,Joro Mi - Single
37,RIP OLD DAD,The.wav,RIP OLD DAD - Single
38,Body on Me,Sudxn,Body on Me - Single
39,Stoves,Wale the Sage,Stoves - Single
40,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
41,Serenade (feat. Loti),Begho,Serenade (feat. Loti) - Single
42,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz,Ball Till We Fall (feat. Bella Shmurda) - Single
43,10Pm In Lekki,"Victor Collins, MisterKay",Lust & Emotions - EP
44,Let Go,T\xc3\x96ME,Dreams - EP
45,Mad at You,SMOJ,The Blue Door - EP
46,Tdk (feat. SirBastien),DAP The Contract,"Powers, Vol. 2"
47,Dont Mind.,G-West,Dont Mind. - Single
48,Fiya (feat. Ogranya),Amadi Blue,Fiya (feat. Ogranya) - Single
49,Show My Side (feat. Amaarae),CKay,Boyfriend
50,DKT,Oxlade,DKT - Single
51,LUV HRTS (feat. Odunsi (The Engine)),Zamir,LUV HRTS (feat. Odunsi (The Engine)) - Single
52,Don\'t You Go,"Yungace, Bella Alubo",Don\'t You Go - Single
53,Birthday (feat. Buju & Moelogo),Rexxie,A True Champion
54,Emotions,BOJ,Emotions - Single
55,Sweet Escape,Mizzle,In The Dark
56,Runaway,DSO,The D&L - Single
57,Indecisive,Niinety9,Indecisive - Single
58,Star Friends,Salome,Shelly - EP
59,Don\'t (feat. Show Dem Camp),Ilaye,Sixth Sense - EP
60,Your Body,Yang 21,Quickie - Single
61,Stay With Me,Layzee Ella,When The Lights Go Off - EP
62,Sacrifices (feat. Tim Lyre),DAP The Contract,"Powers, Vol. 2"
63,Bounce,Ruger,PANDEMIC - EP
64,ONE,Tosin Robeck,THE NEXT CHAPTER - EP
65,Faaji (feat. Leo Luve),Zubi,The Love Games We Play - EP
66,Can You See Her (Acoustic),"Tha Beatsmith, Ogranya",Vanity (Acoustic Version) - EP
67,JUMPING SHIP,"Amaarae, Kojey Radical, Cruel Santino",THE ANGEL YOU DON\'T KNOW
68,Barb\xc3\xa4dos (feat. Show Dem Camp),Shaykeh,The Subtle Art of Seduction
69,Yktv (feat. Lady Donli),Ilaye,Sixth Sense - EP
70,Fever,Sut\xc3\xa9 Iwar,199X
71,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
72,Nervous (feat. BULLY),Shabazz,Nervous (feat. BULLY) - Single
73,Kpokom (feat. Oxlade),Brainee,Kpokom (feat. Oxlade) - Single
74,In Those Eyes,Ogranya,In Those Eyes - Single
75,SAD GIRLZ LUV MONEY (feat. Moliy),Amaarae,THE ANGEL YOU DON\'T KNOW
76,U (feat. SGaWD),Sut\xc3\xa9 Iwar,199X
77,Body Position,Nathan Walid,Body Position - Single
78,Body On Fire (feat. Buju & Inci),"Jess ETA, S\'Bling",Body On Fire (feat. Buju & Inci) - Single
79,Sere (Remix),"Spinall, Fireboy DML, 6LACK",Sere (Remix) - Single
80,Only Fan,N\xc3\xba Baby,Only Fan - Single
81,History,"Cheque, Fireboy DML",History - Single
82,Broken,Victony,Broken - Single
83,Energy (feat. Minz & Bella Shmurda),Spinall,Grace
