Position,song,artist
1,Harmonies (feat. WurlD),Wavy The Creator
2,Pay Me,Oxlade and  Troniq Music
3,Peru,Fireboy DML
4,Peace,Mannywellz and  Tems
5,Gbese,Ogranya and  Show Dem Camp
6,SPUNK,WurlD
7,Understand,Omah Lay
8,Sweet As Temptation,Ogranya
9,Sinner,Adekunle Gold and  Lucky Daye
10,W I L D,Lady Donli
11,Pray,Victony
12,Ojuju,Oxlade and  Troniq Music
13,MKD,Skillz 8Figure
14,Amnesia,Zamir
15,Frenemies (feat. Oxlade),Rexxie
16,Confident,Savage and  Buju
17,Money & Laughter (feat. Amaarae & Zamir),BOJ
18,Outside,Buju
19,Erima (feat. Terri & Minz),DJ Latitude
20,Show My Side (feat. Amaarae),CKay
21,Euphoria (feat. Victony),Hoodini
22,I Like Girls,Kola Williams
23,Mafimisere,Plainben
24,The Key,Tems
25,Unconditionally,Ajebutter 22 and  Oxlade
26,Tornado,chuXchu
27,Don't Mind (feat. Rhythmnculture),Doka Shot
28,Wicked,Straffitti
29,Fallin' Hard,The.wav
30,Wag1 (feat. 60),Activity Club NG
31,Slumber,Chachi
32,All Mine (feat. Buju) [Remix],Kinsolo
33,Through the Never,Tomi Owxc3xb3
34,Down for You (feat. Boybreed),Aramide
35,Bling (feat. Amaarae & Buju),Blaqbonez
36,Soundgasm,Rema
37,Right Back,Skaa and  Buju
38,Gone Girl,Obongjayar and  Sarz
39,Beggie Beggie (feat. Ckay),Ayra Starr
40,Human (feat. Tomi Owxc3xb3),Show Dem Camp
41,Cocaine,Dai Verse
42,Fancy (feat. Africaine),Niinety9
43,Should've Known Better,Sizz The Truth
44,Real,Tim Lyre
45,Ltf,Victor Collins and  MisterKay
46,Sweet Escape,Mizzle
47,Body Language (feat. Buju),Zeezboi
48,A. Iverson (feat. dndSection),Zamir
49,Fancy,Uche Malik
50,Snitch (feat. Foushexc3xa9),Ayra Starr
51,Tonongo,Lojay and  Sarz
52,Testimony,Buju
53,Party Starter,Gabzy
54,Money Bag,Ria Sean
55,Dragon Fruit Freestyle,Lady Donli
56,Shege,Purple Plutonian
57,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz
58,Pumpkin,Mike Akox
59,Times Two (X2) [feat. Buju],WANI
60,Omah,Neeza
61,Wicked Somebody (Refix),Wondamagik and  Ogranya
62,BEAN24 (feat. DOZ & Le Mav),Hermez
63,Indecisive,Niinety9
64,Seke (feat. TiwaDara),Vader the Wildcard
65,Talk,Timiboi
66,Fever,Yung D3mz
67,Early Momo (feat. GoodGirl LA),Vector
68,Caribbeana,Wondamagik and  Ogranya
69,Alcy (feat. Bella Alubo),July Drama
70,Kogi (feat. Bella Shmurda & Poco Lee),Jumabee
71,For You,Smyley
72,Gorgeous (feat. Blaqbonez),SaveMilli
73,Sativa (feat. Minz),Runtown
74,Test Me,"Jeune Lio,  Chrystel and  Yung D3mz"
75,Feeling,LADIPOE and  Buju
76,Wotm,Richie Benson
77,Sweatshirt,April Maey
78,Table for Two,Bella Alubo
79,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp
80,Sacrifices (feat. Tim Lyre),DAP The Contract
81,Who Talk (feat. Adekunle Gold & Ria Sean),Moelogo
82,PEAKING,Tay Iwar
83,One Time (feat. Reekado Banks),Moelogo
84,Cold,"Zubi,  anatu and  Gabriel"
85,La La,T'neeya
86,Cry Another Day,"Zubi,  Gabriel and  anatu"
87,Closure,The Syndicate
88,So Long (feat. Tomi Thomas & Larry Gaaga),Sjxy
89,Align (feat. LADIPOE),Show Dem Camp
90,Anaconda,BadTheSoundBoy
91,Idgaf,Ikayh
