rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Feeling,"LADIPOE, Buju",1,1,1,1,1,1,1,1.0
2,Rock,Olamide,2,2,2,2,2,2,2,2.0
3,Bling (feat. Amaarae & Buju),Blaqbonez,5,5,4,5,4,4,5,4.571428571428571
4,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions",6,6,5,6,5,6,8,6.0
5,Dimension (feat. Skepta & Rema),JAE5,7,7,6,7,6,7,6,6.571428571428571
6,Coming,"Naira Marley, Busiswa",8,8,7,8,7,8,7,7.571428571428571
7,Kilometre,Burna Boy,9,9,8,9,8,9,9,8.714285714285714
8,Show Me,Joeboy,10,10,9,10,9,10,11,9.857142857142858
9,Essence (feat. Tems),Wizkid,11,11,10,11,10,11,10,10.571428571428571
10,Forever (Remix),"Gyakie, Omah Lay",14,14,12,13,12,12,12,12.714285714285714
11,Pronto,"Ajebo Hustlers, Omah Lay",13,13,13,14,13,13,13,13.142857142857142
12,Felony,CKay,15,15,14,15,14,14,14,14.428571428571429
13,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",17,16,15,16,15,15,15,15.571428571428571
14,Focus,Joeboy,18,17,16,17,17,17,20,17.428571428571427
15,Somebody Baby,"Davido, Peruzzi",19,18,17,18,18,18,19,18.142857142857142
16,It Is What It Is,Adekunle Gold,22,20,19,19,16,16,16,18.285714285714285
17,La La (feat. CKay),Davido,21,21,20,20,19,19,17,19.571428571428573
18,Ginger (feat. Burna Boy),Wizkid,23,23,23,22,20,20,22,21.857142857142858
19,m y . l i f e,"J. Cole, 21 Savage, Morray",16,19,18,21,23,26,32,22.142857142857142
20,Southy Love (feat. Fireboy DML),Peruzzi,24,24,24,25,21,21,23,23.142857142857142
21,Loved By You (feat. Burna Boy),Justin Bieber,27,25,22,23,22,22,25,23.714285714285715
22,a m a r i,J. Cole,20,22,21,24,24,28,31,24.285714285714285
23,Bounce,Rema,26,26,26,27,26,23,24,25.428571428571427
24,Running (To You),"Chike, Simi",28,28,27,28,25,24,26,26.571428571428573
25,World,"Dangbana Republik, Bella Shmurda",29,29,28,26,27,25,28,27.428571428571427
26,KOLO (feat. Oxlade),Ice Prince,30,30,29,29,28,27,27,28.571428571428573
27,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby",25,27,25,30,31,32,38,29.714285714285715
