rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,LV N ATTN,EP - Lojay & Sarz,2,2,2,1,1,3,3,2.0
2,UY Scuti,Olamide,1,1,1,2,2,4,4,2.142857142857143
3,Made In Lagos,Wizkid,3,3,3,3,3,5,5,3.5714285714285716
4,The Voice of the Heroes,Lil Baby & Lil Durk,4,4,4,4,4,6,6,4.571428571428571
5,PANDEMIC,EP - Ruger,6,6,5,5,5,7,7,5.857142857142857
6,A True Champion,Rexxie,5,5,6,6,6,10,11,7.0
7,Culture III (Deluxe),Migos,7,7,7,8,8,9,8,7.714285714285714
8,Planet Her (Deluxe),Doja Cat,8,8,8,7,7,8,9,7.857142857142857
9,Twice As Tall,Burna Boy,9,9,9,9,9,11,10,9.428571428571429
10,Hall of Fame,Polo G,10,10,10,11,10,12,13,10.857142857142858
11,The Of,eason - J. Cole,12,11,11,12,11,13,12,11.714285714285714
12,WONDALAND,Teni,11,12,12,10,12,14,14,12.142857142857142
13,Sex Over Love,Blaqbonez,13,13,13,13,13,15,16,13.714285714285714
14,Roots,The Cavemen.,16,18,15,17,17,16,15,16.285714285714285
15,Justice (Triple Chucks Deluxe / Deluxe Video Version),Justin Bieber,17,16,16,16,14,18,18,16.428571428571427
16,Boo of the Booless,Chike,19,14,14,15,18,20,19,17.0
17,In The Dark,Mizzle,14,17,18,14,16,23,28,18.571428571428573
18,African Giant,Burna Boy,23,23,19,19,19,17,17,19.571428571428573
19,A Better Time,Davido,18,24,21,18,22,19,20,20.285714285714285
20,Cultural Praise,KCee & Okwesili Eze Group,15,15,27,24,15,31,21,21.142857142857142
21,Somewhere Between Beauty & Magic,Joeboy,20,20,17,21,21,27,22,21.142857142857142
22,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,27,27,25,23,23,22,23,24.285714285714285
23,KHALED KHALED,DJ Khaled,26,25,22,20,25,25,27,24.285714285714285
24,Just Cause Y\'all Waited 2 (Deluxe),Lil Durk,30,28,23,22,26,26,31,26.571428571428573
25,Old Church Basement,Elevation Worship & Maverick City Music,24,19,26,25,24,35,36,27.0
26,...Shall We Begin...,Laycon,31,26,29,31,30,29,26,28.857142857142858
27,Man of Galilee,Judikay,29,29,30,27,20,38,35,29.714285714285715
28,CALL ME IF YOU GET LOST,"Tyler, The Creator",21,22,24,26,27,42,47,29.857142857142858
29,Big Conspiracy,J Hus,35,33,36,30,29,34,40,33.857142857142854
30,High Tension,Bella Shmurda,34,40,38,34,34,28,29,33.857142857142854
31,SOUR,Olivia Rodrigo,28,30,33,32,31,40,44,34.0
32,APOLLO,Fireboy DML,36,36,34,35,32,41,37,35.857142857142854
33,For Broken Ears,Tems,33,34,32,33,39,39,43,36.142857142857146
34,Masta Groove,Masterkraft,25,21,20,28,36,55,75,37.142857142857146
35,The Voice (Deluxe),Lil Durk,41,38,31,29,33,43,45,37.142857142857146
36,Superstar,Wizkid,32,37,35,36,35,44,48,38.142857142857146
37,Get Layd,EP - Omah Lay,47,65,48,41,43,21,24,41.285714285714285
