Position,song,artist,album
1,Bounce,Ruger,PANDEMIC - EP
2,Feeling,"LADIPOE, Buju",Feeling - Single
3,Rock,Olamide,UY Scuti
4,Soundgasm,Rema,Soundgasm - Single
5,Outside,Buju,Outside - Single
6,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],"DJ Tarico, Burna Boy",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix] - Single
7,Confident,"Savage, Buju",Confident - Single
8,Big Thug Boys,AV,Big Thug Boys - Single
9,Essence (feat. Tems),Wizkid,Made In Lagos
10,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
11,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
12,All (feat. Davido),Rexxie,A True Champion
13,Show Me,Joeboy,Somewhere Between Beauty & Magic
14,Monalisa,"Lojay, Sarz",LV N ATTN - EP
15,Jailer (feat. Jaywillz),Olamide,UY Scuti
16,Naira Marley,Zinoleesky,Naira Marley - Single
17,LV N ATTN feat. Wizkid,"Lojay, Sarz",LV N ATTN - EP
18,Coming,"Naira Marley, Busiswa",Coming - Single
19,Julie,Olamide,UY Scuti
20,Need For Speed,Olamide,UY Scuti
21,Somebody (feat. Phyno),Olamide,UY Scuti
22,PonPon (feat. Fave),Olamide,UY Scuti
23,Kilometre,Burna Boy,Kilometre - Single
24,Tonongo,"Lojay, Sarz",LV N ATTN - EP
25,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
26,It Is What It Is,Adekunle Gold,It Is What It Is - Single
27,Felony,CKay,Felony - Single
28,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
29,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",Ke Star (Remix) [feat. Virgo Deep] - Single
30,History,"Cheque, Fireboy DML",History - Single
31,La La (feat. CKay),Davido,A Better Time
32,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
33,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo] - Single"
34,Cup of Tea,Olamide,UY Scuti
35,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
36,Late At Night,Roddy Ricch,Late At Night - Single
37,Abu Dhabi,Ruger,PANDEMIC - EP
38,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay],Justin Bieber,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay] - Single
39,Focus,Joeboy,Somewhere Between Beauty & Magic
40,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
41,Rough Up (feat. Layydoe),Olamide,UY Scuti
42,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
43,Loved By You (feat. Burna Boy),Justin Bieber,Justice
44,Want (feat. Fave),Olamide,UY Scuti
45,Frenemies (feat. Oxlade),Rexxie,A True Champion
46,Kpk (Ko Por Ke),"Rexxie, MohBad",Kpk (Ko Por Ke) - Single
47,Bank On It,Burna Boy,Twice As Tall
48,23,Burna Boy,Twice As Tall
49,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
50,Bounce,Rema,Bounce - Single
51,RAPSTAR,Polo G,Hall of Fame
52,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
53,Running (To You),"Chike, Simi",Running (To You) - Single
54,Omo X 100 (feat. Olamide),Reminisce,Omo X 100 (feat. Olamide) - Single
55,Oliver Twist,ArrDee,Oliver Twist - Single
56,The Best (feat. Mayorkun),Davido,A Better Time
57,Way Too Big,Burna Boy,Twice As Tall
58,Reckless,Wizkid,Made In Lagos
59,Survive (feat. Olamide),Jaido P,Shopla - EP
60,World,"Dangbana Republik, Bella Shmurda",World - Single
61,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
62,So Much More,Olamide,UY Scuti
63,Celebrate Me,Patoranking,Celebrate Me - Single
64,Korope,"Lil Kesh, Naira Marley",Korope - Single
65,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
66,FOR YOU (feat. Davido),Teni,WONDALAND
67,Peaches (feat. Daniel Caesar & GIV\xc4\x92ON),Justin Bieber,Justice
68,Medicine,Jaywillz,Love or the Word (EP)
69,It Ain\'t Me Tiktok (feat. Dj Abux) [Remix],Eduardo XD,It Ain\'t Me Tiktok (feat. Dj Abux) [Remix] - Single
70,Godly,Omah Lay,What Have We Done - EP
71,Voice of the Heroes,"Lil Baby, Lil Durk",The Voice of the Heroes
72,No Stress,Wizkid,Made In Lagos
73,Kilofeshe,Zinoleesky,Kilofeshe - Single
74,High Way,"DJ Kaywise, Phyno",High Way - Single
75,Longtime (feat. Skepta),Wizkid,Made In Lagos
76,Sweet One,Wizkid,Made In Lagos
77,Real Life (feat. Stormzy),Burna Boy,Twice As Tall
78,Jowo,Davido,A Better Time
79,Infinity (feat. Omah Lay),Olamide,Carpe Diem
80,INJURE ME,Teni,WONDALAND
81,True Love (feat. Tay Iwar & Projexx),Wizkid,Made In Lagos
82,Hats Off,"Lil Baby, Lil Durk, Travis Scott",The Voice of the Heroes
83,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
84,Mighty Wine,Wizkid,Made In Lagos
85,Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA) - Single
86,Piece of Me (feat. Ella Mai),Wizkid,Made In Lagos
87,PEPE,"L.A.X, Davido",PEPE - Single
88,Too Correct,"Crayon, Rema",Twelve A.M - EP
89,You Right,"Doja Cat, The Weeknd",Planet Her
90,Ayewada,Barry Jhay,Ayewada - Single
91,Ruger,Ruger,PANDEMIC - EP
92,Rich Off Pain,"Lil Baby, Lil Durk, Rod Wave",The Voice of the Heroes
93,Bad Influence,Omah Lay,Get Layd - EP
94,Epidemic,Polo G,Hall of Fame
95,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON,HEARTBREAK ANNIVERSARY - Single
96,Commitment Issues,Central Cee,Wild West
97,Damages,Tems,For Broken Ears
98,Boi Boi (feat. Teni),Rexxie,A True Champion
99,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
100,Holy Ground (feat. Nicki Minaj),Davido,A Better Time
