Position,song,artist
1,Feeling,"LADIPOE, Buju"
2,Rock,Olamide
3,Bounce,Ruger
4,Outside,Buju
5,LV N ATTN feat. Wizkid,"Lojay, Sarz"
6,Bling (feat. Amaarae & Buju),Blaqbonez
7,Dimension (feat. Skepta & Rema),JAE5
8,Essence (feat. Tems),Wizkid
9,Coming,"Naira Marley, Busiswa"
10,Show Me,Joeboy
11,Kilometre,Burna Boy
12,Tonongo,"Lojay, Sarz"
13,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions"
14,History,"Cheque, Fireboy DML"
15,It Is What It Is,Adekunle Gold
16,Late At Night,Roddy Ricch
17,Felony,CKay
18,Voice of the Heroes,"Lil Baby, Lil Durk"
19,Forever (Remix),"Gyakie, Omah Lay"
20,Pronto,"Ajebo Hustlers, Omah Lay"
21,La La (feat. CKay),Davido
22,Hats Off,"Lil Baby, Lil Durk, Travis Scott"
23,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido"
24,Monalisa,"Lojay, Sarz"
25,Ginger (feat. Burna Boy),Wizkid
26,Focus,Joeboy
27,Somebody Baby,"Davido, Peruzzi"
28,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid
29,Loved By You (feat. Burna Boy),Justin Bieber
30,Southy Love (feat. Fireboy DML),Peruzzi
31,Bounse,Rema
32,KOLO (feat. Oxlade),Ice Prince
33,Running (To You),"Chike, Simi"
34,World,"Dangbana Republik, Bella Shmurda"
35,23,Burna Boy
36,Rich Off Pain,"Lil Baby, Lil Durk, Rod Wave"
37,Early Momo (feat. GoodGirl LA),Vector
38,Peaches (feat. Daniel Caesar & GIV\xc4\x92ON),Justin Bieber
39,The Best (feat. Mayorkun),Davido
40,2040,"Lil Baby, Lil Durk"
41,Rush,"Dangbana Republik, Bella Shmurda"
42,Godly,Omah Lay
43,Abu Dhabi,Ruger
44,RAPSTAR,Polo G
45,FOR YOU (feat. Davido),Teni
46,Way Too Big,Burna Boy
47,Who I Want,"Lil Baby, Lil Durk"
48,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
49,Reckless,Wizkid
50,Oliver Twist,ArrDee
51,Park O X3,"Lojay, Sarz"
52,KPK (Ko Por Ke),"Rexxie, MohBad"
53,High Way,"DJ Kaywise, Phyno"
54,Kilofeshe,Zinoleesky
55,Jowo,Davido
56,Panty!,"Lojay, Sarz"
57,Bank on It,Burna Boy
58,Too Correct,"Crayon, Rema"
59,Commitment Issues,Central Cee
60,INJURE ME,Teni
61,Infinity (feat. Omah Lay),Olamide
62,Cash App,"Bella Shmurda, Zlatan, Lincoln"
63,Sweet One,Wizkid
64,No Stress,Wizkid
65,Longtime (feat. Skepta),Wizkid
66,a m a r i,J. Cole
67,Ayewada,Barry Jhay
68,Real Life (feat. Stormzy),Burna Boy
69,Still Hood,"Lil Baby, Lil Durk"
70,Okwaraji,Blaqbonez
71,m y . l i f e,"J. Cole, 21 Savage, Morray"
72,True Love (feat. Tay Iwar & Projexx),Wizkid
73,Mighty Wine,Wizkid
74,Door,"Joeboy, Kwesi Arthur"
75,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby"
76,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON
77,How It Feels,"Lil Baby, Lil Durk"
78,Money,"Terri, Bella Shmurda, MohBad"
79,Avalanche,Migos
80,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic"
81,Piece of Me (feat. Ella Mai),Wizkid
82,Still Runnin,"Lil Baby, Lil Durk, Meek Mill"
83,Holy Ground (feat. Nicki Minaj),Davido
84,Music Messiah,"DJ Neptune, Wande Coal"
85,Man of my Word,"Lil Baby, Lil Durk"
86,Away,Ayra Starr
87,Medical,"Lil Baby, Lil Durk"
88,All My Life (feat. Oxlade),M.I Abaga
89,Onyeka (Baby),Burna Boy
90,Calling My Phone,"Lil Tjay, 6LACK"
91,Ruger,Ruger
92,Fendi (feat. Joeboy),Blaqbonez
93,Bad Influence,Omah Lay
94,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz
95,Make It Out,"Lil Baby, Lil Durk"
96,Up The Side,"Lil Baby, Lil Durk, Young Thug"
97,Mood Swings (feat. Lil Tjay),Pop Smoke
98,Bruised Up,"Lil Baby, Lil Durk"
99,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky
100,Okay,"Lil Baby, Lil Durk"
