Position,song,artist,album
1,Feeling,"LADIPOE, Buju",Feeling - Single
2,Soundgasm,Rema,Soundgasm - Single
3,Bounce,Ruger,PANDEMIC - EP
4,Rock,Olamide,UY Scuti
5,Outside,Buju,Outside - Single
6,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
7,LV N ATTN feat. Wizkid,"Lojay, Sarz",LV N ATTN - EP
8,Essence (feat. Tems),Wizkid,Made In Lagos
9,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
10,Show Me,Joeboy,Somewhere Between Beauty & Magic
11,Coming,"Naira Marley, Busiswa",Coming - Single
12,Kilometre,Burna Boy,Kilometre - Single
13,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo] - Single"
14,It Is What It Is,Adekunle Gold,It Is What It Is - Single
15,History,"Cheque, Fireboy DML",History - Single
16,Having Our Way (feat. Drake),Migos,Culture III
17,Tonongo,"Lojay, Sarz",LV N ATTN - EP
18,Felony,CKay,Felony - Single
19,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",Ke Star (Remix) [feat. Virgo Deep] - Single
20,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
21,La La (feat. CKay),Davido,A Better Time
22,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
23,RAPSTAR,Polo G,Hall of Fame
24,Late At Night,Roddy Ricch,Late At Night - Single
25,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
26,Monalisa,"Lojay, Sarz",LV N ATTN - EP
27,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
28,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
29,Avalanche,Migos,Culture III
30,Straightenin,Migos,Culture III
31,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
32,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
33,Loved By You (feat. Burna Boy),Justin Bieber,Justice
34,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
35,Bounse,Rema,Bounce - Single
36,Bank On It,Burna Boy,Twice As Tall
37,Running (To You),"Chike, Simi",Running (To You) - Single
38,23,Burna Boy,Twice As Tall
39,Epidemic,Polo G,Hall of Fame
40,Abu Dhabi,Ruger,PANDEMIC - EP
41,FOR YOU (feat. Davido),Teni,WONDALAND
42,Voice of the Heroes,"Lil Baby, Lil Durk",The Voice of the Heroes
43,Malibu (feat. Polo G),Migos,Culture III
44,Antisocial (feat. Juice WRLD),Migos,Culture III
45,World,"Dangbana Republik, Bella Shmurda",World - Single
46,The Best (feat. Mayorkun),Davido,A Better Time
47,Peaches (feat. Daniel Caesar & GIV\xc4\x92ON),Justin Bieber,Justice
48,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
49,Godly,Omah Lay,What Have We Done - EP
50,Reckless,Wizkid,Made In Lagos
51,Hats Off,"Lil Baby, Lil Durk, Travis Scott",The Voice of the Heroes
52,Oliver Twist,ArrDee,Oliver Twist - Single
53,INJURE ME,Teni,WONDALAND
54,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
55,Type Shit,"Migos, Cardi B",Culture III
56,High Way,"DJ Kaywise, Phyno",High Way - Single
57,Kilofeshe,Zinoleesky,Kilofeshe - Single
58,Way Too Big,Burna Boy,Twice As Tall
59,Jowo,Davido,A Better Time
60,Longtime (feat. Skepta),Wizkid,Made In Lagos
61,For the Love of New York,"Polo G, Nicki Minaj",Hall of Fame
62,Too Correct,"Crayon, Rema",Twelve A.M - EP
63,No Stress,Wizkid,Made In Lagos
64,Rich Off Pain,"Lil Baby, Lil Durk, Rod Wave",The Voice of the Heroes
65,Picasso,"Migos, Future",Culture III
66,Modern Day,Migos,Culture III
67,Sweet One,Wizkid,Made In Lagos
68,GANG GANG,"Polo G, Lil Wayne",Hall of Fame
69,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
70,Mighty Wine,Wizkid,Made In Lagos
71,Infinity (feat. Omah Lay),Olamide,Carpe Diem
72,Kpk (Ko Por Ke),"Rexxie, MohBad",Kpk (Ko Por Ke) - Single
73,Commitment Issues,Central Cee,Wild West
74,True Love (feat. Tay Iwar & Projexx),Wizkid,Made In Lagos
75,Real Life (feat. Stormzy),Burna Boy,Twice As Tall
76,No Return (feat. The Kid LAROI & Lil Durk),Polo G,Hall of Fame
77,Painting Pictures,Polo G,Hall of Fame
78,Light It Up,"Migos, Pop Smoke",Culture III
79,Piece of Me (feat. Ella Mai),Wizkid,Made In Lagos
80,PEPE,"L.A.X, Davido",PEPE - Single
81,Fame & Riches (feat. Roddy Ricch),Polo G,Hall of Fame
82,What You See,"Migos, Justin Bieber",Culture III
83,Vaccine,Migos,Culture III
84,Okwaraji,Blaqbonez,Sex Over Love
85,Park O X3,"Lojay, Sarz",LV N ATTN - EP
86,Birthday,Migos,Culture III
87,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON,HEARTBREAK ANNIVERSARY - Single
88,Panty!,"Lojay, Sarz",LV N ATTN - EP
89,Bad Influence,Omah Lay,Get Layd - EP
90,2040,"Lil Baby, Lil Durk",The Voice of the Heroes
91,Black Hearted,Polo G,Hall of Fame
92,Jane,Migos,Culture III
93,Smile (feat. H.E.R.),Wizkid,Made In Lagos
94,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
95,Ruger,Ruger,PANDEMIC - EP
96,Time For Me,Migos,Culture III
97,Who I Want,"Lil Baby, Lil Durk",The Voice of the Heroes
98,Clueless (feat. Pop Smoke & Fivio Foreign),Polo G,Hall of Fame
99,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open - Single
100,Holy Ground (feat. Nicki Minaj),Davido,A Better Time
