Position,song,artist,album
1,Feeling,"LADIPOE, Buju",Feeling - Single
2,Rock,Olamide,UY Scuti
3,Bounce,Ruger,PANDEMIC - EP
4,Outside,Buju,Outside - Single
5,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo] - Single"
6,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
7,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
8,Coming,"Naira Marley, Busiswa",Coming - Single
9,Kilometre,Burna Boy,Kilometre - Single
10,Show Me,Joeboy,Somewhere Between Beauty & Magic
11,Essence (feat. Tems),Wizkid,Made In Lagos
12,History,"Cheque, Fireboy DML",History - Single
13,m y . l i f e,"J. Cole, 21 Savage, Morray",The Off-Season
14,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
15,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
16,a m a r i,J. Cole,The Off-Season
17,Felony,CKay,Felony - Single
18,Focus,Joeboy,Somewhere Between Beauty & Magic
19,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",Ke Star (Remix) [feat. Virgo Deep] - Single
20,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
21,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby",The Off-Season
22,It Is What It Is,Adekunle Gold,It Is What It Is - Single
23,La La (feat. CKay),Davido,A Better Time
24,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
25,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
26,9 5 . s o u t h,J. Cole,The Off-Season
27,Loved By You (feat. Burna Boy),Justin Bieber,Justice
28,Bounce,Rema,Bounce - Single
29,Running (To You),"Chike, Simi",Running (To You) - Single
30,World,"Dangbana Republik, Bella Shmurda",World - Single
31,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
32,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
33,Peaches (feat. Daniel Caesar & GIV\xc4\x92ON),Justin Bieber,Justice
34,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
35,FOR YOU (feat. Davido),Teni,WONDALAND
36,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
37,a p p l y i n g . p r e s s u r e,J. Cole,The Off-Season
38,The Best (feat. Mayorkun),Davido,A Better Time
39,Seeing Green,"Nicki Minaj, Drake, Lil Wayne",Beam Me Up Scotty
40,Commitment Issues,Central Cee,Wild West
41,23,Burna Boy,Twice as Tall
42,High Way,"DJ Kaywise, Phyno",High Way - Single
43,l e t . g o . m y . h a n d,"J. Cole, Bas, 6LACK",The Off-Season
44,Kilofeshe,Zinoleesky,Kilofeshe - Single
45,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
46,INJURE ME,Teni,WONDALAND
47,Godly,Omah Lay,What Have We Done - EP
48,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke) - Single
49,i n t e r l u d e,J. Cole,The Off-Season
50,1 0 0 . m i l \xe2\x80\x98,"J. Cole, Bas",The Off-Season
51,Too Correct,"Crayon, Rema",Twelve A.M - EP
52,Fendi (feat. Joeboy),Blaqbonez,Sex Over Love
53,Okwaraji,Blaqbonez,Sex Over Love
54,p u n c h i n \xe2\x80\x98 . t h e . c l o c k,J. Cole,The Off-Season
55,Way Too Big,Burna Boy,Twice as Tall
56,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
57,Jowo,Davido,A Better Time
58,Reckless,Wizkid,Made In Lagos
59,Bank on It,Burna Boy,Twice As Tall
60,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
61,Abu Dhabi,Ruger,PANDEMIC - EP
62,Runaway,AURORA,All My Demons Greeting Me As a Friend (Deluxe)
63,Infinity (feat. Omah Lay),Olamide,Carpe Diem
64,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open - Single
65,t h e . c l i m b . b a c k,J. Cole,The Off-Season
66,Loco (feat. Mayorkun),KDDO,TOO LATE TOO LIT (EP)
67,Door,"Joeboy, Kwesi Arthur",Door - Single
68,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON,HEARTBREAK ANNIVERSARY - Single
69,Real Life (feat. Stormzy),Burna Boy,Twice as Tall
70,No Stress,Wizkid,Made In Lagos
