Position,song,artist,album
1,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie,A True Champion
2,Problem (feat. Idowest),Stackz,N.E.W (Now Everyone\'s Watching) - EP
3,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
4,Dey Here,BoyMX,Dey Here - Single
5,Jafafa,"Chinko Ekun, MohBad",Jafafa - Single
6,Zoom Zoom,Lawy B,Zoom Zoom - Single
7,Troway (feat. Zlatan),Whalez,Troway (feat. Zlatan) - Single
8,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
9,Cho Cho (feat. Davido & Mayorkun),Zlatan,Cho Cho (feat. Davido & Mayorkun) - Single
10,Gbowo,Nikita,Gbowo - Single
11,About Money,SunkkeySnoop,About Money - Single
12,Dedede,"Boyodre, Dayo Chino",Dedede - Single
13,Formula 1,Damibliz,Formula 1 - Single
14,Coming,"Naira Marley, Busiswa",Coming - Single
15,Koleyewon,Naira Marley,Koleyewon - Single
16,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,Normal (feat. Nigga Tee) - Single
17,High Way,"DJ Kaywise, Phyno",High Way - Single
18,Available (feat. MohBad),C Blvck,Available (feat. MohBad) - Single
19,Egbon,"Masterkraft, Phyno",Egbon - Single
20,Mr Money,Asake,Mr Money - Single
21,Focus Vibe,Slimcase,Focus Vibe - Single
22,Asampepe,"Wale Turner, Idowest",Asampepe - Single
23,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",Meji - Single
24,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",Squander (feat. Niniola & Sayfar) [Remix] - Single
25,Aye Dun Gan,Oyibo Rebel,Aye Dun Gan - Single
26,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
27,Sugar Daddy,"DJ Enimoney, Olamide",Sugar Daddy - Single
28,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD) - Single"
29,World,"Dangbana Republik, Bella Shmurda",World - Single
30,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,Baba Fela Remix (feat. Zlatan & Laycon) - Single
31,Sugar Daddy (feat. Small Doctor & Mohbad),OG Hyper,Sugar Daddy (feat. Small Doctor & Mohbad) - Single
32,Hallelujah,"Oladips, Zlatan","Mainland To Island ""the Ep"" - EP"
33,Kabaa (feat. Mayorkun),Idowest,"Mafia Culture, Vol. 2.0"
34,Barawo (feat. Davido) [Remix],Ajebo Hustlers,Barawo (Remix) [feat. Davido] - Single
35,Tesina Pot,"Jaido P, Olamide",Tesina Pot - Single
36,Wagwan,Laycon,Wagwan - Single
37,Lagbaja,Sona,Lagbaja - Single
38,Mandeman (feat. Davido) [Remix],Small Doctor,Mandeman (Remix) [feat. Davido] - Single
39,Shamaya (feat. Patoranking),Idowest,"Mafia Culture, Vol. 2.0"
40,Prayer (feat. Drekiss),Lexzydreamz,Prayer (feat. Drekiss) - Single
41,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
42,Aunty Fisayo,QD,Aunty Fisayo - Single
43,Another Banger,Realonyechi,Another Banger - Single
44,Doing Well Remix (feat. Skales),Ryme,Doing Well Remix - Single (feat. Skales) - Single
45,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,Journey
46,Kokanmi,Qdot,Kokanmi - Single
47,If No Be You (feat. Mayorkun),Jamopyper,If No Be You (feat. Mayorkun) - Single
48,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck] - Single
49,Mofo,Fikky,Mofo - Single
50,E Choke,Bils,E Choke - Single
51,Kafaya (feat. Bella Shmurda),Daniel Brown,Kafaya (feat. Bella Shmurda) - Single
52,My Life,"Dj Manuel, Zlatan",My Life - Single
53,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan) - Single"
54,Moyan,CDQ,See the Queue - EP
55,Oge (feat. Bad Boy Timz),Anonymous Music,Oge (feat. Bad Boy Timz) - Single
56,Want (feat. DanDizzy),Rage,Want (feat. DanDizzy) - Single
57,Billing Npayan,Obaflow,Billing Npayan - Single
58,Bad Boy,"Dj Fizzy, Baddy Osha, Slimcase, CDQ",Bad Boy - Single
59,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,NGNP (No Girlfriend No Problem) [feat. Zlatan] - Single
60,Hustle (feat. Zlatan),Reklyn,Hustle (feat. Zlatan) - Single
61,The Matter (feat. Papisnoop),Zlatan,RoadToCDK - EP
62,Isolova,Peruzzi,Isolova - Single
63,Olopa (feat. Zlatan),Qdot,Alagbe
64,One Leg Up (feat. Tekno),Blaq Jerzee,One Leg Up (feat. Tekno) - Single
65,Mafo,"Naira Marley, Young Jonn",Lol (Lord of Lamba) - EP
66,Whine That Ting,"Nappy, Bella Shmurda",Whine That Ting - Single
67,"Idi Oremi (Opotoyi, Pt. 2)",Naira Marley,"Idi Oremi (Opotoyi, Pt. 2) - Single"
68,Why Ton Frown (feat. Zlatan) [Remix],SunkkeySnoop,Why Ton Frown (Remix) [feat. Zlatan] - Single
69,Abule,Patoranking,Abule - Single
70,Opor Remix,"Rexxie, Zlatan, LADIPOE",Opor Remix - Single
