Position,song,artist
1,Kilofeshe Remix,Zinoleesky and  Harmonize
2,Kogbede (feat. Wande Coal),CDQ
3,Professor Peller (feat. Zlatan),Seyi Vibez
4,"Number One (feat. DJ Tarico, Preck & Nelson Tivane)",Dj Consequence
5,OMOKOMO,Baddy Oosha
6,Champion,Dangbana Republik and  Bella Shmurda
7,"We Meuve (feat. TheOnlyRLS, MR OULALA & Shady Humble)",Dj Paak
8,Korope,Lil Kesh and  Naira Marley
9,Energy,SunkkeySnoop
10,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie
11,Hello xe1xbaxb8,Reminisce and  WestSyde
12,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft
13,Focus,Rudeboy
14,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma
15,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie
16,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
17,Party Next Door,Dangbana Republik and  Bella Shmurda
18,Problem (feat. Idowest),Stackz
19,Cut Soap,DJ Xclusive and  Rulerboy
20,Rush,Dangbana Republik and  Bella Shmurda
21,Jafafa,Chinko Ekun and  MohBad
22,No Retire,Jaivah
23,Troway (feat. Zlatan),Whalez
24,Cho Cho (feat. Davido & Mayorkun),Zlatan
25,Gbowo,Nikita
26,Tekiller,CDQ
27,About Money,SunkkeySnoop
28,Coming,Naira Marley and  Busiswa
29,Koleyewon,Naira Marley
30,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo
31,High Way,DJ Kaywise and  Phyno
32,Available (feat. MohBad),C Blvck
33,Egbon,Masterkraft and  Phyno
34,Mr Money,Asake
35,Focus Vibe,Slimcase
36,Asampepe,Wale Turner and  Idowest
37,Meji,"DwillsHarmony,  Viktor Snipes and  Chinko Ekun"
38,Squander (feat. Niniola & Sayfar) [Remix],"Falz,  Kamo Mphela and  Mpura"
39,Aye Dun Gan,Oyibo Rebel
40,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky
41,Sugar Daddy,DJ Enimoney and  Olamide
42,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan
43,World,Dangbana Republik and  Bella Shmurda
44,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real
45,Sugar Daddy (feat. Small Doctor & Mohbad),OG Hyper
46,Hallelujah,Oladips and  Zlatan
47,Kabaa (feat. Mayorkun),Idowest
48,Barawo (feat. Davido) [Remix],Ajebo Hustlers
49,Tesina Pot,Jaido P and  Olamide
50,Wagwan,Laycon
51,Sapa (feat. Idowest),Bravo AZ
52,Lagbaja,Sona
53,Mandeman (feat. Davido) [Remix],Small Doctor
54,Dey Here,BoyMX
55,Shamaya (feat. Patoranking),Idowest
56,Prayer (feat. Drekiss),Lexzydreamz
57,Check Am,Chief Obi
58,Cash App,"Bella Shmurda,  Zlatan and  Lincoln"
59,Aunty Fisayo,QD
60,Another Banger,Realonyechi
61,Doing Well Remix (feat. Skales),Ryme
62,Formula 1,Damibliz
63,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ
64,Kokanmi,Qdot
65,If No Be You (feat. Mayorkun),Jamopyper
66,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul
67,Mofo,Fikky
68,E Choke,Bils
69,Kafaya (feat. Bella Shmurda),Daniel Brown
70,My Life,Dj Manuel and  Zlatan
71,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise
72,Moyan,CDQ
73,Oge (feat. Bad Boy Timz),Anonymous Music
74,Want (feat. DanDizzy),Rage
75,Billing Npayan,Obaflow
76,Bad Boy,"Dj Fizzy,  Baddy Osha,  Slimcase and  CDQ"
77,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest
78,Dedede,Boyodre and  Dayo Chino
79,Hustle (feat. Zlatan),Reklyn
80,The Matter (feat. Papisnoop),Zlatan
81,Isolova,Peruzzi
82,Olopa (feat. Zlatan),Qdot
