Position,song,artist
1,Lie,Kizz Daniel
2,Understand,Omah Lay
3,Drug Test,Naira Marley
4,Sinner,Adekunle Gold
5,Naira Marley,Zinoleesky
6,Ojuju,Oxlade
7,Feeling,LADIPOE
8,Outside,Buju
9,Rock,Olamide
10,Denge Pose,Lil Frosh
11,Alubarika,Zlatan
12,Peru,Fireboy DML
13,Yaba Buluku [Remix],Dj Tarico & Burna Boy
14,Essence,Wizkid
15,CELEBRATE ME,Patoranking
16,It Is What It Is,Adekunle Gold
17,Professor  Peller,Seyi Vibez
18,Olofofo,Victor AD
19,COMING,Naira Marley
20,History,Cheque & Fireboy DML
21,Ayewada,Barry Jhay
22,Testimony,Buju
23,Confident,Savage X Buju
24,Focus,Joeboy
25,Out There,"Dangbana Republik, Bella Shmurda"
26,Are You Sure,Lyta
27,Far Away,"Dangbana Republik, Bella Shmurda"
28,INJURE ME,Teni
29,Feel Good,Mohbad
30,Bloody Samaritan,Ayra Starr
31,Jailer,Olamide
32,40 BTC,Rexxie featuring Seyi Vibez
33,Money,"Terri, Bella Shmurda, Mohbad"
34,Rumors,Lizzo
35,Running (To You),Chiké
36,FOR YOU,Teni featuring Davido
37,Bling,Blaqbonez
38,Wonder,Dremo
39,Dorime,Teni
40,Sorry,MohBad
41,Need For Speed,Olamide
42,Ginger,Wizkid
43,Soldier Go,"Dangbana Republik, Bella Shmurda"
44,Mercy,Falz
45,Kilofeshe,Zinoleesky
46,Julie,Olamide
47,Lako,"Dangbana Republik, Bella Shmurda"
48,Kilometre,Burna Boy
49,Triumphant,Olamide
50,Pronto,Ajebo Hustlers & Omah Lay
51,90’S,Seyi Vibez
52,LICENSE,Vector
53,Call Me Baby,Cheque
54,Hallelu,Masterkraft
55,Petite,NSG
56,World (Alternate Cut),Bella Shmurda
57,Godly,Omah Lay
58,Black,Victor AD
59,Ke Star Remix,Focalistic & Davido 
60,Bad Type,Seyi Vibez
61,PAMI,DJ Tunez
62,Infinity,Olamide
63,Colorado,Zugo
64,Bia,Phyno
65,Anymore,Victor AD
66,Felony,CKay
67,Catalyst,Seyi Vibez
68,All,Rexxie featuring Davido
69,Cash App,Bella Shmurda
70,Champion,"Dangbana Republik, Bella Shmurda"
71,Somebody Baby,Peruzzi & Davido
72,Too Correct,Crayon
73,Way Too Big,Burna Boy
74,"""Rock/Julie"" (Live Piano Medley) | Fine Tuned",Olamide
75,23,Burna Boy
76,Lenu (Remix),Buju
77,Champion,Fireboy DML & D Smoke
78,Sho Mo Mi,Bella Shmurda
79,Koleyewon,Naira Marley
80,Omo Ologo,Lil Frosh featuring Zinoleesky
81,PonPon,Olamide
82,No Stress,WizKid
83,Don Dada,Timaya
84,Bad Influence,Omah Lay
85,Omnipotent,Bella Shmurda
86,Somebody,Olamide
87,Ginger Me (Intro),Bella Shmurda
88,Non Living Thing,Sarkodie
89,Ma Pariwo,Zinoleesky
90,Adura,Mohbad
91,Ogogoro,Yemi Alade
92,KPK (Ko Por Ke),Rexxie and MohBad
93,Ori,Barry Jhay
94,Currently,Kizz Daniel
95,Vision 2020,Bella Shmurda
96,Pay day,Seyi Vibez
97,Upgrade,Bella Shmurda
98,Cho Cho,Zlatan
99,Tonongo,"Lojay, Sarz"
100,The Best,Davido
101,Late At Night,Roddy Ricch
102,So Lovely,Buju
103,Lonely,Joeboy
104,Marlians Anthem,MohBad
105,God Sent,Seyi Vibez
106,Soundgasm,Rema
107,High Way,DJ Kaywise & Phyno
108,Liquor,Bella Shmurda
109,Picture Freestyle,Seyi Vibez
110,Smile,Wizkid
111,Beggie Beggie,Ayra Starr featuring CKay
112,Spiritual,Buju
113,Southy Love,Peruzzi
114,Cup of Tea,Olamide
115,Early Momo,Vector
116,TAKE OFF,corizo
117,Muje,Barry Jhay
118,Ponmo,Mohbad
119,Mind Games,Buju
120,Real Life,Burna Boy
121,Door,Joeboy
122,Chi Chi,Naira Marley
123,KOLO,Ice Prince 
124,When I'm With You,Russ
125,Felicitation,"Dj Voyst, Joeboy"
126,Damages,Tems
127,Fall for Me,Laycon
128,Rise Up,2Baba & Falz
129,Legends,Juice WRLD
130,Can't Relate,Omah Lay
131,Omo X 100,Reminisce
132,Only You,Bella Shmurda
133,Airplane Mode,Fireboy DML
134,Holy Ground,Davido
135,FEM,Davido
136,Dangbana Orisa,Bella Shmurda
137,Desire,August.III
138,Body (Remix),Tion Wayne x Russ Millions
139,Cultural Praise,Kcee & Okwesili Eze Group
140,Flex,Kizz Daniel
141,Amope,Bella Shmurda
142,My Bebe,Omah Lay
143,You,Omah Lay
144,Korope,Lil Kesh
145,Die Young,Roddy Ricch
146,If E Happen For Lagos,Runtown
147,Damn,Omah Lay featuring 6LACK
148,Ginger Me,Rema
149,Take My Life,"Jay Wheeler, Tyla Yaweh, DJ Nelson"
150,Wonderful,Burna Boy
151,Loading,Olamide
152,The Box,Roddy Ricch
153,Level Up (Twice As Tall),Burna Boy
154,Lonely,Ayra Starr
155,If You No Love,Chiké
156,Happiness,Davolee
157,Pray,Victony
158,Energy,DEW
159,MOSLADO,Teni
160,Shame On You,D Smoke
161,Shopping Spree,Davido
162,Zoom,Cheque
163,Abule,Patoranking
164,Project Dreams,Roddy Ricch
165,Wizkid essence Feat Tems  Justin Bieber (Cover) By Vehnom,Vehnom
166,Frenemies,Rexxie and Oxlade
167,Celebration,Joeboy
168,Life Is Good,Future
169,Your Body,Mayorkun
170,Lo lo,Omah Lay
171,LV N ATTN,"Lojay, Sarz"
172,Happy Birthday,Simi feat. Adekunle Gold and Deja
173,Something Different,Adekunle Gold
174,Music Messiah,DJ Neptune
175,Damn,Omah Lay
176,Sinner (Instrumental for Cover Only),Adekunle Gold
177,Jafafa,Chinko Ekun & Mohbad
178,Peru (Open Verse),Fireboy DML
179,AG Baby,Adekunle Gold
180,Rich And Blind,Juice WRLD
181,Door,Joeboy
182,Yafun Yafun,Ajebo Hustlers
183,Ye ye ye,Omah Lay
184,Confession,Omah Lay
185,Do not Disturb,Omah Lay
186,Omalicha,kolaboy
187,Rest On Kashy,Anonymous Music
188,Enjoyment,Yemi Alade
189,Odoyewu,Spenskid
190,Be Something,Polo G
191,Times Two (X2),WANI
192,Prayer Request,Victor AD
193,JO,Teni
194,Go Away,Fireboy DML
195,Woman,Rema
196,Worry Me,Dj Jimmy Jatt
197,Snitch,Ayra Starr featuring Fousheé
198,Green Light,Olamide
199,At My Worst,Pink Sweat$
200,What Type Of Dance,DJ Kaywise 
