Position,song,artist
1,High,Adekunle Gold and Davido
2,Peru,Fireboy DML
3,Shako,Barry Jhay
4,LOML,Cheque
5,Lie,Kizz Daniel
6,Peru (Refix),Buju
7,Drunk In Love,Dotman and Dj Neptune
8,Feeling,LADIPOE
9,Somebody’s Son,Tiwa Savage
10,Love Nwantinti (ah ah ah) (Remix),CKay
11,Ojuju,Troniq Music & Oxlade
12,Sinner,Adekunle Gold
13,Outside,Buju
14,It Is What It Is,Adekunle Gold
15,Who I Smoke,"Yungeen Ace, Spinabenz, Whoppa Wit Da Choppa, & FastMoney Goon"
16,Feel Good,Mohbad
17,COMING,Naira Marley
18,Confident,Savage X Buju
19,Bloody Samaritan,Ayra Starr
20,Fall Apart,Ralo
21,Legends,Juice WRLD
22,Rock,Olamide
23,RUN,Juice WRLD
24,Party Girl,StaySolidRocky
25,Brothers,Lil Tjay
26,Rich And Blind,Juice WRLD
27,Are You That Somebody,Aaliyah
28,F.N,Lil TJay
29,Colorado,Zugo
30,Murder On My Mind,YNW Melly
31,Pop Out,Polo G
32,Mind of a Real,T9ine
33,Focus,Joeboy
34,Essence (Freestyle),Blaqbonez
35,CELEBRATE ME,Patoranking
36,Moonwalking in Calabasas (Remix),DDG
37,KPK (Ko Por Ke),Rexxie and MohBad
38,Naira Marley,Zinoleesky
39,Drug Test,Naira Marley
40,Petite,NSG
41,21,Polo G
42,So Cold,"Bella Shmurda, Popcaan"
43,Amsterdam,SNUBBS
44,Have You Ever Heard A Love Song On Drill?,Isong
45,Rora,Reekado Banks
46,Nasty C - All In Cover,Ras Jahlil
47,Are You Sure,Lyta
48,Go Low,Ms Banks
49,Coke Bottle,"Fresco Kane, Nelly"
50,Streets,Doja Cat
51,Crocodile Teeth,Skillibeng
52,Infinity,Olamide
53,Kilofeshe,Zinoleesky
54,Running (To You),Chiké
55,Welcome To Brixton,SR
56,Industry Baby (Minko Verse),"Lil Nas X, Jack Harlow"
57,Weapon,Rotimi
58,Ruthless ft. Jay Critch,Lil Tjay
59,INJURE ME,Teni
60,Second Sermon,Black Sherif
61,Roll In Peace,Kodak Black
62,ZEZE,Kodak Black
63,Obito,Offica
64,WIDE Open,tobi lou
65,Mafo,Naira Marley and Young Jonn
66,HIGHEST IN THE ROOM,Travis Scott
67,TROLLZ,6ix9ine & Nicki Minaj
68,Arewa,Bello Sisqo
69,Koleyewon,Naira Marley
70,Kyakykyawa,Bello Sisqo
71,loving is harder,Johnny Drille
72,All I Need,Lloyd
73,Took Her To The O,King Von
74,Flex,Polo G
75,As E Dey Go,Naira Marley
76,Abule,Patoranking
77,FOR YOU,Teni featuring Davido
78,Don't Dull,Wizkid
79,My Bad,Moe the Natural
80,Strange,Silent Child and margø
81,Freestyle,Lil Baby
82,We Getting Money,Sheff G
83,Spiritual,Buju
84,Options,NSG
85,Exchange,Bryson Tiller
86,Yaba Buluku [Remix],Dj Tarico & Burna Boy
87,KILLSHOT,Eminem
88,6locc 6a6y,Lil Loaded
89,Touch It,KiDi
90,OUTTA MY WAY,KALLITECHNIS and 23 Unofficial
91,Drake feat. Wizkid & Kyla - One Dance - Blackhart Remix Production - SIYL,Drake feat. Wizkid & Kyla
92,772 Love,YNW Melly
93,SICKO MODE,Travis Scott
94,Next Up - OFB - S2-E14,OFB
95,Be Something,Polo G
96,Ma Pariwo,Zinoleesky
97,PAMI,DJ Tunez
98,Runnin,21 Savage & Metro Boomin
99,Stay Flee Get Lizzy feat. Fredo & Central Cee - Meant To Be,Fredo
100,Jailer,Olamide
101,Dorime,Teni
102,Dark times,Victony
103,Him,Big Yavo
104,Leave Me Alone,Flipp Dinero
105,Project Dreams,Roddy Ricch
106,Baby,Joeboy
107,Juicy,Doja Cat
108,Dreams,Prince Swanny
109,Legit,Angela Okorie
110,Deep End Freestyle,Sleepy Hallow
111,Collard Greens ( Jersey Club Remix),SchoolBoy Q
112,Ke Star Remix,Focalistic & Davido 
113,"Lil Tjay, 6LACK - Calling My Phone (Marji Remix)",Marji
114,Fall for Me,Laycon
115,Ayewada,Barry Jhay
116,Soldier Go,"Dangbana Republik, Bella Shmurda"
117,Demons and Angels,A Boogie Wit Da Hoodie
118,Beginning,Joeboy
119,Sho Mo Mi,Bella Shmurda
120,24,Money Man
121,Cash App,Bella Shmurda
122,All That Matters,Minister GUC
123,Consent,Joeboy
124,Drivers License (Remix),Yng Lee
125,Know you,wewantwraiths
126,History,Cheque & Fireboy DML
127,Testimony,Buju
128,Peace Of Mind,Loyz
129,Winnin,Munna Duke
130,Solid Ground,Bishu feat. Casey Cook
131,Llego El Real,Omega
132,Jwe,Bisa Kdei
133,SICKO MODE (Skrillex Remix),Travis Scott
134,Valentino,24kGoldn
135,Happier,Marshmello
136,Ransom,Lil Tecca
137,Ransom (Remix),Lil Tecca
138,Aisha,Bello Sisqo
139,Woju,Kiss Daniel
140,Fati,Bello Sisqo
141,Reminds Me Of You,Juice WRLD & The Kid LAROI
142,Hood Life,Vinz
143,Different Type,Masicka
144,Need For Speed,Olamide
145,Fear We,Medz Boss
146,Bia,Phyno
147,Potter Payper x Meekz Type Beat - Bottom | UK Rap Instrumental 2021,Vin
148,Mercy,Falz
