Position,song,artist
1,Non Living Thing (feat. Oxlade) ,Sarkodie
2,Wonder (feat. Patoranking) ,Dremo
3,Who Talk (feat. Adekunle Gold & Ria Sean) ,Moelogo
4,Bloody Samaritan   ,Ayra Starr
5,All Mine Remix (feat. Buju) ,Kinsolo
6,Black (feat. Mr Eazi) ,Victor AD
7,Mercy   ,Falz
8,Rise Up   ,2Baba & Falz
9,Round 2 (feat. Giggs) ,Sarkodie
10,Professor  Peller (feat. Zlatan) ,Seyi Vibez
11,Understand   ,Omah Lay
12,Rock   ,Olamide
13,Party Next Door   ,"Dangbana Republik, Bella Shmurda"
14,"IYO (feat. Focalistic, Mapara A Jazz & Ntosh Gazi) ",Diamond Platnumz
15,Testimony   ,Buju
16,First Sermon   ,Black Sherif
17,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth) ",Jay Bahd
18,Enjoyment   ,Yemi Alade
19,Soundgasm   ,Rema
20,Feeling (feat. Buju) ,LADIPOE
21,Music Messiah (feat. Wande Coal) ,DJ Neptune
22,Jennifer Remix (feat. Rayvanny) ,Guchi ft Rayvanny
23,Cut Soap   ,DJ Xclusive and Rulerboy
24,Touch It   ,KiDi
25,Yote Sawa   ,Nandy
26,Free Your Mind   ,Blaq Jerzee & Jux
27,Praise   ,Fameye
28,Nimekuzoea   ,Nandy
29,All (feat. Davido) ,Rexxie featuring Davido
30,Tekiller   ,CDQ
31,All The Above   ,Show Dem Camp
32,Kamata   ,Diamond Platnumz
33,Sere Remix   ,"Spinall, Fireboy DML and 6LACK"
34,CELEBRATE ME   ,Patoranking
35,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana"
36,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour) ",Alikiba
37,Dorime (feat. Musette & Vector) ,Samklef
38,Salute (feat. RudeBoy) ,Alikiba
39,Iphupho (feat. Kuhle) ,Jabzz Dimitri featuring Kuhle
40,KSM   ,Naza
41,New Couple   ,Nandy
42,I Miss You   ,Joda Kgosi
43,Fine Wine (feat. King Promise & Joeboy) ,R2Bees
44,Simple Instruction   ,"Smallgod, R2Bees"
45,Omo X 100 (feat. Olamide) ,Reminisce
46,Confident   ,Savage X Buju
47,KPK (Ko Por Ke)   ,Rexxie and MohBad
48,This Your Body   ,Skales and Davido
49,FOCUS DANCE BEAT (feat. HAGMAN & ABATI) ,AJIMOVOIX_DRUMS
50,Baby   ,Brainee
51,Jemeni   ,Aymos and Focalistic
52,In Those Eyes   ,Ogranya
53,Brown Skin   ,Masterkraft
54,Tonongo   ,"Lojay, Sarz"
55,Sokoma   ,"Blaq Jerzee, Marioo and Eddy Kenzo"
56,Right Here   ,"Walshy Fire, Terri, Cloud Beats"
57,Lemonade   ,Ria sean
58,GUPTA (feat. Lady Du & Mellow and Sleazy) ,Focalistic and Mr JazziQ
59,Table for Two   ,Bella Alubo
60,Unconditionally   ,"Ajebutter22, Oxlade"
61,Yafun Yafun   ,Ajebo Hustlers
62,Sika Aba Fie   ,"Kweku Darlington, Yaw Tog, Kweku Flick"
63,Cash App (feat. Zlatan & lincoln) ,Bella Shmurda
64,Sizophelelaphi   ,Msaki and Oskido
65,Dance   ,Humblesmith
66,Times Two (X2) (feat. Buju) ,WANI
67,Popote (feat. Vernyuy Tina) ,Wini
68,Drug Test   ,Naira Marley
69,Lie   ,Kizz Daniel
70,Ogogoro   ,Yemi Alade
71,Alubarika (feat. Buju) ,Zlatan
72,BE MY LOVER (feat. Mr. Eazi) ,Jizzle
73,Filo (feat. Wande Coal) ,Kelly Anthony featuring Wande Coal
74,Ojuju   ,Oxlade
75,Felicitation   ,"Dj Voyst, Joeboy"
76,Feel Good   ,Mohbad
