Position,song,artist
1,Understand   ,Omah Lay
2,Rock   ,Olamide
3,Party Next Door   ,"Dangbana Republik, Bella Shmurda"
4,"IYO (feat. Focalistic, Mapara A Jazz & Ntosh Gazi) ",Diamond Platnumz
5,Testimony   ,Buju
6,Enjoyment   ,Yemi Alade
7,Soundgasm   ,Rema
8,Feeling (feat. Buju) ,LADIPOE
9,Music Messiah (feat. Wande Coal) ,DJ Neptune
10,Jennifer Remix (feat. Rayvanny) ,Guchi ft Rayvanny
11,Cut Soap   ,DJ Xclusive and Rulerboy
12,Touch It   ,KiDi
13,Yote Sawa   ,Nandy
14,Free Your Mind   ,Blaq Jerzee & Jux
15,Praise   ,Fameye
16,Nimekuzoea   ,Nandy
17,All (feat. Davido) ,Rexxie featuring Davido
18,Tekiller   ,CDQ
19,All The Above   ,Show Dem Camp
20,Kamata   ,Diamond Platnumz
21,Sere Remix   ,"Spinall, Fireboy DML and 6LACK"
22,CELEBRATE ME   ,Patoranking
23,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana"
24,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour) ",Alikiba
25,Dorime (feat. Musette & Vector) ,Samklef
26,Salute (feat. RudeBoy) ,Alikiba
27,Iphupho (feat. Kuhle) ,Jabzz Dimitri featuring Kuhle
28,KSM   ,Naza
29,New Couple   ,Nandy
30,I Miss You   ,Joda Kgosi
31,Rappers (feat. Dremo) ,Dreylo featuring Dremo
32,Fine Wine (feat. King Promise & Joeboy) ,R2Bees
33,Simple Instruction   ,"Smallgod, R2Bees"
34,Omo X 100 (feat. Olamide) ,Reminisce
35,Confident   ,Savage X Buju
36,KPK (Ko Por Ke)   ,Rexxie and MohBad
37,This Your Body   ,Skales and Davido
38,FOCUS DANCE BEAT (feat. HAGMAN & ABATI) ,AJIMOVOIX_DRUMS
39,Baby   ,Brainee
40,Jemeni   ,Aymos and Focalistic
41,In Those Eyes   ,Ogranya
42,Brown Skin   ,Masterkraft
43,Tonongo   ,"Lojay, Sarz"
44,Sokoma   ,"Blaq Jerzee, Marioo and Eddy Kenzo"
45,Right Here   ,"Walshy Fire, Terri, Cloud Beats"
46,Lemonade   ,Ria sean
47,GUPTA (feat. Lady Du & Mellow and Sleazy) ,Focalistic and Mr JazziQ
48,Hurricane (feat. Buju Banton) ,Tomi Thomas
49,Heartbreaker (feat. Nasty C) ,Blaqbonez
50,Pempe   ,Seyi Shay and Yemi Alade
51,No Fugazy   ,Sarkodie
52,Door (feat. Kwesi Arthur) ,Joeboy
53,World   ,"Dangbana Republik, Bella Shmurda"
54,PEAKING   ,Tay Iwar
55,Egbon (feat. Phyno) ,Masterkraft
56,Cho Cho (feat. Davido & Mayorkun) ,Zlatan
57,"Zombie (feat. PsychoYP, Laycon & A-Q) ",Blaqbonez
58,Attitude (feat. H Baba & Awilo Longomba) ,Harmonize
59,History   ,Cheque & Fireboy DML
60,COMING (feat. Busiswa) ,Naira Marley
61,Bling (feat. Amaarae & Buju) ,Blaqbonez
62,"Currently (feat. Olamide, Falz & LK Kuddy) ",Kizz Daniel
63,Sore (Remix)   ,"Yaw Tog, Stormzy & Kwesi Arthur"
64,Focus   ,Joeboy
65,Sika Aba Fie   ,"Kweku Darlington, Yaw Tog, Kweku Flick"
66,Cash App (feat. Zlatan & lincoln) ,Bella Shmurda
67,Celebration   ,Joeboy
68,FOR YOU (feat. Davido) ,Teni featuring Davido
69,Hallelu (feat. Bella Shmurda & Zlatan) ,Masterkraft
70,Ke Star (feat. Vigro Deep) ,Focalistic featuring Vigro Deep
71,Godly   ,Omah Lay
72,Away   ,Ayra Starr
73,Ginger (feat. Burna Boy) ,Wizkid
74,INJURE ME   ,Teni
75,Show Me   ,Joeboy
76,The Best (feat. Mayorkun) ,Davido
77,Walk On The Beach   ,Femi Leye
78,Every Weekend   ,DJ Tunez & J. Anthoni
79,"Kubo (feat. K.O, Focalistic & Bassie) ","Kwesta featuring K.O, Focalistic and Bassie"
80,Roju   ,Chiké
81,Angelina (feat. Zlatan) ,Dreamboy
82,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz featuring Bella Shmurda
83,BACK TO THE SENDER (feat. Kofi Kinaata) ,Quamina MP
84,Akekho   ,Kekelingo
85,Vanity   ,MzVee and Kelvyn Boy
86,PINDA   ,Nedy Music
87,Changanya (feat. Jux & Kenz Ville) ,Jay Rox x Jux
88,I Like That   ,The Great Eddy
89,Aroma Persona   ,Izzik
90,AJE (feat. Remy Crown) ,DJ Big N
91,Know Person   ,Sean Tizzle
92,Pull Up   ,Gabzy
93,Cassette (feat. King Promise) ,Nanky
94,Petty   ,Olamide
95,Duduke (French)   ,Simi and Deja
96,First Sermon   ,Black Sherif
97,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth) ",Jay Bahd
98,Feel Good   ,Mohbad
