Position,song,artist
1,Rock,Olamide
2,CELEBRATE ME,Patoranking
3,Soundgasm,Rema
4,Music Messiah (feat. Wande Coal),DJ Neptune
6,Bobo,Aya Nakamura
7,Kamata,Diamond Platnumz
8,Sere Remix,"Spinall, Fireboy DML and 6LACK"
9,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee
10,I Miss You,Joda Kgosi
11,Iphupho (feat. Kuhle),Jabzz Dimitri featuring Kuhle
12,Fine Wine (feat. King Promise & Joeboy),R2Bees
13,Simple Instruction,"Smallgod, R2Bees"
14,Omo X 100 (feat. Olamide),Reminisce
15,Confident,Savage X Buju
16,This Your Body,Skales and Davido
17,Give It to Me,"Smallgod, 2BABA"
18,FOCUS DANCE BEAT (feat. HAGMAN & ABATI),AJIMOVOIX_DRUMS
19,Baby,Brainee
20,Jemeni,Aymos and Focalistic
21,In Those Eyes,Ogranya
22,Tonongo,"Lojay, Sarz"
23,Money,"Terri, Bella Shmurda, Mohbad"
24,Sokoma,"Blaq Jerzee, Marioo and Eddy Kenzo"
25,Right Here,"Walshy Fire, Terri, Cloud Beats"
26,Lemonade,Ria sean
27,Jennifer Remix (feat. Rayvanny),Guchi ft Rayvanny
28,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and Mr JazziQ
29,Hurricane (feat. Buju Banton),Tomi Thomas
30,Chance (feat. Tay Iwar & Projexx),JulsBaby
31,Heartbreaker (feat. Nasty C),Blaqbonez
32,Pempe,Seyi Shay and Yemi Alade
33,No Fugazy,Sarkodie
34,Door (feat. Kwesi Arthur),Joeboy
35,World,"Dangbana Republik, Bella Shmurda"
36,PEAKING,Tay Iwar
37,Egbon (feat. Phyno),Masterkraft
38,Cho Cho (feat. Davido & Mayorkun),Zlatan
39,"Zombie (feat. PsychoYP, Laycon & A-Q)",Blaqbonez
40,Attitude (feat. H Baba & Awilo Longomba),Harmonize
41,History,Cheque & Fireboy DML
42,COMING (feat. Busiswa),Naira Marley
43,Bling (feat. Amaarae & Buju),Blaqbonez
44,"Currently (feat. Olamide, Falz & LK Kuddy)",Kizz Daniel
45,Thunder Fire You,Ric Hassani
46,One Time Ting,DJ Tunez & J. Anthoni
47,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur"
48,Focus,Joeboy
49,Sika Aba Fie,"Kweku Darlington, Yaw Tog, Kweku Flick"
50,Rush,Dangbana Republik X Bella Shmurda
51,Cash App (feat. Zlatan & lincoln),Bella Shmurda
52,Kiss Me Like You Miss Me,CKay
53,Celebration,Joeboy
54,Bomb,DJ Tunez & J. Anthoni
55,FOR YOU (feat. Davido),Teni featuring Davido
56,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
57,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep
58,Godly,Omah Lay
59,Away,Ayra Starr
60,Ginger (feat. Burna Boy),Wizkid
61,INJURE ME,Teni
62,Show Me,Joeboy
63,Sukari,Zuchu
64,The Best (feat. Mayorkun),Davido
65,Funu,"Kabza De Small, DJ Maphorisa and TRESOR"
66,Walk On The Beach,Femi Leye
67,Every Weekend,DJ Tunez & J. Anthoni
68,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie"
69,Roju,Chiké
70,Angelina (feat. Zlatan),Dreamboy
71,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz featuring Bella Shmurda
72,BACK TO THE SENDER (feat. Kofi Kinaata),Quamina MP
73,Akekho,Kekelingo
74,Vanity,MzVee and Kelvyn Boy
75,PINDA,Nedy Music
76,Changanya (feat. Jux & Kenz Ville),Jay Rox
77,I Like That,The Great Eddy
78,Aroma Persona,Izzik
79,AJE (feat. Remy Crown),DJ Big N
80,Know Person,Sean Tizzle
81,Pull Up,Gabzy
82,Fresh (feat. Samba Peuzzi),Iss 814
83,Somebody (feat. Phyno),Olamide
84,Kwadede,Kwabena Kwabena
85,Cassette (feat. King Promise),Nanky
86,Petty,Olamide
87,Duduke (French),Simi and Deja
88,First Sermon,Black Sherif
89,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd
90,Touch It,KiDi
91,All (feat. Davido),Rexxie featuring Davido
92,Party Next Door,"Dangbana Republik, Bella Shmurda"
93,Chargie (feat. Jonny Blaze & Stadic),"Reekado Banks, Teejay, Lord Afrixana"
94,Tekiller,CDQ
95,Brown Skin,Masterkraft
96,KSM,Naza
97,KPK (Ko Por Ke),Rexxie and MohBad
