Position,song,artist
1,Rock,Olamide
2,Soundgasm,Rema
3,Feeling (feat. Buju),LADIPOE
4,Music Messiah (feat. Wande Coal),DJ Neptune
5,Bobo,Aya Nakamura
6,Sere Remix,"Spinall, Fireboy DML and 6LACK"
7,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee
8,Iphupho (feat. Kuhle),Jabzz Dimitri featuring Kuhle
9,Confident,Savage X Buju
10,This Your Body,Skales and Davido
11,FOCUS DANCE BEAT (feat. HAGMAN & ABATI),AJIMOVOIX_DRUMS
12,Baby,Brainee
13,Jemeni,Aymos and Focalistic
14,In Those Eyes,Ogranya
15,Tonongo,"Lojay, Sarz"
16,Money,"Terri, Bella Shmurda, Mohbad"
17,Sokoma,"Blaq Jerzee, Marioo and Eddy Kenzo"
18,Right Here,"Walshy Fire, Terri, Cloud Beats"
19,Lemonade,Ria sean
20,Jennifer Remix (feat. Rayvanny),Guchi ft Rayvanny
21,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and Mr JazziQ
22,Hurricane (feat. Buju Banton),Tomi Thomas
23,Chance (feat. Tay Iwar & Projexx),JulsBaby
24,Heartbreaker (feat. Nasty C),Blaqbonez
25,1. Confusion,M.anifest
26,Pempe,Seyi Shay and Yemi Alade
27,No Fugazy,Sarkodie
28,Door (feat. Kwesi Arthur),Joeboy
29,World,"Dangbana Republik, Bella Shmurda"
30,PEAKING,Tay Iwar
31,Egbon (feat. Phyno),Masterkraft
32,Cho Cho (feat. Davido & Mayorkun),Zlatan
33,"Zombie (feat. PsychoYP, Laycon & A-Q)",Blaqbonez
34,Attitude (feat. H Baba & Awilo Longomba),Harmonize
35,Leg Work,KOREDE BELLO
36,History,Cheque & Fireboy DML
37,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta
38,MOSLADO,Teni
39,COMING (feat. Busiswa),Naira Marley
40,Addicted,DJ Tunez & J. Anthoni
41,Bling (feat. Amaarae & Buju),Blaqbonez
42,Low Key Feat. Sarkodie (feat. Sarkodie),E.L
43,Ukimwona,H_ART THE BAND
44,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande
45,"Currently (feat. Olamide, Falz & LK Kuddy)",Kizz Daniel
46,Thunder Fire You,Ric Hassani
47,One Time Ting,DJ Tunez & J. Anthoni
48,Complicated (feat. Yemi Alade & Bisa Kdei),Philkeyz featuring Yemi Alade and Bisa Kdei
49,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur"
50,HUSTLE,Teni
51,Wenge,Mimi Mars
52,Wagwan,Laycon
53,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize"
54,Focus,Joeboy
55,Sika Aba Fie,"Kweku Darlington, Yaw Tog, Kweku Flick"
56,Rush,Dangbana Republik X Bella Shmurda
57,Cash App (feat. Zlatan & lincoln),Bella Shmurda
58,Kiss Me Like You Miss Me,CKay
59,Sawa,Jux
60,The Don,Mr Eazi
61,Birthday Song (feat. Khaligraph Jones),"Nviiri The Storyteller, Sauti Sol and Bensoul featuring Khaligraph Jones"
62,Celebration,Joeboy
63,Bomb,DJ Tunez & J. Anthoni
64,KPK (Ko Por Ke),Rexxie and MohBad
65,FOR YOU (feat. Davido),Teni featuring Davido
66,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
67,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep
68,Godly,Omah Lay
69,Away,Ayra Starr
70,Ginger (feat. Burna Boy),Wizkid
71,INJURE ME,Teni
72,Show Me,Joeboy
73,Sukari,Zuchu
74,The Best (feat. Mayorkun),Davido
75,Funu,"Kabza De Small, DJ Maphorisa and TRESOR"
76,Walk On The Beach,Femi Leye
77,Every Weekend,DJ Tunez & J. Anthoni
78,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie"
79,Roju,Chiké
80,Angelina (feat. Zlatan),Dreamboy
81,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz featuring Bella Shmurda
82,BACK TO THE SENDER (feat. Kofi Kinaata),Quamina MP
83,Akekho,Kekelingo
84,Vanity,MzVee and Kelvyn Boy
85,PINDA,Nedy Music
86,Changanya (feat. JUX & Kenz Ville),Jay Rox
87,I Like That,The Great Eddy
88,Aroma Persona,Izzik
89,AJE (feat. Remy Crown),DJ Big N
90,Know Person,Sean Tizzle
91,Pull Up,Gabzy
92,Fresh (feat. Samba Peuzzi),Iss 814
93,Kwadede,Kwabena Kwabena
94,Cassette (feat. King Promise),Nanky
95,I Miss You,Joda Kgosi
96,Somebody (feat. Phyno),Olamide
97,Duduke (French),Simi and Deja
98,CELEBRATE ME,Patoranking
99,Petty,Olamide
