rank,song,artist,R1,R2,R3,R4,R5,RT
1,Soundgasm,Rema,1,2,2,3,3,2.2
2,Feeling (feat. Buju),LADIPOE,2,3,3,5,5,3.6
3,Music Messiah (feat. Wande Coal),DJ Neptune,3,4,4,4,4,3.8
4,Bobo,Aya Nakamura,4,5,5,6,6,5.2
5,Sere Remix,"Spinall, Fireboy DML and 6LACK",5,6,6,8,8,6.6
6,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee,6,7,7,9,9,7.6
7,Iphupho (feat. Kuhle),Jabzz Dimitri featuring Kuhle,7,8,8,11,11,9.0
8,Confident,Savage X Buju,8,9,9,15,15,11.2
9,This Your Body,Skales and Davido,9,10,10,16,16,12.2
10,FOCUS DANCE BEAT (feat. HAGMAN & ABATI),AJIMOVOIX_DRUMS,10,11,11,18,18,13.6
11,Baby,Brainee,11,12,12,19,19,14.6
12,Jemeni,Aymos and Focalistic,12,13,13,20,20,15.6
13,Rock,Olamide,79,1,1,1,1,16.6
14,In Those Eyes,Ogranya,13,14,14,21,21,16.6
15,Tonongo,"Lojay, Sarz",14,15,15,22,22,17.6
16,Money,"Terri, Bella Shmurda, Mohbad",15,16,16,23,23,18.6
17,Sokoma,"Blaq Jerzee, Marioo and Eddy Kenzo",16,17,17,24,24,19.6
18,Right Here,"Walshy Fire, Terri, Cloud Beats",17,18,18,25,25,20.6
19,Lemonade,Ria sean,18,19,19,26,26,21.6
20,Jennifer Remix (feat. Rayvanny),Guchi ft Rayvanny,19,20,20,27,27,22.6
21,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and Mr JazziQ,20,21,21,28,28,23.6
22,Hurricane (feat. Buju Banton),Tomi Thomas,21,22,22,29,29,24.6
23,Chance (feat. Tay Iwar & Projexx),JulsBaby,22,23,23,30,30,25.6
24,Heartbreaker (feat. Nasty C),Blaqbonez,23,24,24,31,31,26.6
25,Pempe,Seyi Shay and Yemi Alade,25,26,26,32,32,28.2
26,No Fugazy,Sarkodie,26,27,27,33,33,29.2
27,Door (feat. Kwesi Arthur),Joeboy,27,28,28,34,34,30.2
28,World,"Dangbana Republik, Bella Shmurda",28,29,29,35,35,31.2
29,PEAKING,Tay Iwar,29,30,30,36,36,32.2
30,Egbon (feat. Phyno),Masterkraft,30,31,31,37,37,33.2
31,Cho Cho (feat. Davido & Mayorkun),Zlatan,31,32,32,38,38,34.2
32,"Zombie (feat. PsychoYP, Laycon & ",) - Blaqbonez,32,33,33,39,39,35.2
33,Attitude (feat. H Baba & Awilo Longomba),Harmonize,33,34,34,40,40,36.2
34,History,Cheque & Fireboy DML,35,36,36,41,41,37.8
35,COMING (feat. Busiswa),Naira Marley,38,39,39,42,42,40.0
36,Bling (feat. Amaarae & Buju),Blaqbonez,40,41,41,43,43,41.6
37,"Currently (feat. Olamide, Falz & LK Kuddy)",Kizz Daniel,44,45,45,44,44,44.4
38,Thunder Fire You,Ric Hassani,45,46,46,45,45,45.4
39,One Time Ting,DJ Tunez & J. Anthoni,46,47,47,46,46,46.4
40,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",48,49,49,47,47,48.0
41,Focus,Joeboy,53,54,54,48,48,51.4
42,Sika Aba Fie,"Kweku Darlington, Yaw Tog, Kweku Flick",54,55,55,49,49,52.4
43,Rush,Dangbana Republik X Bella Shmurda,55,56,56,50,50,53.4
44,Cash App (feat. Zlatan & lincoln),Bella Shmurda,56,57,57,51,51,54.4
45,Kiss Me Like You Miss Me,CKay,57,58,58,52,52,55.4
46,Celebration,Joeboy,61,62,62,53,53,58.2
47,Bomb,DJ Tunez & J. Anthoni,62,63,63,54,54,59.2
48,CELEBRATE ME,Patoranking,98,98,97,2,2,59.4
49,FOR YOU (feat. Davido),Teni featuring Davido,64,65,64,55,55,60.6
50,I Miss You,Joda Kgosi,95,95,94,10,10,60.8
51,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,65,66,65,56,56,61.6
52,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep,66,67,66,57,57,62.6
53,Godly,Omah Lay,67,68,67,58,58,63.6
54,Away,Ayra Starr,68,69,68,59,59,64.6
55,Ginger (feat. Burna Boy),Wizkid,69,70,69,60,60,65.6
56,INJURE ME,Teni,70,71,70,61,61,66.6
57,Show Me,Joeboy,71,72,71,62,62,67.6
58,Sukari,Zuchu,72,73,72,63,63,68.6
59,The Best (feat. Mayorkun),Davido,73,74,73,64,64,69.6
60,Funu,"Kabza De Small, DJ Maphorisa and TRESOR",74,75,74,65,65,70.6
61,Walk On The Beach,Femi Leye,75,76,75,66,66,71.6
62,Every Weekend,DJ Tunez & J. Anthoni,76,77,76,67,67,72.6
63,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie",77,78,77,68,68,73.6
64,Roju,Chiké,78,79,78,69,69,74.6
65,Angelina (feat. Zlatan),Dreamboy,80,80,79,70,70,75.8
66,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz featuring Bella Shmurda,81,81,80,71,71,76.8
67,BACK TO THE SENDER (feat. Kofi Kinaata),Quamina MP,82,82,81,72,72,77.8
68,Akekho,Kekelingo,83,83,82,73,73,78.8
69,Vanity,MzVee and Kelvyn Boy,84,84,83,74,74,79.8
70,PINDA,Nedy Music,85,85,84,75,75,80.8
71,I Like That,The Great Eddy,87,87,86,77,77,82.8
72,Aroma Persona,Izzik,88,88,87,78,78,83.8
73,AJE (feat. Remy Crown),DJ Big N,89,89,88,79,79,84.8
74,Know Person,Sean Tizzle,90,90,89,80,80,85.8
75,Pull Up,Gabzy,91,91,90,81,81,86.8
76,Fresh (feat. Samba Peuzzi),Iss 814,92,92,91,82,82,87.8
77,Kwadede,Kwabena Kwabena,93,93,92,84,84,89.2
78,Cassette (feat. King Promise),Nanky,94,94,93,85,85,90.2
79,Somebody (feat. Phyno),Olamide,96,96,95,83,83,90.6
80,Duduke (French),Simi and Deja,97,97,96,87,87,92.8
81,Petty,Olamide,99,99,98,86,86,93.6
82,KPK (Ko Por Ke),Rexxie and MohBad,63,64,401,88,91,141.4
83,1. Confusion,M.anifest,24,25,25,401,401,175.2
84,Leg Work,KOREDE BELLO,34,35,35,401,401,181.2
85,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta,36,37,37,401,401,182.4
86,MOSLADO,Teni,37,38,38,401,401,183.0
87,Addicted,DJ Tunez & J. Anthoni,39,40,40,401,401,184.2
88,Fine Wine (feat. King Promise & Joeboy),R2Bees,401,401,100,12,12,185.2
89,Low Key Feat. Sarkodie (feat. Sarkodie),E.L,41,42,42,401,401,185.4
90,Simple Instruction,"Smallgod, R2Bees",401,401,101,13,13,185.8
91,Omo X 100 (feat. Olamide),Reminisce,401,401,99,14,14,185.8
92,Ukimwona,H_ART THE BAND,42,43,43,401,401,186.0
93,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande,43,44,44,401,401,186.6
