rank,song,artist,R1,R2,RT
1,Rock,Olamide,1,1,1.0
2,CELEBRATE ME,Patoranking,2,2,2.0
3,Soundgasm,Rema,3,3,3.0
4,Music Messiah (feat. Wande Coal),DJ Neptune,4,4,4.0
5,Bobo,Aya Nakamura,6,6,6.0
6,Kamata,Diamond Platnumz,7,7,7.0
7,Sere Remix,"Spinall, Fireboy DML and 6LACK",8,8,8.0
8,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee,9,9,9.0
9,I Miss You,Joda Kgosi,10,10,10.0
10,Iphupho (feat. Kuhle),Jabzz Dimitri featuring Kuhle,11,11,11.0
11,Fine Wine (feat. King Promise & Joeboy),R2Bees,12,12,12.0
12,Simple Instruction,"Smallgod, R2Bees",13,13,13.0
13,Omo X 100 (feat. Olamide),Reminisce,14,14,14.0
14,Confident,Savage X Buju,15,15,15.0
15,This Your Body,Skales and Davido,16,16,16.0
16,Give It to Me,"Smallgod, 2BABA",17,17,17.0
17,FOCUS DANCE BEAT (feat. HAGMAN & ABATI),AJIMOVOIX_DRUMS,18,18,18.0
18,Baby,Brainee,19,19,19.0
19,Jemeni,Aymos and Focalistic,20,20,20.0
20,In Those Eyes,Ogranya,21,21,21.0
21,Tonongo,"Lojay, Sarz",22,22,22.0
22,Money,"Terri, Bella Shmurda, Mohbad",23,23,23.0
23,Sokoma,"Blaq Jerzee, Marioo and Eddy Kenzo",24,24,24.0
24,Right Here,"Walshy Fire, Terri, Cloud Beats",25,25,25.0
25,Lemonade,Ria sean,26,26,26.0
26,Jennifer Remix (feat. Rayvanny),Guchi ft Rayvanny,27,27,27.0
27,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and Mr JazziQ,28,28,28.0
28,Hurricane (feat. Buju Banton),Tomi Thomas,29,29,29.0
29,Chance (feat. Tay Iwar & Projexx),JulsBaby,30,30,30.0
30,Heartbreaker (feat. Nasty C),Blaqbonez,31,31,31.0
31,Pempe,Seyi Shay and Yemi Alade,32,32,32.0
32,No Fugazy,Sarkodie,33,33,33.0
33,Door (feat. Kwesi Arthur),Joeboy,34,34,34.0
34,World,"Dangbana Republik, Bella Shmurda",35,35,35.0
35,PEAKING,Tay Iwar,36,36,36.0
36,Egbon (feat. Phyno),Masterkraft,37,37,37.0
37,Cho Cho (feat. Davido & Mayorkun),Zlatan,38,38,38.0
38,"Zombie (feat. PsychoYP, Laycon & ",) - Blaqbonez,39,39,39.0
39,Attitude (feat. H Baba & Awilo Longomba),Harmonize,40,40,40.0
40,History,Cheque & Fireboy DML,41,41,41.0
41,COMING (feat. Busiswa),Naira Marley,42,42,42.0
42,Bling (feat. Amaarae & Buju),Blaqbonez,43,43,43.0
43,"Currently (feat. Olamide, Falz & LK Kuddy)",Kizz Daniel,44,44,44.0
44,Thunder Fire You,Ric Hassani,45,45,45.0
45,One Time Ting,DJ Tunez & J. Anthoni,46,46,46.0
46,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",47,47,47.0
47,Focus,Joeboy,48,48,48.0
48,Sika Aba Fie,"Kweku Darlington, Yaw Tog, Kweku Flick",49,49,49.0
49,Rush,Dangbana Republik X Bella Shmurda,50,50,50.0
50,Cash App (feat. Zlatan & lincoln),Bella Shmurda,51,51,51.0
51,Kiss Me Like You Miss Me,CKay,52,52,52.0
52,Celebration,Joeboy,53,53,53.0
53,Bomb,DJ Tunez & J. Anthoni,54,54,54.0
54,FOR YOU (feat. Davido),Teni featuring Davido,55,55,55.0
