Position,song,artist
1,Euphoria,PsychoYP
2,No Fugazy,Sarkodie
3,Crown Of Clay (feat. Pheelz),Vector
4,No Fear (feat. Vic Mensa & Moliy),M.anifest
5,KOLO (feat. Oxlade),Ice Prince
6,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik
7,Every Weekend,DJ Tunez & J. Anthoni
8,Guala (feat. Maison 2500 & New World Ray),Teezee
9,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks
10,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle
11,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur"
12,Monster,Vnero feat. Tonez
13,Rappers (feat. Dremo),Dreylo feat. Dremo
14,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack
15,Odeshi,Kwvdwo Pvnch
16,"Loose Guard (I See, I Saw)",Legendary Styles & Falz
17,Squander (feat. Niniola),Falz
18,Toxic (feat. Adekunle Gold),Reminisce
19,Attention (feat. Oxlade & Merry-Lynn),PsychoYP
20,African Knockout,AFRICAN KNOCKOUT x M.I Abaga
21,Oulalalah,Samba Peuzzi
22,Action Figure,Gemini Major and AKA
23,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC)",Jay Bahd
24,Could Have Been Worse,CDQ
25,Intense,"Blackway, Busta Rhymes"
26,Roll Call,$pacely
27,Lekki Epe (feat. Vector),Maxino feat. Vector
28,Where You Dey,"Kokopee, Erigga"
29,EVERYWHERE (feat. Buju),Straffitti featuring Buju
30,Don't Worry (feat. Emtee),Just G featuring Emtee
31,Flex and Ball (feat. Azanti & Lyta),PsychoYP
32,On The Streets (feat. Kwesi Arthur),Kweku Smoke featuring Kwesi Arthur
33,Three,Kweku Lee
34,"1 Sima (feat. Kojo Trip, The Township, Hyndu, Nemsis Loso & Yaw Lucaz)",Pappy Kojo
35,Bourdillon Love (feat. Three),Studio Magic x Fresh L
36,Drive By (Fivio Freestyle),So$aVelli
37,Dawgi (feat. Sarkodie),Amerado
38,Go Down,Bucky Raw
39,Molade (feat. Dwillsharmony & Ycee),Beatsbykarma
40,We Move (Freestyle),Stonebwoy
41,Like Dat (feat. PsychoYP),Skillz 8Figure
42,Use to this,Marvy feat. Psycho YP
43,TikTok Girl (feat. Kofi Mole),Kwasi Yesu
44,Justice,KayMad
45,All I Need,Yung6ix
46,1. Confusion,M.anifest
47,Heartbreaker (feat. Nasty C),Blaqbonez
48,"Zombie (feat. PsychoYP, Laycon & A-Q)",Blaqbonez
49,Run The Cheque,D-Truce
50,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie"
51,Snakes In The Crib (feat. Tshego AMG),Kwesta featuring Tshego AMG
52,Foreign (feat. Trigga the 24),ameen
53,Text My Ex (feat. Bryan The Mensah),D-Truce
54,BROWN (feat. Una Rams),King Lutendo featuring Una Rams
55,"Ghost (feat. Miles Caliph, Kadens & Tobii WTW)",Stringz Beatz
56,CHANGE,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones"
57,THOHO KHULU PART 3,King Lutendo
58,HEATHROW,Droxx & Mo'gunz
59,waterbody,mwami
60,Mehia Sika (feat. Dead Peepol),ZACK GH
61,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz
62,Cassette (feat. King Promise),Nanky
63,4 You,Yung D3mz
64,Goboyi (feat. Oladips & Tcash_omowest),"Odumodublvck, Reeplay"
65,Check Yourself,Kaptain
66,OPS,KashCPT
67,On the Move (feat. Dead Peepol),RichMiller
68,Omo X 100 (feat. Olamide),Reminisce
69,Sinner (feat. Kwaku DMC & LP2Loose),"Smallgod, Headie One, O'Kenneth"
70,My Crew (feat. Lil5ive),Kiiwii
71,Rise Of The Underdogs 2 (feat. Tomi Thomas),Show Dem Camp featuring Tomi Thomas
72,First Sermon,Black Sherif
73,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd
74,KSM,Naza
75,Wreckless Tactics,TRiPPY TRiPPY
76,Dorime (feat. Musette & Vector),Samklef
77,All The Above,Show Dem Camp
