Position,song,artist
1,No Fugazy,Sarkodie
2,Crown Of Clay (feat. Pheelz),Vector
3,No Fear (feat. Vic Mensa & Moliy),M.anifest
4,KOLO (feat. Oxlade),Ice Prince
5,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik
6,Every Weekend,DJ Tunez & J. Anthoni
7,Guala (feat. Maison 2500 & New World Ray),Teezee
8,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks
9,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle
10,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur"
11,Monster,Vnero feat. Tonez
13,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack
14,Odeshi,Kwvdwo Pvnch
15,"Loose Guard (I See, I Saw)",Legendary Styles & Falz
16,Squander (feat. Niniola),Falz
17,Toxic (feat. Adekunle Gold),Reminisce
18,Attention (feat. Oxlade & Merry-Lynn),PsychoYP
19,African Knockout,AFRICAN KNOCKOUT x M.I Abaga
20,Oulalalah,Samba Peuzzi
21,Action Figure,Gemini Major and AKA
22,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC)",Jay Bahd
23,Could Have Been Worse,CDQ
24,Intense,"Blackway, Busta Rhymes"
25,Roll Call,$pacely
26,Lekki Epe (feat. Vector),Maxino feat. Vector
27,Where You Dey,"Kokopee, Erigga"
28,EVERYWHERE (feat. Buju),Straffitti featuring Buju
29,Don't Worry (feat. Emtee),Just G featuring Emtee
30,Flex and Ball (feat. Azanti & Lyta),PsychoYP
31,On The Streets (feat. Kwesi Arthur),Kweku Smoke featuring Kwesi Arthur
32,Three,Kweku Lee
33,"1 Sima (feat. Kojo Trip, The Township, Hyndu, Nemsis Loso & Yaw Lucaz)",Pappy Kojo
34,Bourdillon Love (feat. Three),Studio Magic x Fresh L
35,Drive By (Fivio Freestyle),So$aVelli
36,Dawgi (feat. Sarkodie),Amerado
37,Go Down,Bucky Raw
38,Molade (feat. Dwillsharmony & Ycee),Beatsbykarma
39,We Move (Freestyle),Stonebwoy
40,Like Dat (feat. PsychoYP),Skillz 8Figure
41,Use to this,Marvy feat. Psycho YP
42,TikTok Girl (feat. Kofi Mole),Kwasi Yesu
43,Justice,KayMad
44,All I Need,Yung6ix
45,1. Confusion,M.anifest
46,Heartbreaker (feat. Nasty C),Blaqbonez
47,"Zombie (feat. PsychoYP, Laycon & A-Q)",Blaqbonez
48,Run The Cheque,D-Truce
49,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie"
50,Snakes In The Crib (feat. Tshego AMG),Kwesta featuring Tshego AMG
51,Foreign (feat. Trigga the 24),ameen
52,Text My Ex (feat. Bryan The Mensah),D-Truce
53,BROWN (feat. Una Rams),King Lutendo featuring Una Rams
54,"Ghost (feat. Miles Caliph, Kadens & Tobii WTW)",Stringz Beatz
55,CHANGE,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones"
56,THOHO KHULU PART 3,King Lutendo
57,HEATHROW,Droxx & Mo'gunz
58,waterbody,mwami
59,Mehia Sika (feat. Dead Peepol),ZACK GH
60,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz
61,Cassette (feat. King Promise),Nanky
62,4 You,Yung D3mz
63,Goboyi (feat. Oladips & Tcash_omowest),"Odumodublvck, Reeplay"
64,Check Yourself,Kaptain
65,OPS,KashCPT
66,On the Move (feat. Dead Peepol),RichMiller
67,Euphoria,PsychoYP
