Position,song,artist
1,Yote Sawa,Nandy
2,My Jaber (Friday) (feat. Brizy Annechild),H_ART THE BAND featuring Brizy Annechild
3,Cut Soap,Fiokee & Raybekah
4,Yktv (feat. Lady Donli),Ilaye
5,Gonto,Ibejii
6,New Couple,Nandy
7,Somebody (feat. Phyno),Olamide
8,Touch It,KiDi
9,Chargie (feat. Jonny Blaze & Stadic),"Reekado Banks, Teejay & Lord Afrixana"
10,No Wahala,1da Banton
11,Nimekuzoea,Nandy
12,Lowkey,Xenia Manasseh
13,Catch A Vibe,Karun and MOMBRU
14,Cherry (feat. Xenia Manasseh),Mr Eazi
15,Hapo Tu (feat. Chris Kaiga),Nyashinski
16,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande
17,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta
18,DADA,Kobi Jonz
19,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize"
20,Jafafa,Chinko Ekun & Mohbad
21,My Baby,Di'Ja
22,LayLow,Amipatra
23,FALL IN LOVE,Willy Paul & Miss P
24,Closer,Diteh
25,Believe (feat. Sarkodie & Kwesi Arthur),Pappy Kojo featuring Sarkodie and Kwesi Arthur
26,Tonight (feat. Adina Thembi),Pappy Kojo featuring Adina Thembi
27,My Heart,Pappy Kojo and Kuami Eugene
28,Backup n Whyne,Miles Stunner
29,Kitenge,Nviiri The Storyteller
30,Niko Sawa (feat. Bien),Nviiri The Storyteller featuring Bien
31,Bembeleza,Nviiri The Storyteller
32,Marry Me,"Smallgod, Harmonize"
33,We Dont Know Feat. Ayisi (feat. Ayisi),E.L
34,Love Cycle (feat. Davido),Enisa
35,Kunle,Ladé
36,Somebody Baby,Peruzzi & Davido
37,Jei Jei,Mr Leo
38,Shima,Tha Boy Myles
39,Stronger,Team Salut
40,Obajeti,Toofit feat. Ice Prince
41,Can’t Feel,F-NIC
42,Give,Magasco
43,Bygone,SkiiBii
44,Chargie,Lykan Sensei
45,Right Here,"Walshy Fire, Terri, Cloud Beats"
46,Born Sinner (feat. Davido & Peruzzi),Mr Peak
47,Good Thang,Chrystel
48,Girl From Ghana,The Great Eddy
49,I Like That,The Great Eddy
50,For Good,Eon Natty
51,E Choke,Nautyca
52,Permission,Damosh
53,Ride or Die,Joda
