Position,album,artist
1,UY Scuti,Olamide
2,19 & Dangerous,Ayra Starr
3,High Tension 2.0,Dangbana Republik & Bella Shmurda
4,Somewhere Between Beauty & Magic,Joeboy
5,APOLLO,Fireboy DML
6,High Tension EP,Bella Shmurda
7,WONDALAND,Teni
8,Twice As Tall,Burna Boy
9,Carpe Diem,Olamide
10,Eclipse,Troniq Music & Oxlade
11,What Have We Done,Omah Lay
12,Nothing To Prove,Victor AD
13,THE GOAT,Polo G
14,Rema Compilation,Rema
15,Get Layd,Omah Lay
16,Zero Panic,Balloranking
17,"Laughter, Tears & Goosebumps",Fireboy DML
18,NEW ERA,Kiss Daniel
19,Please Excuse Me for Being Antisocial,Roddy Ricch
20,LIGHT (The EP),MohBad
21,NEW ERA,Kiss Daniel
22,Chrome Eccentric Ep,Zinoleesky
23,High Off Life,Future
24,No Pressure,Sarkodie
25,Sex Over Love,Blaqbonez
26,Shottaz 4Eva (Deluxe),MO3
27,Superstar,Wizkid
28,Afro Pop Vol. 1,Adekunle Gold
29,King Of Love,Kizz Daniel
30,Welcome to O'Block,King Von
31,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers
32,Man Of Galilee,Judikay
33,Rum & Boogie,Peruzzi
34,Shottaz 4Eva,MO3
35,LV N ATTN,Lojay & Sarz
36,Just A Matter of Slime,YNW Melly
37,Gratitude,Timaya
38,Simisola,Simi
39,I'll Say It For You,Dax
40,Boo of the Booless,Chiké
41,The Golden Boy,KiDi
42,Simisola (Deluxe),Simi
43,Shottaz 4Eva,MO3
44,For Broken Ears,Tems
45,Just A Matter of Slime,YNW Melly
46,Off The Yak,Young M.A
47,Shiesty Season,Pooh Shiesty
48,Shopla,Jaido P
49,Top,YoungBoy Never Broke Again
50,Boyfriend,CKay
51,Euphoria,PsychoYP
52,TOP PRIZE,ALKALINE
53,Rudykillus,Rudeboy
54,Omo Charlie Champagne Vol1,Simi
55,Soundgod Fest Vol.1,Runtown
56,Twice As Tall,Burna Boy
57,Hot Pink,Doja Cat
58,The Cross: My Gaze,Mercy Chinwo
59,Culture,Migos
60,Three,Patoranking
61,TattleTales,6ix9ine
62,Cultural Praise,Kcee & Okwesili Eze Group
63,Moon Boy,Yung Bleu
64,Queendoncom,Yemi Alade
65,...Shall We Begin...,Laycon
66,The Message,Minister GUC
67,OXYGENE,Oxlade
68,Bad Commando,Rema
69,Twelve A.M,Crayon
70,Hoodie SZN,A Boogie Wit Da Hoodie
71,7,Lil Nas X
72,SAVAGE MODE II,21 Savage & Metro Boomin
73,Billionaire,Teni
74,New Season,Chidinma
75,Lil Durk Presents: Loyal Bros,Only The Family
76,Dead roses  chronicles2,Corizo
77,SATISFIED,Mercy Chinwo
78,Dark Times,Victony
79,Herstory in the Making,Young M.A
80,Deal with It,Phyno
81,Twice As Tall,Burna Boy
82,Chulo Vibes,Timaya
83,Pluto x Baby Pluto,Future & Lil Uzi Vert
84,Haitian Boy Kodak,Kodak Black
85,Three,Patoranking
86,Shiesty Season - Spring Deluxe,Pooh Shiesty
87,Dark Times,Victony
88,Happy Birthday Kodak,Kodak Black
89,Levon James,King Von
90,...Shall We Begin...,Laycon
91,What Have We Done,Omah Lay
92,Wild West,Central Cee
93,On God II,Big Yavo
94,WUNNA,Gunna
95,Hoodie SZN,A Boogie Wit Da Hoodie
96,The Backend Child,NoCap
97,Rema Freestyle EP,Rema
98,LOL (Lord of Lamba),Naira Marley
99,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune
100,Jackboy,Jackboy
101,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna"
102,SoundGod Fest Reloaded,Runtown
103,Trap Symphony EP,Roddy Ricch
104,The Beauty of Becoming,Rotimi
105,Alagbe,Qdot
106,Viral Infection 1.0,Ayanfe Viral
107,Know You,Ladipoe
108,PTSD,G Herbo
109,Realms,Wande Coal
110,TOP MEMBA,Kida Kudz
111,Afrodisíaco,Rauw Alejandro
112,Good News,Megan Thee Stallion
113,Something Else,Mr Eazi
114,L.O.V.E.,Luh Kel
115,L.O.V.E. (Deluxe),Luh Kel
116,My Letter To You Riddim,Various Artists
117,Masta Groove,Masterkraft
118,Off The Record,Reekado Banks
119,The Prince I Became,Ric Hassani
120,TIME,Yaw Tog
121,Trench Baby (Deluxe Edition),Lil Zay Osama
122,PINK PLANET,Pink Sweat$
123,So Much Fun,Young Thug
124,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert
125,Itheep,Moelogo
126,The Mayor of Lagos,Mayorkun
127,T R A P S O U L (Deluxe),Bryson Tiller
128,Play 2 Win,G Perico
129,Only The Generals Part II,Kevin Gates
130,I Love Girls With Trobul,Sarz X WurlD
131,Redemption song,Corizo
132,ZaZa Vibes,L.A.X
133,"Scorpion, Vol. 2",Jizzle
134,Question,Burna boy ft Don jazzy
135,Slime Language 2,"Young Stoner Life, Young Thug & Gunna"
136,Anloga Junction,Stonebwoy
137,Top Shotta,NLE Choppa
138,One In A Million,Aaliyah
139,Roots,NSG
140,PERFECT PICTURE,Dremo
141,Trench Baby,Lil Zay Osama
142,Mixed Emotions,Luh Kel
143,6locc 6a6y,Lil Loaded
144,The Prodigal,Mr. P
145,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert
146,Solid Focus Riddim,"Popcaan, Zamunda, Furnace"
147,Type Beats| Rap|Afro-Pop|RnB|Trap/HipHop|Trapsoul 2020 instrumentals,Ryzy.A  Beats
148,Aje (The Mixtape),Jaywon
149,We All Shine,YNW Melly
150,Nobody Safe,Rich The Kid & YoungBoy Never Broke Again
151,The Idea Of Her,Ali Gatie
152,A Boy From Tandale,Diamond Platnumz
153,"Grandson, Vol. 1",King Von
154,Greatest Lord,SINACH
155,!,Trippie Redd
156,S.C.A.M,G4 Boyz
157,So Cold,"Bella Shmurda, ft popcaan"
158,38 Baby 2,YoungBoy Never Broke Again
159,Tropical Depression Riddim,"VARIOUS ARTISTE (KRANIUM, TEEJAY, SHATTA WALE, JAHMEIL & MORE)"
160,Too Late Too Lit,KDDO
161,Honorable,Hotkid
162,Black Love,Sarkodie
163,The Palmwine Express,Show Dem Camp
164,GEEZYWORLD,OhGeesy
165,Big Grim Reaper,Big Scarr
166,Living In History,Jackboy
167,Rora,Reekado Banks
168,High Supremacy Riddim,"Various Artiste (Tommy Lee Sparta, Teejay, Jahvinci, Shatta Wale & More)"
169,Amazing Grace,MEDIKAL
170,One and Only,Sheff G
171,Yabasi,Basketmouth
172,Built For Whatever,Tee Grizzley
173,Kut Da Fan On,HOTBOII
174,Seed,Gyakie
175,Cray Cray,Crayon
176,Kpanlogo,Darkovibes
