Position,album,artist
1,UY Scuti,Olamide
2,High Tension 2.0,Dangbana Republik & Bella Shmurda
3,High Tension EP,Bella Shmurda
4,Somewhere Between Beauty & Magic,Joeboy
5,WONDALAND,Teni
6,APOLLO,Fireboy DML
7,Made in Lagos,Wizkid
8,A True Champion,Rexxie
9,Twice As Tall,Burna Boy
10,What Have We Done,Omah Lay
11,Carpe Diem,Olamide
12,A Better Time,Davido
13,Rema Compilation,Rema
14,THE GOAT,Polo G
15,Get Layd,Omah Lay
16,"Laughter, Tears & Goosebumps",Fireboy DML
17,LIGHT (The EP),MohBad
18,Please Excuse Me for Being Antisocial,Roddy Ricch
19,Sex Over Love,Blaqbonez
20,High Off Life,Future
21,Rum & Boogie,Peruzzi
22,Chrome Eccentric Ep,Zinoleesky
23,LV N ATTN,Lojay & Sarz
24,Afro Pop Vol. 1,Adekunle Gold
25,Man Of Galilee,Judikay
26,Gratitude,Timaya
27,Welcome to O'Block,King Von
28,Simisola,Simi
29,The Golden Boy,KiDi
30,Life of Betrayal 2x,Yungeen Ace
31,Boo of the Booless,Chiké
32,TOP PRIZE,ALKALINE
33,I'll Say It For You,Dax
34,Razor,Cheque
35,Twelve A.M,Crayon
36,Off The Yak,Young M.A
37,Love & Light,Joeboy
38,Cultural Praise,Kcee & Okwesili Eze Group
39,For Broken Ears,Tems
40,King Of Love,Kizz Daniel
41,Superstar,Wizkid
42,Simisola (Deluxe),Simi
43,Shottaz 4Eva,MO3
44,Top,YoungBoy Never Broke Again
45,Hot Pink,Doja Cat
46,Soundgod Fest Vol.1,Runtown
47,NEW ERA,Kiss Daniel
48,Boyfriend,CKay
49,The Cross: My Gaze,Mercy Chinwo
50,Culture,Migos
51,Goat Talk 3,Boosie Badazz
52,...Shall We Begin...,Laycon
53,A Good Time,Davido
54,Shiesty Season,Pooh Shiesty
55,Three,Patoranking
56,Billionaire,Teni
57,Omo Charlie Champagne Vol1,Simi
58,Herstory in the Making,Young M.A
59,Lil Durk Presents: Loyal Bros,Only The Family
60,Twice As Tall,Burna Boy
61,SAVAGE MODE II,21 Savage & Metro Boomin
62,7,Lil Nas X
63,Wild West,Central Cee
64,Bad Commando,Rema
65,OXYGENE,Oxlade
66,TattleTales,6ix9ine
67,SATISFIED,Mercy Chinwo
68,TIME,Yaw Tog
69,Hakuna Matata,Dotman
70,Pluto x Baby Pluto,Future & Lil Uzi Vert
71,Happy Birthday Kodak,Kodak Black
72,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna"
73,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune
74,Chulo Vibes,Timaya
75,Haitian Boy Kodak,Kodak Black
76,Shiesty Season - Spring Deluxe,Pooh Shiesty
77,I Love Girls With Trobul,Sarz X WurlD
78,Alagbe,Qdot
79,Deal with It,Phyno
80,The Message,Minister GUC
81,Masta Groove,Masterkraft
82,Trap Symphony EP,Roddy Ricch
83,So Much Fun,Young Thug
84,Hoodie SZN,A Boogie Wit Da Hoodie
85,Something Else,Mr Eazi
86,Know You,Ladipoe
87,SoundGod Fest Reloaded,Runtown
88,LOL (Lord of Lamba),Naira Marley
89,T R A P S O U L (Deluxe),Bryson Tiller
90,What Have We Done,Omah Lay
91,PINK PLANET,Pink Sweat$
92,Realms,Wande Coal
93,Until Death Call My Name (Reloaded),YoungBoy Never Broke Again
94,Levon James,King Von
95,The Palmwine Express,Show Dem Camp
96,Good News,Megan Thee Stallion
97,S.C.A.M,G4 Boyz
98,ZaZa Vibes,L.A.X
99,On God II,Big Yavo
100,Clone Wars Vol. 5 - The Algorhythm,Show Dem Camp
101,Off The Record,Reekado Banks
102,Dance with You,"Camidoh, Kwesi Arthur"
103,USEE4YOURSELF,IDK
104,The Prince I Became,Ric Hassani
105,Rema Freestyle EP,Rema
106,Viral Infection 1.0,Ayanfe Viral
107,"Grandson, Vol. 1",King Von
108,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert
109,Slime Language 2,"Young Stoner Life, Young Thug & Gunna"
110,Big Grim Reaper,Big Scarr
111,L.O.V.E. (Deluxe),Luh Kel
112,Afro Streets,Rexxie
113,Mixed Emotions,Luh Kel
114,Nobody Safe,Rich The Kid & YoungBoy Never Broke Again
115,Honorable,Hotkid
116,PTSD,G Herbo
117,Jackboy,Jackboy
118,Afrodisíaco,Rauw Alejandro
119,Dum and Dummer 2,Young Dolph & Key Glock
120,Nicotine,Trevor Daniel
121,Homesick,Trevor Daniel
122,The Beauty of Becoming,Rotimi
123,Seed,Gyakie
124,Greatest Lord,SINACH
125,Type Beats| Rap|Afro-Pop|RnB|Trap/HipHop|Trapsoul 2020 instrumentals,Ryzy.A  Beats
126,The Idea Of Her,Ali Gatie
127,YOU,Ali Gatie
128,L.O.V.E.,Luh Kel
129,Taste EP,Nandy
130,Ice Daddy,Gucci Mane
131,Trench Baby,Lil Zay Osama
132,Roots,NSG
133,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert
134,CITIZEN OF THE WORLD,King Perryy
135,Tropical Depression Riddim,"VARIOUS ARTISTE (KRANIUM, TEEJAY, SHATTA WALE, JAHMEIL & MORE)"
136,Yabasi,Basketmouth
137,Too Late Too Lit,KDDO
138,Live From Nkrumah From Vol II: Home Run,Kwesi Arthur
139,Solid Focus Riddim,"Popcaan, Zamunda, Furnace"
140,My Letter To You Riddim,Various Artists
141,RETURN OF OKOMFO ANOKYE,Jay Bahd
142,PERFECT PICTURE,Dremo
143,Wildboy,Calboy
144,Building Bridges,Smallgod
145,Table For Two,Korede Bello
146,Only The Generals Part II,Kevin Gates
147,Kpanlogo,Darkovibes
148,Space and Time,Justine Skye
149,The Prodigy,Skillibeng
150,The Mayor of Lagos,Mayorkun
151,Living In History,Jackboy
152,Anloga Junction,Stonebwoy
153,!,Trippie Redd
154,BIG DEAL,FN DaDealer & Young Stoner Life
155,Drip Or Drown 2,Gunna
156,Love Scars: The 5 Stages Of Emotions (Deluxe),Yung Bleu
157,Amazing Grace,MEDIKAL
158,RESTLESS II,Simi
159,The Backend Child,NoCap
160,Misunderstood,JayDaYoungan
161,WUNNA,Gunna
162,Future Hndrxx Presents: The WIZRD,Future
163,The Prodigal,Mr. P
164,Black Love,Sarkodie
165,Legendary,Tyga
166,Hip Hop|Trap|Rap Instrumentals Certified 2020 TYPE BEATS,Ryzy.A  Beats
167,Mainland To Island,Oladips x Zlatan
168,Aje (The Mixtape),Jaywon
169,High Supremacy Riddim,"Various Artiste (Tommy Lee Sparta, Teejay, Jahvinci, Shatta Wale & More)"
170,Trap Symphony EP,Burna Boy
171,With Love 2,Phora
172,Artist 2.0,A Boogie Wit da Hoodie
173,We All Shine,YNW Melly
