Position,album,artist
1,19 & Dangerous,Ayra Starr
2,High Tension 2.0,Dangbana Republik & Bella Shmurda
3,UY Scuti,Olamide
4,APOLLO,Fireboy DML
5,High Tension EP,Bella Shmurda
6,WONDALAND,Teni
7,What Have We Done,Omah Lay
8,Somewhere Between Beauty & Magic,Joeboy
9,Rema Compilation,Rema
10,Twice As Tall,Burna Boy
11,Carpe Diem,Olamide
12,Before We Fall Asleep,Johnny Drille
13,THE GOAT,Polo G
14,Nothing To Prove,Victor AD
15,Get Layd,Omah Lay
16,"Laughter, Tears & Goosebumps",Fireboy DML
17,Zero Panic,Balloranking
18,Please Excuse Me for Being Antisocial,Roddy Ricch
19,LIGHT (The EP),MohBad
20,Eclipse,Troniq Music & Oxlade
21,A True Champion,Rexxie
22,Chrome Eccentric Ep,Zinoleesky
23,High Off Life,Future
24,NEW ERA,Kiss Daniel
25,Afro Pop Vol. 1,Adekunle Gold
26,No Pressure,Sarkodie
27,King Of Love,Kizz Daniel
28,Rum & Boogie,Peruzzi
29,Simisola,Simi
30,Welcome to O'Block,King Von
31,Man Of Galilee,Judikay
32,Love & Light,Joeboy
33,Gratitude,Timaya
34,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers
35,Superstar,Wizkid
36,Sex Over Love,Blaqbonez
37,The Golden Boy,KiDi
38,I'll Say It For You,Dax
39,Boyfriend,CKay
40,TattleTales,6ix9ine
41,Razor,Cheque
42,Shottaz 4Eva (Deluxe),MO3
43,For Broken Ears,Tems
44,LV N ATTN,Lojay & Sarz
45,Boo of the Booless,Chiké
46,The Cross: My Gaze,Mercy Chinwo
47,Bad Commando,Rema
48,Shiesty Season,Pooh Shiesty
49,Off The Yak,Young M.A
50,Soundgod Fest Vol.1,Runtown
51,Shottaz 4Eva,MO3
52,Life of Betrayal 2x,Yungeen Ace
53,Top,YoungBoy Never Broke Again
54,Simisola (Deluxe),Simi
55,Cultural Praise,Kcee & Okwesili Eze Group
56,Water & Garri,Tiwa Savage
57,SAVAGE MODE II,21 Savage & Metro Boomin
58,Hot Pink,Doja Cat
59,Three,Patoranking
60,7,Lil Nas X
61,TOP PRIZE,ALKALINE
62,Levon James,King Von
63,SATISFIED,Mercy Chinwo
64,Omo Charlie Champagne Vol1,Simi
65,The Message,Minister GUC
66,All or Nothing,Rotimi
67,Twice As Tall,Burna Boy
68,Culture,Migos
69,Just A Matter of Slime,YNW Melly
70,Dead roses  chronicles2,Corizo
71,Billionaire,Teni
72,All That Matters,Ayanfe
73,Twelve A.M,Crayon
74,Hoodie SZN,A Boogie Wit Da Hoodie
75,OXYGENE,Oxlade
76,i hope you're very unhappy without me,María Isabel
77,Haitian Boy Kodak,Kodak Black
78,So Much Fun,Young Thug
79,Queendoncom,Yemi Alade
80,Hakuna Matata,Dotman
81,Deal with It,Phyno
82,Herstory in the Making,Young M.A
83,I Love Girls With Trobul,Sarz X WurlD
84,Wild West,Central Cee
85,New Season,Chidinma
86,Lil Durk Presents: Loyal Bros,Only The Family
87,Hate Love,Ann Marie
88,Shiesty Season - Spring Deluxe,Pooh Shiesty
89,Moon Boy,Yung Bleu
90,Chulo Vibes,Timaya
91,Rudykillus,Rudeboy
92,Trap Symphony EP,Roddy Ricch
93,ZaZa Vibes,L.A.X
94,Happy Birthday Kodak,Kodak Black
95,What Have We Done,Omah Lay
96,On God II,Big Yavo
97,SoundGod Fest Reloaded,Runtown
98,PTSD,G Herbo
99,Pluto x Baby Pluto,Future & Lil Uzi Vert
100,Alagbe,Qdot
101,Good News,Megan Thee Stallion
102,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune
103,Viral Infection 1.0,Ayanfe Viral
104,Jackboy 2,Jackboy
105,Realms,Wande Coal
106,The Prince I Became,Ric Hassani
107,The Backend Child,NoCap
108,TOP MEMBA,Kida Kudz
109,Nobody Safe,Rich The Kid & YoungBoy Never Broke Again
110,...Shall We Begin...,Laycon
111,Rema Freestyle EP,Rema
112,Appetite For Destruction EP,Kofi Jamar
113,TIME,Yaw Tog
114,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna"
115,LOL (Lord of Lamba),Naira Marley
116,Shopla,Jaido P
117,Know You,Ladipoe
118,T R A P S O U L (Deluxe),Bryson Tiller
119,The Palmwine Express,Show Dem Camp
120,Mixed Emotions,Luh Kel
121,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert
122,L.O.V.E. (Deluxe),Luh Kel
123,L.O.V.E.,Luh Kel
124,The Beauty of Becoming,Rotimi
125,Masta Groove,Masterkraft
126,Something Else,Mr Eazi
127,Dark Times,Victony
128,The Mayor of Lagos,Mayorkun
129,High Supremacy Riddim,"Various Artiste (Tommy Lee Sparta, Teejay, Jahvinci, Shatta Wale & More)"
130,New Light,Eric Bellinger
131,Redemption song,Corizo
132,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert
133,Jackboy,Jackboy
134,38 Baby 2,YoungBoy Never Broke Again
135,S.C.A.M,G4 Boyz
136,"Grandson, Vol. 1",King Von
137,Roots,NSG
138,Top Shotta,NLE Choppa
139,The Prodigal,Mr. P
140,Tropical Depression Riddim,"VARIOUS ARTISTE (KRANIUM, TEEJAY, SHATTA WALE, JAHMEIL & MORE)"
141,Yabasi,Basketmouth
142,Itheep,Moelogo
143,Solid Focus Riddim,"Popcaan, Zamunda, Furnace"
144,PINK PLANET,Pink Sweat$
145,Trap Symphony EP,Burna Boy
146,PAPER ROUTE iLLUMINATi,Young Dolph & Paper Route EMPIRE
147,We All Shine,YNW Melly
148,WUNNA,Gunna
149,Trench Baby,Lil Zay Osama
150,Greatest Lord,SINACH
151,Seed,Gyakie
152,Amazing Grace,MEDIKAL
153,Clone Wars Vol. 5 - The Algorhythm,Show Dem Camp
154,Beyond Bulletproof,Mozzy
155,Billionaire Sheikh Riddim,"Teejay, Shatta Wale, Beenie Man, Demarco & More"
156,RESTLESS II,Simi
157,Type Beats| Rap|Afro-Pop|RnB|Trap/HipHop|Trapsoul 2020 instrumentals,Ryzy.A  Beats
158,Heat Of The Moment,Tink
159,Live From Nkrumah From Vol II: Home Run,Kwesi Arthur
160,My Letter To You Riddim,Various Artists
161,Only The Generals Part II,Kevin Gates
162,Euphoria,PsychoYP
163,For You,Vedo
164,Dum and Dummer 2,Young Dolph & Key Glock
165,6locc 6a6y,Lil Loaded
166,One In A Million,Aaliyah
167,Honorable,Hotkid
168,PERFECT PICTURE,Dremo
169,If Summer Happened,Laime
170,Kut Da Fan On,HOTBOII
171,Artist 2.0,A Boogie Wit da Hoodie
172,Misunderstood,JayDaYoungan
173,Cray Cray,Crayon
174,Big Grim Reaper,Big Scarr
175,!,Trippie Redd
176,Trench Baby (Deluxe Edition),Lil Zay Osama
177,Wish Me Well 3,YFN Lucci
178,Lost Child,NUSKI2SQUAD
