Position,album,artist
1,UY Scuti,Olamide
2,Life of Betrayal 2x,Yungeen Ace
3,A True Champion,Rexxie
4,Somewhere Between Beauty & Magic,Joeboy
5,High Tension EP,Bella Shmurda
6,APOLLO,Fireboy DML
7,WONDALAND,Teni
8,Carpe Diem,Olamide
9,Made in Lagos,Wizkid
10,Twice As Tall,Burna Boy
11,Rema Compilation,Rema
12,What Have We Done,Omah Lay
13,THE GOAT,Polo G
14,"Laughter, Tears & Goosebumps",Fireboy DML
15,A Better Time,Davido
16,Just Cause Y'all Waited 2 (Deluxe),Lil Durk
17,Just Cause Y’all Waited 2,Lil Durk
18,Sex Over Love,Blaqbonez
19,Get Layd,Omah Lay
20,Rum & Boogie,Peruzzi
21,Please Excuse Me for Being Antisocial,Roddy Ricch
22,SoulFly,Rod Wave
23,Chrome Eccentric Ep,Zinoleesky
24,The Golden Boy,KiDi
25,Gratitude,Timaya
26,Man Of Galilee,Judikay
27,Masta Groove,Masterkraft
28,LIGHT (The EP),MohBad
29,High Off Life,Future
30,Simisola,Simi
31,Welcome to O'Block,King Von
32,Boyfriend,CKay
33,Afro Pop Vol. 1,Adekunle Gold
34,Twelve A.M,Crayon
35,I'll Say It For You,Dax
36,TOP PRIZE,ALKALINE
37,LV N ATTN,Lojay & Sarz
38,Love & Light,Joeboy
39,Boo of the Booless,Chiké
40,Shottaz 4Eva,MO3
41,NEW ERA,Kiss Daniel
42,Off The Yak,Young M.A
43,Razor,Cheque
44,For Broken Ears,Tems
45,Simisola (Deluxe),Simi
46,Top,YoungBoy Never Broke Again
47,...Shall We Begin...,Laycon
48,Superstar,Wizkid
49,Shiesty Season,Pooh Shiesty
50,King Of Love,Kizz Daniel
51,Bad Commando,Rema
52,Culture,Migos
53,A Good Time,Davido
54,Three,Patoranking
55,Omo Charlie Champagne Vol1,Simi
56,Hot Pink,Doja Cat
57,My Letter To You Riddim,Various Artists
58,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna"
59,Pray 4 Love,Rod Wave
60,Cultural Praise,Kcee & Okwesili Eze Group
61,Haitian Boy Kodak,Kodak Black
62,SAVAGE MODE II,21 Savage & Metro Boomin
63,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune
64,Soundgod Fest Vol.1,Runtown
65,The Message,Minister GUC
66,Chulo Vibes,Timaya
67,Just Cause Y'all Waited,Lil Durk
68,Ghetto Gospel,Rod Wave
69,TattleTales,6ix9ine
70,Herstory in the Making,Young M.A
71,The Cross: My Gaze,Mercy Chinwo
72,Happy Birthday Kodak,Kodak Black
73,Billionaire,Teni
74,Know You,Ladipoe
75,TIME,Yaw Tog
76,Lil Durk Presents: Loyal Bros,Only The Family
77,Deal with It,Phyno
78,OXYGENE,Oxlade
79,Love Songs 4 The Streets 2,Lil Durk
80,On God II,Big Yavo
81,Twice As Tall,Burna Boy
82,Wild West,Central Cee
83,Something Else,Mr Eazi
