Position,song,artist
1,Pull Up,Gabzy
2,Let U Down (feat. CIll),Sigag Lauren
3,PEAKING,Tay Iwar
4,Company,Twiss Tosin & Zen Univrse
5,Essence (feat. Tems),Wizkid
6,Damages,Tems
7,Hot Star,Chrystel
8,Soundgasm,Rema
9,Somebody Else,Rebecca Winter
10,Dubai,Skaa
11,Non Stop,Jody
12,Tired,Shirazee
13,"KURONBE (feat. Zlatan Ibile, Ice Prince & PrettyBoyDO)",Straffitti
14,Infinity (feat. Omah Lay),Olamide
15,Queen Bee,Black Lavender
16,Don't Fold (feat. BRYAN THE MENSAH),Delis
17,FANCY,Amaarae
18,BBC,Blaqbonez
19,Focused,PsychoYP & Azanti
20,EVERYWHERE (feat. Buju),Straffitti featuring Buju
21,Hulabalu,MOJO
22,Shuga Rush,Odunsi (The Engine)
23,Over You (feat. Odunsi & Santi),Joey B
24,"KURONBE (BONUS TRACK) (feat. Zlatan Ibile, Iceprince & PrettyboyDO)",STRAFFITTI
25,Bomo,Adey
26,Trouble (feat. Tems),DRB LasGidi
27,All My Ladies,WANI
28,SAUS (See As U Set),Chillz x TMXO
29,Lenu (Remix) (feat. Burna Boy),Buju
30,Space,Whoisakin
31,Go Outside (feat. Mr Eazi),Nonso Amadi
32,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
33,Starry Night (EDM Remix) (feat. Cryomatic),April Maey
34,Fire (Wet Kitty),Trishawnary
35,Catch A Vibe,Karun and MOMBRU
36,Celebration,Joeboy
37,Ringtone,Stackalot
38,Godly,Omah Lay
39,4Life (feat. Twitch 4EVA),Skillz 8Figure
40,Girlfriend (feat. Naya Akanji),SirBastien
41,Rain Or Shine (feat. Buju),Zarion Uti
42,Cocaine,Daiverse
43,Sweet Cruise,OG Zino
44,Kiss Me Like You Miss Me,CKay
45,Follow,H.U.E
46,Saviour,P.Ush
47,Diamonds (feat. Mulla Stackz),Rebecca Winter
48,"Santa Flow (feat. L.K, Tena Tenpo, Cubix & Miju)","Chop Life Crew featuring L.K, Tena Tenpo, Cubix and Miju"
49,Man Of My Word,Noir
50,Phone,Dwillsharmony
51,Like Dat (feat. PsychoYP),Skillz 8Figure
52,Can't Complain (feat. Fasina),Nova
53,Bounce,Rema
54,Longé,Bryann
55,Guala (feat. Maison 2500 & New World Ray),Teezee
56,Right Back (feat. Buju),Skaa
57,Fight It2,Mich Straaw
58,"Self Luv (Remix) (feat. Blaqbonez, Drizilik & Enam)",Skillz 8Figure
59,Too Many Women,"Ajebutter22, BOJ, Falz"
60,God I,LT
61,Confirm (feat. The 4th),Notfemii
62,Lemonade,Ria sean
63,Pempe,Seyi Shay and Yemi Alade
64,Foreign (feat. Trigga the 24),ameen
65,Chanel,Ceeboi
66,Takuita So,Enzo Ishall
67,Smile For You (feat. Oxlade),Mizzle featuring Oxlade
68,Greenlight,Hamzil
69,Narcissus Is Dead,Suté Iwar
70,Fast Lane,Lavaud
71,Seré,Walewest feat. Wura
72,Billie Jean feat. Bryan The Mensah,Dede Speaks
73,Medicine,Jaywillz
74,Only You,take1 & Muku Fresh
75,ManDown,BoyCamilo
76,Beautifully,Fave
77,4 You,Yung D3mz
78,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz featuring Bella Shmurda
79,Cold Outside,July
80,Swayy (feat. Tay Iwar),Suté Iwar featuring Tay Iwar
81,Moscow,Jody
82,Movement,Lekside Westside
83,Numbers Don't Lie (feat. Ayo Jay),chuXchu featuring Ayo Jay
84,Trouble (feat. Famous Bobson),DAP The Contract
85,We Up (feat. Phaemous),Zilla Oaks featuring Phaemous
86,Lagos Bad Girls,Bils
87,Strangers or Friends,Atee
88,Needing You,Big Ozed
89,Down Low,Krosszn
90,Ka$h App,"Beezyx feat. denzl, Kiienka, Begho, Bolaryn"
91,Nobody Else,Ugo Klassic
92,CHANGE,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones"
93,What is this love,July
94,GAMBLE,Kholi
95,DUPĖ,Azekel
96,Lowo (feat. Zarion Uti & Chordratic),Chuks Profound featuring Zarion Uti and Chordratic
97,Nobody,Pzeefire
98,Permission,Damosh
99,Confident,Savage X Buju
100,I Miss You,Joda Kgosi
101,Rise Of The Underdogs 2 (feat. Tomi Thomas),Show Dem Camp featuring Tomi Thomas
102,Paradise,4Runna
103,HUSTLER,Marzi
104,Dark Twisted Fantasy,T'neeya
105,LUV HRTS (feat. Odunsi (The Engine)),Zamir featuring Odunsi (The Engine)
106,How Dare You,Joda Kgosi
107,Pull Up,Don Mappy
108,Where (Has the Time Gone),Bey T
109,Wreckless Tactics,TRiPPY TRiPPY
110,Cakes (feat. PatricKxxLee & KashCPT),Straffitti featuring PatricKxxLee and KashCPT
