rank,song,artist,R1,R2,RT
1,Pull Up,Gabzy,1,1,1.0
2,Let U Down (feat. CIll),Sigag Lauren,2,2,2.0
3,PEAKING,Tay Iwar,3,3,3.0
4,Company,Twiss Tosin & Zen Univrse,4,4,4.0
5,Essence (feat. Tems),Wizkid,5,5,5.0
6,Damages,Tems,6,6,6.0
7,Hot Star,Chrystel,7,7,7.0
8,Soundgasm,Rema,8,8,8.0
9,Somebody Else,Rebecca Winter,9,9,9.0
10,Dubai,Skaa,10,10,10.0
11,Non Stop,Jody,11,11,11.0
12,Tired,Shirazee,12,12,12.0
13,"KURONBE (feat. Zlatan Ibile, Ice Prince & PrettyBoyDO)",Straffitti,13,13,13.0
14,Infinity (feat. Omah Lay),Olamide,14,14,14.0
15,Queen Bee,Black Lavender,15,15,15.0
16,Don't Fold (feat. BRYAN THE MENSAH),Delis,16,16,16.0
17,FANCY,Amaarae,17,17,17.0
18,BBC,Blaqbonez,18,18,18.0
19,Focused,PsychoYP & Azanti,19,19,19.0
20,EVERYWHERE (feat. Buju),Straffitti featuring Buju,20,20,20.0
21,Hulabalu,MOJO,21,21,21.0
22,Shuga Rush,Odunsi (The Engine),22,22,22.0
23,Over You (feat. Odunsi & Santi),Joey B,23,23,23.0
24,"KURONBE (BONUS TRACK) (feat. Zlatan Ibile, Iceprince & PrettyboyDO)",STRAFFITTI,24,24,24.0
25,Bomo,Adey,25,25,25.0
26,Trouble (feat. Tems),DRB LasGidi,26,26,26.0
27,All My Ladies,WANI,27,27,27.0
28,SAUS (See As U Set),Chillz x TMXO,28,28,28.0
29,Lenu (Remix) (feat. Burna Boy),Buju,29,29,29.0
30,Space,Whoisakin,30,30,30.0
31,Go Outside (feat. Mr Eazi),Nonso Amadi,31,31,31.0
32,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,32,32,32.0
33,Starry Night (EDM Remix) (feat. Cryomatic),April Maey,33,33,33.0
34,Fire (Wet Kitty),Trishawnary,34,34,34.0
35,Catch A Vibe,Karun and MOMBRU,35,35,35.0
36,Celebration,Joeboy,36,36,36.0
37,Ringtone,Stackalot,37,37,37.0
38,Godly,Omah Lay,38,38,38.0
39,4Life (feat. Twitch 4EVA),Skillz 8Figure,39,39,39.0
40,Girlfriend (feat. Naya Akanji),SirBastien,40,40,40.0
41,Rain Or Shine (feat. Buju),Zarion Uti,41,41,41.0
42,Cocaine,Daiverse,42,42,42.0
43,Sweet Cruise,OG Zino,43,43,43.0
44,Kiss Me Like You Miss Me,CKay,44,44,44.0
45,Follow,H.U.E,45,45,45.0
46,Saviour,P.Ush,46,46,46.0
47,Diamonds (feat. Mulla Stackz),Rebecca Winter,47,47,47.0
48,"Santa Flow (feat. L.K, Tena Tenpo, Cubix & Miju)","Chop Life Crew featuring L.K, Tena Tenpo, Cubix and Miju",48,48,48.0
49,Man Of My Word,Noir,49,49,49.0
50,Phone,Dwillsharmony,50,50,50.0
51,Like Dat (feat. PsychoYP),Skillz 8Figure,51,51,51.0
52,Can't Complain (feat. Fasina),Nova,52,52,52.0
53,Bounce,Rema,53,53,53.0
54,Longé,Bryann,54,54,54.0
55,Guala (feat. Maison 2500 & New World Ray),Teezee,55,55,55.0
56,Right Back (feat. Buju),Skaa,56,56,56.0
57,Fight It2,Mich Straaw,57,57,57.0
58,"Self Luv (Remix) (feat. Blaqbonez, Drizilik & Enam)",Skillz 8Figure,58,58,58.0
59,Too Many Women,"Ajebutter22, BOJ, Falz",59,59,59.0
60,God I,LT,60,60,60.0
61,Confirm (feat. The 4th),Notfemii,61,61,61.0
62,Lemonade,Ria sean,62,62,62.0
63,Pempe,Seyi Shay and Yemi Alade,63,63,63.0
64,Foreign (feat. Trigga the 24),ameen,64,64,64.0
65,Chanel,Ceeboi,65,65,65.0
66,Takuita So,Enzo Ishall,66,66,66.0
67,Smile For You (feat. Oxlade),Mizzle featuring Oxlade,67,67,67.0
68,Greenlight,Hamzil,68,68,68.0
69,Narcissus Is Dead,Suté Iwar,69,69,69.0
70,Fast Lane,Lavaud,70,70,70.0
71,Seré,Walewest feat. Wura,71,71,71.0
72,Billie Jean feat. Bryan The Mensah,Dede Speaks,72,72,72.0
73,Medicine,Jaywillz,73,73,73.0
74,Only You,take1 & Muku Fresh,74,74,74.0
75,ManDown,BoyCamilo,75,75,75.0
76,Beautifully,Fave,76,76,76.0
77,4 You,Yung D3mz,77,77,77.0
78,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz featuring Bella Shmurda,78,78,78.0
79,Cold Outside,July,79,79,79.0
80,Swayy (feat. Tay Iwar),Suté Iwar featuring Tay Iwar,80,80,80.0
81,Moscow,Jody,81,81,81.0
82,Movement,Lekside Westside,82,82,82.0
83,Numbers Don't Lie (feat. Ayo Jay),chuXchu featuring Ayo Jay,83,83,83.0
84,Trouble (feat. Famous Bobson),DAP The Contract,84,84,84.0
85,We Up (feat. Phaemous),Zilla Oaks featuring Phaemous,85,85,85.0
86,Lagos Bad Girls,Bils,86,86,86.0
87,Strangers or Friends,Atee,87,87,87.0
88,Needing You,Big Ozed,88,88,88.0
89,Down Low,Krosszn,89,89,89.0
90,Ka$h App,"Beezyx feat. denzl, Kiienka, Begho, Bolaryn",90,90,90.0
91,Nobody Else,Ugo Klassic,91,91,91.0
