Position,song,artist
1,Somebody’s Son (feat. Brandy) ,Tiwa Savage
2,Non Living Thing (feat. Oxlade) ,Sarkodie
3,Assalamu Alakaium   ,Gemini Major
4,Alari   ,Liya
5,Raha (feat. Nadia Mukami) ,Arrow Bwoy
6,Wonder (feat. Patoranking) ,Dremo
7,Who Talk (feat. Adekunle Gold & Ria Sean) ,Moelogo
8,Bloody Samaritan   ,Ayra Starr
9,All Mine Remix (feat. Buju) ,Kinsolo
10,Mercy   ,Falz
11,Rise Up   ,2Baba & Falz
12,Round 2 (feat. Giggs) ,Sarkodie
13,Professor  Peller (feat. Zlatan) ,Seyi Vibez
14,Rock   ,Olamide
15,Party Next Door   ,"Dangbana Republik, Bella Shmurda"
16,Testimony   ,Buju
17,First Sermon   ,Black Sherif
18,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth) ",Jay Bahd
19,Enjoyment   ,Yemi Alade
20,Soundgasm   ,Rema
21,Feeling (feat. Buju) ,LADIPOE
22,Music Messiah (feat. Wande Coal) ,DJ Neptune
23,Jennifer Remix (feat. Rayvanny) ,Guchi ft Rayvanny
24,Cut Soap   ,DJ Xclusive and Rulerboy
25,Touch It   ,KiDi
26,Yote Sawa   ,Nandy
27,Free Your Mind (feat. Jux & BlaqJerzee) ,BlaqJerzee
28,Praise   ,Fameye
29,Nimekuzoea   ,Nandy
30,All (feat. Davido) ,Rexxie featuring Davido
31,Tekiller   ,CDQ
32,All The Above   ,Show Dem Camp
33,Sere Remix   ,"Spinall, Fireboy DML and 6LACK"
34,CELEBRATE ME   ,Patoranking
35,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana"
36,"Ndombolo (feat. K2ga, Abdukiba & Tommy Flavour) ",Alikiba
37,Dorime (feat. Musette & Vector) ,Samklef
38,Work Fada (feat. Nas & Rich King) ,Tiwa Savage
39,Salute (feat. RudeBoy) ,Alikiba
40,Iphupho (feat. Kuhle) ,Jabzz Dimitri featuring Kuhle
41,New Couple   ,Nandy
42,I Miss You   ,Joda Kgosi
43,Fine Wine (feat. King Promise & Joeboy) ,R2Bees
44,Omo X 100 (feat. Olamide) ,Reminisce
45,Confident   ,Savage X Buju
46,Tales By Moonlight (feat. Amaarae) ,Tiwa Savage
47,KPK (Ko Por Ke)   ,Rexxie and MohBad
48,This Your Body   ,Skales and Davido
49,FOCUS DANCE BEAT (feat. HAGMAN & ABATI) ,AJIMOVOIX_DRUMS
50,Baby   ,Brainee
51,Jemeni   ,Aymos and Focalistic
52,In Those Eyes   ,Ogranya
53,Brown Skin   ,Masterkraft
54,Sokoma   ,"Blaq Jerzee, Marioo and Eddy Kenzo"
55,Right Here   ,"Walshy Fire, Terri, Cloud Beats"
56,Lemonade   ,Ria sean
57,GUPTA (feat. Lady Du & Mellow and Sleazy) ,Focalistic and Mr JazziQ
58,Table for Two   ,Bella Alubo
59,Yafun Yafun   ,Ajebo Hustlers
60,Sika Aba Fie   ,"Kweku Darlington, Yaw Tog, Kweku Flick"
61,Cash App (feat. Zlatan & lincoln) ,Bella Shmurda
62,Sizophelelaphi   ,Msaki and Oskido
63,Dance   ,Humblesmith
64,Times Two (X2) (feat. Buju) ,WANI
65,Popote (feat. Vernyuy Tina) ,Wini
66,Drug Test   ,Naira Marley
67,Lie   ,Kizz Daniel
68,Ogogoro   ,Yemi Alade
69,Alubarika (feat. Buju) ,Zlatan
70,BE MY LOVER   ,"Jizzle, Mr Eazi"
71,Filo (feat. Wande Coal) ,Kelly Anthony featuring Wande Coal
72,Ojuju   ,Troniq Music & Oxlade
73,Felicitation   ,"Dj Voyst, Joeboy"
74,Shameful   ,King OT
75,BROKE AGAIN (REMIX) (feat. Stonebwoy) ,Jizzle
76,Lakiriboto   ,Liya and Davido
77,Feel Good   ,Mohbad
78,+234 (Daily Paper)   ,PsychoYP
79,Ghetto Vigilante   ,"Uche B, Kwesi Arthur"
80,So Cold   ,"Bella Shmurda, Popcaan"
81,No More (feat. Ozbeazy) ,Looking for Avala
82,Ewele (feat. Dunnie & Focalistic) ,Gemini Major
83,in the light (feat. Ayra Starr) ,Johnny Drille featuring Ayra Starr
