Position,song,artist
1,Ride or Die   ,Joda
2,Petty (feat. Virtue) ,KIM of Diamonds
3,Yafun Yafun   ,Ajebo Hustlers
4,Yote Sawa   ,Nandy
5,My Jaber (Friday) (feat. Brizy Annechild) ,H_ART THE BAND featuring Brizy Annechild
6,Cut Soap   ,Fiokee & Raybekah
7,Yktv (feat. Lady Donli) ,Ilaye
8,Gonto   ,Ibejii
9,New Couple   ,Nandy
10,Somebody (feat. Phyno) ,Olamide
11,Touch It   ,KiDi
12,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana"
13,No Wahala   ,1da Banton
14,Nimekuzoea   ,Nandy
15,Lowkey   ,Xenia Manasseh
16,Catch A Vibe   ,Karun and MOMBRU
17,Cherry (feat. Xenia Manasseh) ,Mr Eazi
18,Hapo Tu (feat. Chris Kaiga) ,Nyashinski
19,Baridi (feat. Sanaipei Tande) ,Nviiri The Storyteller featuring Sanaipei Tande
20,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley) ",Lyta
21,DADA   ,Kobi Jonz
22,Falling For U   ,"Blaq Jerzee, Mr Eazi and Harmonize"
23,Jafafa   ,Chinko Ekun & Mohbad
24,My Baby   ,Di'Ja
25,LayLow   ,Amipatra
26,FALL IN LOVE   ,Willy Paul & Miss P
27,Closer   ,Diteh
28,Believe (feat. Sarkodie & Kwesi Arthur) ,Pappy Kojo featuring Sarkodie and Kwesi Arthur
29,Tonight (feat. Adina Thembi) ,Pappy Kojo featuring Adina Thembi
30,My Heart   ,Pappy Kojo and Kuami Eugene
31,Backup n Whyne   ,Miles Stunner
32,Kitenge   ,Nviiri The Storyteller
33,Niko Sawa (feat. Bien) ,Nviiri The Storyteller featuring Bien
34,Bembeleza   ,Nviiri The Storyteller
35,We Dont Know Feat. Ayisi (feat. Ayisi) ,E.L
36,Kunle   ,Ladé
37,Somebody Baby   ,Peruzzi & Davido
38,Jei Jei   ,Mr Leo
39,Shima   ,Tha Boy Myles
40,Stronger   ,Team Salut
41,Give   ,Magasco
42,Bygone   ,Skiibii
43,Chargie   ,Lykan Sensei
44,Right Here   ,"Walshy Fire, Terri, Cloud Beats"
45,Born Sinner (feat. Davido & Peruzzi) ,Mr Peak feat. Davido & Peruzzi
46,Good Thang   ,Chrystel
47,Girl From Ghana   ,The Great Eddy
48,I Like That   ,The Great Eddy
49,For Good   ,Eon Natty
50,E Choke   ,Nautyca
51,Permission   ,Damosh
52,Better Days   ,Bless Clymax ft. DTS
53,Alari   ,Liya
54,My Chargie (feat. Ahve) ,Bizzonthetrack
55,No More (feat. Ozbeazy) ,Looking for Avala
56,in the light (feat. Ayra Starr) ,Johnny Drille featuring Ayra Starr
