Position,song,artist
1,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade
2,Soundgasm   ,Rema
3,Pull Up   ,Gabzy
4,Let U Down (feat. CIll) ,Sigag Lauren
5,PEAKING   ,Tay Iwar
6,Beautifully   ,Fave
7,Confident   ,Savage X Buju
8,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp featuring Tomi Thomas
9,How Dare You   ,Joda Kgosi
10,GAMBLE   ,Kholi
11,Company   ,Twiss Tosin & Zen Univrse
12,LUV HRTS (feat. Odunsi (The Engine)) ,Zamir featuring Odunsi (The Engine)
13,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT
14,Wreckless Tactics   ,TRiPPY TRiPPY
15,Paradise   ,4Runna
16,I Miss You   ,Joda Kgosi
17,Dark Twisted Fantasy   ,T'neeya
18,Where (Has the Time Gone)   ,Bey T
19,Permission   ,Damosh
20,Hot Star   ,Chrystel
21,Dubai   ,Skaa
22,Non Stop   ,Jody
23,Tired   ,Shirazee
24,Queen Bee   ,Black Lavender
25,Don't Fold (feat. BRYAN THE MENSAH) ,Delis
26,FANCY   ,Amaarae
27,BBC   ,Blaqbonez
28,Focused   ,PsychoYP & Azanti
29,EVERYWHERE (feat. Buju) ,Straffitti featuring Buju
30,Over You (feat. Odunsi & Santi) ,Joey B
31,Bomo   ,Adey
32,Trouble (feat. Tems) ,DRB LasGidi
33,All My Ladies   ,WANI
34,SAUS (See As U Set)   ,Chillz x TMXO
35,Lenu (Remix)   ,Buju & Burna Boy
36,DUPĖ   ,Azekel
37,Space   ,Whoisakin
38,Go Outside (feat. Mr Eazi) ,Nonso Amadi
39,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay) ",DJ Tunez
40,Catch A Vibe   ,Karun and MOMBRU
41,Pull Up   ,Don Mappy
42,Celebration   ,Joeboy
43,Girlfriend (feat. Naya Akanji) ,SirBastien
44,Cocaine   ,Dai Verse
45,Diamonds (feat. Mulla Stackz) ,Rebecca Winter
46,"Santa Flow (feat. L.K, Tena Tenpo, Cubix & Miju) ","Chop Life Crew featuring L.K, Tena Tenpo, Cubix and Miju"
47,Man Of My Word   ,Noir
48,Like Dat (feat. PsychoYP) ,Skillz 8Figure
49,Can't Complain (feat. Fasina) ,Nova
50,Bounce   ,Rema
51,Longé   ,Bryann
52,Guala (feat. Maison 2500 & New World Ray) ,Teezee
53,Right Back (feat. Buju) ,Skaa
54,(Put Your Mind at Ease) Fight It2   ,Mich Straaw
55,"Self Luv (Remix) (feat. Blaqbonez, Drizilik & Enam) ",Skillz 8Figure
56,Too Many Women   ,"Ajebutter22, BOJ, Falz"
57,Lemonade   ,Ria sean
58,Chanel   ,Ceeboi
59,Greenlight   ,Hamzil
60,Narcissus Is Dead   ,Suté Iwar
61,Fast Lane   ,Lavaud
62,4 You   ,Yung D3mz
63,Only You   ,take1 & Muku Fresh
64,ManDown   ,BoyCamilo
65,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz featuring Bella Shmurda
66,Swayy (feat. Tay Iwar) ,Suté Iwar featuring Tay Iwar
67,Moscow   ,Jody
68,Movement   ,Lekside Westside
69,Numbers Don't Lie (feat. Ayo Jay) ,chuXchu featuring Ayo Jay
70,Trouble (feat. Famous Bobson) ,DAP The Contract
71,We Up (feat. Phaemous) ,Zilla Oaks featuring Phaemous
72,Lagos Bad Girls   ,Bils
73,Strangers or Friends   ,Atee
74,Needing You   ,Big Ozed
75,Down Low   ,Krosszn
76,Ka$h App   ,"Beezyx feat. denzl, Kiienka, Begho, Bolaryn"
77,Nobody Else   ,Ugo Klassic
78,CHANGE   ,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones"
79,What is this love   ,July
80,Lowo (feat. Zarion Uti & Chordratic) ,Chuks Profound featuring Zarion Uti and Chordratic
81,Nobody   ,Pzeefire
82,HUSTLER   ,Marzi
83,Fire For You   ,Prodbyvino feat. D1wav
84,Brag   ,DETO BLACK
85,Table for Two   ,Bella Alubo
86,Times Two (X2) (feat. Buju) ,WANI
87,Real   ,Tim Lyre
88,All Mine Remix (feat. Buju) ,Kinsolo
89,If Its On (feat. Boutross) ,Silverstone Barz
90,three5zero   ,DETO BLACK
91,MKD   ,Skillz 8Figure
92,True Love (feat. Kaey) ,Molazzi
93,Peace   ,Mannywellz and Tems
94,Money Medicine   ,Laime
95,My Chargie (feat. Ahve) ,Bizzonthetrack
