rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Lie,Kizz Daniel,1,1,1,1,1,1,1,1.0
2,Understand,Omah Lay,2,2,2,2,2,2,2,2.0
3,Drug Test,Naira Marley,3,3,3,4,4,4,5,3.4
4,Sinner,Adekunle Gold,4,4,4,3,3,3,3,3.6
5,Naira Marley,Zinoleesky,6,5,5,5,5,5,4,5.2
6,Feeling,LADIPOE,7,7,7,6,6,6,6,6.6
7,Ojuju,Oxlade,5,6,6,8,8,8,401,6.6
8,Outside,Buju,8,8,8,7,7,7,7,7.6
9,Rock,Olamide,9,9,9,9,9,9,9,9.0
10,Alubarika,Zlatan,10,11,11,11,11,11,13,10.8
11,Denge Pose,Lil Frosh,11,10,10,12,12,12,10,11.0
12,Peru,Fireboy DML,13,12,12,10,10,10,8,11.4
13,Yaba Buluku [Remix],Dj Tarico & Burna Boy,14,13,13,13,13,13,12,13.2
14,Essence,Wizkid,12,14,14,15,15,15,17,14.0
15,CELEBRATE ME,Patoranking,15,15,15,14,14,14,15,14.6
16,It Is What It Is,Adekunle Gold,16,16,16,17,17,17,18,16.4
17,Olofofo,Victor AD,19,18,18,19,19,19,19,18.6
18,Professor  Peller,Seyi Vibez,17,17,17,21,21,21,22,18.6
19,History,Cheque & Fireboy DML,18,20,20,20,20,20,21,19.6
20,COMING,Naira Marley,20,19,19,23,23,23,23,20.8
21,Ayewada,Barry Jhay,21,21,21,24,24,24,24,22.2
22,Testimony,Buju,22,22,22,25,25,25,25,23.2
23,Focus,Joeboy,23,24,24,26,26,26,26,24.6
24,Confident,Savage X Buju,24,23,23,27,27,27,27,24.8
25,Bloody Samaritan,Ayra Starr,34,30,30,18,18,18,11,26.0
26,Out There,"Dangbana Republik, Bella Shmurda",25,25,25,28,28,28,28,26.2
27,Are You Sure,Lyta,26,26,26,29,29,29,29,27.2
28,Far Away,"Dangbana Republik, Bella Shmurda",29,27,27,30,30,30,30,28.6
29,INJURE ME,Teni,28,28,28,31,31,31,31,29.2
30,Jailer,Olamide,30,31,31,32,32,32,33,31.2
31,Feel Good,Mohbad,70,29,29,16,16,16,14,32.0
32,Money,"Terri, Bella Shmurda, Mohbad",33,33,33,33,33,33,34,33.0
33,40 BTC,Rexxie featuring Seyi Vibez,32,32,32,35,35,35,35,33.2
34,Running (To You),Chiké,31,35,35,34,34,34,32,33.8
35,FOR YOU,Teni featuring Davido,35,36,36,36,36,36,36,35.8
36,Bling,Blaqbonez,36,37,37,37,37,37,38,36.8
37,Dorime,Teni,38,39,39,38,38,38,40,38.4
38,Wonder,Dremo,37,38,38,41,41,41,48,39.0
39,Sorry,MohBad,41,40,40,39,39,39,39,39.8
40,Need For Speed,Olamide,39,41,41,40,40,40,41,40.2
41,Ginger,Wizkid,42,42,42,42,42,42,43,42.0
42,Soldier Go,"Dangbana Republik, Bella Shmurda",43,43,43,43,43,43,44,43.0
43,Mercy,Falz,40,44,44,49,49,49,47,45.2
44,Julie,Olamide,45,46,46,45,45,45,45,45.4
45,Kilofeshe,Zinoleesky,44,45,45,47,47,47,50,45.6
46,Lako,"Dangbana Republik, Bella Shmurda",48,47,47,48,48,48,52,47.6
47,Triumphant,Olamide,49,49,49,46,46,46,46,47.8
48,Kilometre,Burna Boy,46,48,48,51,51,51,51,48.8
49,Pronto,Ajebo Hustlers & Omah Lay,50,50,50,50,50,50,49,50.0
50,Rumors,Lizzo,27,34,34,78,78,78,176,50.2
51,Godly,Omah Lay,58,57,57,44,44,44,42,52.0
52,90’S,Seyi Vibez,54,51,51,54,54,54,56,52.8
53,Call Me Baby,Cheque,51,53,53,55,55,55,55,53.4
54,Hallelu,Masterkraft,53,54,54,53,53,53,53,53.4
55,LICENSE,Vector,47,52,52,64,64,64,89,55.8
56,World (Alternate Cut),Bella Shmurda,59,56,56,57,57,57,58,57.0
57,Ke Star Remix,Focalistic & Davido ,56,59,59,58,58,58,57,58.0
58,Black,Victor AD,55,58,58,63,63,63,64,59.4
59,Infinity,Olamide,65,62,62,56,56,56,54,60.2
60,Bad Type,Seyi Vibez,62,60,60,60,60,60,60,60.4
61,PAMI,DJ Tunez,60,61,61,61,61,61,62,60.8
62,Colorado,Zugo,61,63,63,59,59,59,59,61.0
63,Felony,CKay,63,66,66,62,62,62,61,63.8
64,Bia,Phyno,66,64,64,67,67,67,69,65.6
65,Catalyst,Seyi Vibez,71,67,67,65,65,65,65,67.0
66,All,Rexxie featuring Davido,67,68,68,66,66,66,63,67.0
67,Anymore,Victor AD,64,65,65,72,72,72,76,67.6
68,Cash App,Bella Shmurda,72,69,69,68,68,68,66,69.2
69,Somebody Baby,Peruzzi & Davido,68,71,71,69,69,69,67,69.6
70,Too Correct,Crayon,69,72,72,70,70,70,70,70.6
71,Way Too Big,Burna Boy,73,73,73,71,71,71,68,72.2
72,Champion,"Dangbana Republik, Bella Shmurda",74,70,70,74,74,74,72,72.4
73,23,Burna Boy,77,75,75,73,73,73,71,74.6
74,Champion,Fireboy DML & D Smoke,75,77,77,76,76,76,74,76.2
75,Sho Mo Mi,Bella Shmurda,78,78,78,75,75,75,73,76.8
76,PonPon,Olamide,80,81,81,80,80,80,81,80.4
77,Omo Ologo,Lil Frosh featuring Zinoleesky,81,80,80,81,81,81,105,80.6
78,Koleyewon,Naira Marley,79,79,79,84,84,84,77,81.0
79,Don Dada,Timaya,86,83,83,79,79,79,80,82.0
80,Bad Influence,Omah Lay,84,84,84,83,83,83,79,83.6
