rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,UY Scuti,Olamide,1,1,1,1,1,1,1,1.0
2,High Tension 2.0,Dangbana Republik & Bella Shmurda,2,2,2,2,2,2,2,2.0
3,Somewhere Between Beauty & Magic,Joeboy,6,4,4,3,5,5,3,4.285714285714286
4,High Tension EP,Bella Shmurda,5,5,3,7,4,4,7,5.0
5,WONDALAND,Teni,8,7,5,4,3,3,6,5.142857142857143
6,APOLLO,Fireboy DML,7,6,6,6,6,6,4,5.857142857142857
7,A True Champion,Rexxie,4,3,8,9,7,7,5,6.142857142857143
8,Made in Lagos,Wizkid,3,8,7,5,8,8,10,7.0
9,Carpe Diem,Olamide,9,9,11,8,11,9,8,9.285714285714286
10,What Have We Done,Omah Lay,10,11,10,11,9,13,11,10.714285714285714
11,Twice As Tall,Burna Boy,12,12,9,10,14,12,12,11.571428571428571
12,Rema Compilation,Rema,11,10,13,13,12,14,14,12.428571428571429
13,A Better Time,Davido,14,13,12,14,10,10,15,12.571428571428571
14,THE GOAT,Polo G,13,15,14,12,13,11,13,13.0
15,"Laughter, Tears & Goosebumps",Fireboy DML,16,14,16,19,15,16,16,16.0
16,Get Layd,Omah Lay,15,16,15,16,16,15,19,16.0
17,LIGHT (The EP),MohBad,19,17,17,15,19,17,17,17.285714285714285
18,Please Excuse Me for Being Antisocial,Roddy Ricch,17,24,18,17,18,18,18,18.571428571428573
19,Sex Over Love,Blaqbonez,18,18,19,27,17,23,20,20.285714285714285
20,Chrome Eccentric Ep,Zinoleesky,21,19,22,18,23,19,26,21.142857142857142
21,High Off Life,Future,20,20,20,26,22,21,21,21.428571428571427
22,Rum & Boogie,Peruzzi,26,21,21,22,20,20,22,21.714285714285715
23,Man Of Galilee,Judikay,22,22,25,20,21,22,32,23.428571428571427
24,The Golden Boy,KiDi,24,27,29,21,25,26,25,25.285714285714285
25,Afro Pop Vol. 1,Adekunle Gold,27,25,24,23,28,25,27,25.571428571428573
26,Life of Betrayal 2x,Yungeen Ace,23,23,30,30,26,28,24,26.285714285714285
27,Gratitude,Timaya,25,26,26,24,24,31,31,26.714285714285715
28,LV N ATTN,Lojay & Sarz,28,28,23,29,27,24,28,26.714285714285715
29,Welcome to O'Block,King Von,29,32,27,32,29,29,29,29.571428571428573
30,Simisola,Simi,43,29,28,25,32,27,30,30.571428571428573
31,Love & Light,Joeboy,36,30,37,35,36,30,35,34.142857142857146
32,Boo of the Booless,Chiké,40,40,31,31,33,33,36,34.857142857142854
33,I'll Say It For You,Dax,31,35,33,37,34,39,38,35.285714285714285
34,TOP PRIZE,ALKALINE,37,38,32,34,30,36,42,35.57142857142857
35,Off The Yak,Young M.A,39,37,36,39,31,34,39,36.42857142857143
36,Boyfriend,CKay,30,36,48,33,37,35,40,37.0
