Position,song,artist
1,Feeling,LADIPOE
2,Rock,Olamide
3,Naira Marley,Zinoleesky
4,Outside,Buju
5,Need For Speed,Olamide
6,History,Cheque & Fireboy DML
7,COMING,Naira Marley
8,Jailer,Olamide
9,CELEBRATE ME,Patoranking
10,Confident,Savage X Buju
11,Julie,Olamide
12,Ayewada,Barry Jhay
13,Focus,Joeboy
14,Bling,Blaqbonez
15,World,"Dangbana Republik, Bella Shmurda"
16,It Is What It Is,Adekunle Gold
17,PonPon,Olamide
18,Somebody,Olamide
19,Korope,Lil Kesh
20,INJURE ME,Teni
21,Boi Boi,Rexxie featuring Teni
22,Yaba Buluku [Remix],Dj Tarico & Burna Boy
23,FOR YOU,Teni featuring Davido
24,Cup of Tea,Olamide
25,Essence,Wizkid
26,Olofofo,Victor AD
27,Are You Sure,Lyta
28,Kilometre,Burna Boy
29,Running (To You),ChikÃ©
30,Soundgasm,Rema
31,Money,"Terri, Bella Shmurda, Mohbad"
32,Omo X 100,Reminisce
33,Ke Star Remix,Focalistic & Davido
34,Triumphant,Olamide
35,90â€™S,Seyi Vibez
36,Too Correct,Crayon
37,Rush,Dangbana Republik X Bella Shmurda
38,Somebody Baby,Peruzzi & Davido
39,Hallelu,Masterkraft
40,All,Rexxie featuring Davido
41,Felony,CKay
42,Pronto,Ajebo Hustlers & Omah Lay
43,Ginger,Wizkid
44,World (Alternate Cut),Bella Shmurda
45,Kilofeshe,Zinoleesky
46,40 BTC,Rexxie featuring Seyi Vibez
47,Frenemies,Rexxie and Oxlade
48,Cho Cho,Zlatan
49,Godly,Omah Lay
50,Bad Type,Seyi Vibez
51,Infinity,Olamide
52,KPK (Ko Por Ke),Rexxie and MohBad
53,Catalyst,Seyi Vibez
54,Survive,Jaido P
55,Body (Remix),Tion Wayne x Russ Millions
56,Cash App,Bella Shmurda
57,Koleyewon,Naira Marley
58,Late At Night,Roddy Ricch
59,PEPE,L.A.X & Davido
60,Lonely,Joeboy
61,Ori,Barry Jhay
62,23,Burna Boy
63,Sho Mo Mi,Bella Shmurda
64,Champion,Fireboy DML & D Smoke
65,Don Dada,Timaya
66,Ginger Me (Intro),Bella Shmurda
67,High Way,DJ Kaywise & Phyno
68,The Best,Davido
69,PAMI,DJ Tunez
70,Way Too Big,Burna Boy
71,Picture Freestyle,Seyi Vibez
72,Door,Joeboy
73,Omnipotent,Bella Shmurda
74,Liquor,Bella Shmurda
75,Vision 2020,Bella Shmurda
76,KOLO,Ice Prince
77,Sorry,MohBad
78,Early Momo,Vector
79,Pay day,Seyi Vibez
80,Bad Influence,Omah Lay
81,Only You,Bella Shmurda
82,Upgrade,Bella Shmurda
83,Kogi,Jumabee
84,Colorado,Zugo
85,Ma Pariwo,Zinoleesky
86,Lenu (Remix),Buju
87,Chi Chi,Naira Marley
88,Muje,Barry Jhay
89,So Lovely,Buju
90,No Stress,WizKid
91,Southy Love,Peruzzi
92,Wasting Time,Brent Faiyaz
93,Real Life,Burna Boy
94,Holy Ground,Davido
95,God Sent,Seyi Vibez
96,Back2Back,Rexxie featuring Bella Shmurda
97,Fall for Me,Laycon
98,Smile,Wizkid
99,Amope,Bella Shmurda
100,Music Messiah,DJ Neptune
101,All Love,Lil Durk
102,Can't Relate,Omah Lay
103,Loading,Olamide
104,This Your Body,Skales and Davido
105,Damages,Tems
106,Door,Joeboy
107,Happiness,Davolee
108,FEM,Davido
109,Dangbana Orisa,Bella Shmurda
110,KAMBA,Terry Apala
111,Party Next Door,"Dangbana Republik, Bella Shmurda"
112,Ginger Me,Rema
113,Rest On Kashy,Anonymous Music
114,3 Headed Goat,Lil Durk
115,Currently,Kizz Daniel
116,Your Body,Mayorkun
117,If You No Love,ChikÃ©
118,Airplane Mode,Fireboy DML
119,Celebration,Joeboy
120,My Bebe,Omah Lay
121,If E Happen For Lagos,Runtown
122,Ponmo,Mohbad
123,At My Worst,Pink Sweat$
124,Fine Wine,R2Bees
125,Cultural Praise,Kcee & Okwesili Eze Group
126,Wonderful,Burna Boy
127,Tonongo,"Lojay, Sarz"
128,You,Omah Lay
129,Spiritual,Buju
130,Legends,Juice WRLD
131,Die Young,Roddy Ricch
132,Omo Ologo,Lil Frosh
133,Adura,Mohbad
134,Bad Habits,Ed Sheeran
135,The Box,Roddy Ricch
136,Level Up (Twice As Tall),Burna Boy
137,Green Light,Olamide
138,Zoom,Cheque
139,Project Dreams,Roddy Ricch
140,Activate,Stonebwoy
141,Symphony,Seyi Vibez
142,Egbon,Masterkraft
143,MOSLADO,Teni
144,I Will Survive,Diamond Jimma
145,My Crew,Kiiwii
146,Abule,Patoranking
147,Lo Lo,Omah Lay
148,LV N ATTN,"Lojay, Sarz"
149,Sere Remix,"Spinall, Fireboy DML and 6LACK"
150,Mandeman,Small Doctor
151,Know You,Ladipoe
152,Confession,Omah Lay
153,Woman,Rema
154,Life Is Good,Future
155,Happy Birthday,Simi feat. Adekunle Gold and Deja
156,Go Away,Fireboy DML
157,Hold Me Tight,Kcee
158,Ye Ye Ye,Omah Lay
159,Flex,Kizz Daniel
160,Ball Till We Fall,Kida Kudz featuring Bella Shmurda
161,Commitment Issues,Central Cee
162,HELL (interlude),corizo
163,So Crazy,Davido
164,Damn,Omah Lay
165,JO,Teni
166,Spell,Fireboy DML & Wande Coal
167,Prayer Request,Victor AD
168,Marlians Anthem,MohBad
169,Hood Scars 2,J.I the Prince of N.Y & Lil Tjay
170,Something Different,Adekunle Gold
171,What Type Of Dance,DJ Kaywise
172,Beamer (Bad Boys),Rema
173,Afar,Fireboy DML & Olamide
174,ELI,Fireboy DML
175,Damn,Omah Lay
176,Born to Win,Timaya
177,Jackpot,Crayon
178,dimension,jae5 ft skepta & rema
179,Be Something,Polo G
180,Bounce,Rema
181,If You No Love,ChikÃ©
182,High Fashion,Roddy Ricch
183,As E Dey Go,Naira Marley
184,Hello Brother,Omah Lay
185,AG Baby,Adekunle Gold
186,Whole Lotta Ice,BigWalkDog
187,Like I Do,Fireboy DML
188,Iron Man,Rema
189,Touch It,KiDi
