Position,song,artist
1,Feeling,LADIPOE
2,Rock,Olamide
3,Late At Night,Roddy Ricch
4,History,Cheque & Fireboy DML
5,COMING,Naira Marley
6,Ayewada,Barry Jhay
7,Money,"Terri, Bella Shmurda, Mohbad"
8,World,"Dangbana Republik, Bella Shmurda"
9,Focus,Joeboy
10,Guchi Jennifer,Guchi
11,It Is What It Is,Adekunle Gold
12,Kilometre,Burna Boy
13,INJURE ME,Teni
14,Bling,Blaqbonez
15,FOR YOU,Teni featuring Davido
16,Are You Sure,Lyta
17,Running (To You),ChikÃ©
18,Ke Star Remix,Focalistic & Davido
19,Outside,Buju
20,World (Alternate Cut),Bella Shmurda
21,Somebody Baby,Peruzzi & Davido
22,90â€™S,Seyi Vibez
23,Felony,CKay
24,Rush,Dangbana Republik X Bella Shmurda
25,Cho Cho,Zlatan
26,Pronto,Ajebo Hustlers & Omah Lay
27,Hallelu,Masterkraft
28,Flamerz Flow,Meek Mill
29,Olofofo,Victor AD
30,Essence,Wizkid
31,Too Correct,Crayon
32,Rotate (Freestyle),Mr Eazi
33,Triumphant,Olamide
34,Body (Remix),Tion Wayne x Russ Millions
35,FOCUS DANCE BEAT,AJIMOVOIX_DRUMS
36,Kilofeshe,Zinoleesky
37,Ginger,Wizkid
38,Godly,Omah Lay
39,Bad Type,Seyi Vibez
40,Infinity,Olamide
41,Koleyewon,Naira Marley
42,This Your Body,Skales and Davido
43,High Way,DJ Kaywise & Phyno
44,Cash App,Bella Shmurda
45,Catalyst,Seyi Vibez
46,Lonely,Joeboy
47,Music Messiah,DJ Neptune
48,Coachella,Sarkodie and Kwesi Arthur
49,Door,Joeboy
50,Ori,Barry Jhay
51,Don Dada,Timaya
52,CAN THEY HEAR US,Dua Lipa
53,KOLO,Ice Prince
54,The Best,Davido
55,23,Burna Boy
56,Sho Mo Mi,Bella Shmurda
57,KPK (Ko Por Ke),Rexxie and MohBad
58,Champion,Fireboy DML & D Smoke
59,Ginger Me (Intro),Bella Shmurda
60,Way Too Big,Burna Boy
61,Chi Chi,Naira Marley
62,PAMI,DJ Tunez
63,All My Life,M.I Abaga
64,ABAYA PALAVA,Tolibian
65,Early Momo,Vector
66,Picture Freestyle,Seyi Vibez
67,Southy Love,Peruzzi
68,Bad Influence,Omah Lay
69,Smile For You,Mizzle
70,Omnipotent,Bella Shmurda
71,Pay day,Seyi Vibez
72,Only You,Bella Shmurda
73,Sorry,MohBad
74,Liquor,Bella Shmurda
75,Nobody,KayBlinkz
76,Vision 2020,Bella Shmurda
77,Upgrade,Bella Shmurda
78,Muje,Barry Jhay
79,Happiness,Davolee
80,Ma Pariwo,Zinoleesky
81,Rest On Kashy,Anonymous Music
82,Can't Relate,Omah Lay
83,Colorado,Zugo
84,Holy Ground,Davido
85,Door,Joeboy
86,Your Body,Mayorkun
87,Ball Till We Fall,Kida Kudz
88,Currently,Kizz Daniel
89,Loading,Olamide
90,FEM,Davido
91,Real Life,Burna Boy
92,Damages,Tems
93,My Bebe,Omah Lay
94,Colorado,Jimmygid
95,At My Worst,Pink Sweat$
96,Celebration,Joeboy
97,If You No Love,ChikÃ©
98,Dangbana Orisa,Bella Shmurda
99,Amope,Bella Shmurda
100,No Stress,WizKid
