Position,song,artist
1,Rock,Olamide
2,Feeling (feat. Buju),LADIPOE
3,COMING (feat. Busiswa),Naira Marley
4,History,Cheque & Fireboy DML
5,World,"Dangbana Republik, Bella Shmurda"
6,Focus,Joeboy
7,World (Alternate Cut),Bella Shmurda
8,Kilometre,Burna Boy
9,It Is What It Is,Adekunle Gold
10,Outside,Buju
11,INJURE ME,Teni
12,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta
13,FOR YOU (feat. Davido),Teni featuring Davido
14,Running (To You) (feat. Simi),ChikÃ©
15,Olofofo,Victor AD
16,Ke Star Remix (feat. Virgo Deep),Focalistic & Davido
17,Bling (feat. Amaarae & Buju),Blaqbonez
18,Somebody Baby,Peruzzi & Davido
19,90â€™S,Seyi Vibez
20,Cho Cho (feat. Davido & Mayorkun),Zlatan
21,Felony,CKay
22,Rush,Dangbana Republik X Bella Shmurda
23,Too Correct (feat. Rema),Crayon
24,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
25,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne x Russ Millions
26,Essence (feat. Tems),Wizkid
27,Triumphant (feat. Bella Shmurda),Olamide
28,Bad Type,Seyi Vibez
29,Kilofeshe,Zinoleesky
30,Godly,Omah Lay
31,Ginger (feat. Burna Boy),Wizkid
32,Koleyewon,Naira Marley
33,High Way,DJ Kaywise & Phyno
34,Infinity (feat. Omah Lay),Olamide
35,Cash App (feat. Zlatan & lincoln),Bella Shmurda
36,Lonely,Joeboy
37,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz
38,Catalyst,Seyi Vibez
39,Don Dada,Timaya
40,Door (feat. Kwesi Arthur),Joeboy
41,23,Burna Boy
42,Ori,Barry Jhay
43,The Best (feat. Mayorkun),Davido
44,Sho Mo Mi,Bella Shmurda
45,"Cheers To 2021 Mix (feat. A Star, Bella Shmurda, Phyno, Patoranking, Mayorkun, Davido, zinoleesky, Olamide, BadboyTimz & Naira Marley)",DJ Kaywise
46,KPK (Ko Por Ke),Rexxie and MohBad
47,Way Too Big,Burna Boy
48,Chi Chi,Naira Marley
49,KOLO (feat. Oxlade),Ice Prince
50,Southy Love (feat. Fireboy DML),Peruzzi
51,Ginger Me (Intro),Bella Shmurda
52,Champion,Fireboy DML & D Smoke
53,ABAYA PALAVA,Tolibian
54,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
55,24 Hours (feat. Lil Durk),A Boogie Wit da Hoodie
56,Only You,Bella Shmurda
57,Beamer Body (feat. Davido),KDDO
58,Omnipotent,Bella Shmurda
59,Liquor,Bella Shmurda
60,Sorry,MohBad
61,Rest On Kashy (feat. Barry Jhay & Shakur),Anonymous Music
62,Pay day,Seyi Vibez
63,Bad Influence,Omah Lay
64,Vision 2020 (feat. Olamide),Bella Shmurda
65,Sere Remix,"Spinall, Fireboy DML and 6LACK"
66,Egbon (feat. Phyno),Masterkraft
67,Upgrade,Bella Shmurda
68,Happiness,Davolee
69,Door,Joeboy
70,Your Body,Mayorkun
71,Colorado (feat. Daiverse),Zugo
72,Early Momo (feat. GoodGirl LA),Vector
73,Ma Pariwo,Zinoleesky
74,Holy Ground (feat. Nicki Minaj),Davido
75,Muje,Barry Jhay
76,"Currently (feat. Olamide, Falz & LK Kuddy)",Kizz Daniel
77,Can't Relate,Omah Lay
78,Real Life (feat. Stormzy),Burna Boy
79,Damages,Tems
80,Loading (feat. Bad Boy Timz),Olamide
81,My Bebe,Omah Lay
82,Commitment Issues,Central Cee
83,Dangbana Orisa,Bella Shmurda
84,At My Worst (feat. Kehlani),Pink Sweat$
85,Bcos I no get money (feat. Anybody ?),whazzee
86,If You No Love,ChikÃ©
87,Celebration,Joeboy
88,Amope,Bella Shmurda
89,FEM,Davido
90,Ponmo (feat. Lil Kesh & Naira Marley),Mohbad
91,Fall for Me (feat. YKB),Laycon
92,Freaky,Hotkid
93,MOSLADO,Teni
94,Smile (feat. H.E.R.),Wizkid
95,Mandeman (feat. Davido),Small Doctor
96,Love,Davolee
97,Cultural Praise,Kcee & Okwesili Eze Group
98,Jackpot (feat. Bella Shmurda),Crayon
99,Nobody (feat. T-classic),KayBlinkz
100,Omo Ologo (feat. Zinoleesky),Lil Frosh
