,artist,song
0,Fireboy DML,Peru
1,Buju,Outside
2,Davido,La La ft. Ckay
3,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
4,LADIPOE,Feeling ft. Buju
5,DJ Neptune,Music Messiah ft. Wande Coal
6,L.A.X,PEPE ft. Davido
7,Eltee Skhillz,Emotion
8,Rexxie,KPK (Remix) ft. Sho Madjozi & MohBad
9,WizKid,Essence ft. Tems
10,Greatman Takit,Peteru (Peter)
11,Peruzzi,Somebody Baby ft. Davido
12,Teni,INJURE ME
13,Naira Marley,Coming ft. Busiswa
14,Timaya,Don Dada
15,Zlatan,Cho Cho ft. Davido & Mayorkun
16,Greatman Takit,Story
17,Seyi Shay,Pempe ft. Yemi Alade
18,Wizerd,Joro Kini Joro
19,Mr Eazi,Rotate (Freestyle)
20,KDDO,Holy Ghost Fire ft. The Cavemen
21,Young Jonn,Off You ft. KiDi
22,Joeboy,Show Me
23,Ruger,Bounce
24,Akuchi,Whyne
25,JINNY SAVAGE,Obodo
26,Greatman Takit,My Daddy
27,Laycon,Verified ft. Mayorkun
28,Burna Boy,Kilometre
29,Teni,FOR YOU ft. Davido
30,Crayon,Too Correct ft. Rema
31,Masterkraft,Hallelu ft. Bella Shmurda & Zlatan
32,Naira Marley,Koleyewon
33,WizKid,Ginger ft. Burna Boy
34,Zlatan,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod"
35,Ajebo Hustlers,Pronto ft. Omah Lay
36,Chinko Ekun,Jafafa ft. Mohbad
37,Dj Enimoney,Sugar Daddy ft. Olamide
38,terri,Money ft. Bella Shmurda & Mohbad
39,Slimcase,Focus Vibe
40,Skales,This Your Body ft. Davido
41,Luddy Dave,GAT ME SINGING
42,Speroachbeatz,Constantly ft. Mayorkun & Peruzzi
43,Blaq Jerzee,6AM
44,KDDO,Loco ft. Mayorkun
45,Masterkraft,Egbon ft. Phyno
46,Zinoleesky,Kilofese (Remix) ft. Mayorkun & Busiswa
47,Crayon,Jackpot ft. Bella Shumurda
48,Idowest,Kabaa ft. Mayorkun
49,Tems,The Key
