,artist,song
0,Davido,La La ft. Ckay
1,Buju,Outside
2,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
3,LADIPOE,Feeling ft. Buju
4,DJ Neptune,Music Messiah ft. Wande Coal
5,L.A.X,PEPE ft. Davido
6,Rexxie,KPK (Remix) ft. Sho Madjozi & MohBad
7,Wizkid,Essence ft. Tems
8,Greatman Takit,Peteru (Peter)
9,Teni,INJURE ME
10,Peruzzi,Somebody Baby ft. Davido
11,Naira Marley,Coming ft. Busiswa
12,Timaya,Don Dada
13,Zlatan,Cho Cho ft. Davido & Mayorkun
14,Greatman Takit,Story
15,Seyi Shay,Pempe ft. Yemi Alade
16,Wizerd,Joro Kini Joro
17,Mr Eazi,Rotate (Freestyle)
18,Victor AD,OLOFOFO
19,KDDO,Holy Ghost Fire ft. The Cavemen
20,Young Jonn,Off You ft. KiDi
21,Joeboy,Show Me
22,Ruger,Bounce
23,Akuchi,Whyne
24,Greatman Takit,My Daddy
25,Laycon,Verified ft. Mayorkun
26,Burna Boy,Kilometre
27,Teni,FOR YOU ft. Davido
28,Crayon,Too Correct ft. Rema
29,Masterkraft,Hallelu ft. Bella Shmurda & Zlatan
30,Naira Marley,Koleyewon
31,Wizkid,Ginger ft. Burna Boy
32,Zlatan,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod"
33,Ajebo Hustlers,Pronto ft. Omah Lay
34,Chinko Ekun,Jafafa ft. Mohbad
35,Dj Enimoney,Sugar Daddy ft. Olamide
36,terri,Money ft. Bella Shmurda & Mohbad
37,Slimcase,Focus Vibe
38,Skales,This Your Body ft. Davido
39,Luddy Dave,GAT ME SINGING
40,Speroachbeatz,Constantly ft. Mayorkun & Peruzzi
41,Blaq Jerzee,6AM
42,KDDO,Loco ft. Mayorkun
43,Masterkraft,Egbon ft. Phyno
44,Zinoleesky,Kilofese (Remix) ft. Mayorkun & Busiswa
45,Crayon,Jackpot ft. Bella Shumurda
46,Idowest,Kabaa ft. Mayorkun
47,Tems,The Key
