,artist,song
0,LADIPOE,Feeling ft. Buju
1,DJ Neptune,Music Messiah ft. Wande Coal
2,Greatman Takit,Peteru (Peter)
3,Greatman Takit,Story
4,Seyi Shay,Pempe ft. Yemi Alade
5,Wizerd,Joro Kini Joro
6,Mr Eazi,Rotate (Freestyle)
7,Joeboy,Show Me
8,Akuchi,Whyne
9,Greatman Takit,My Daddy
10,Burna Boy,Kilometre
11,Crayon,Too Correct ft. Rema
12,Zlatan,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod"
13,Slimcase,Focus Vibe
14,Skales,This Your Body ft. Davido
15,Luddy Dave,GAT ME SINGING
16,Blaq Jerzee,6AM
17,Crayon,Jackpot ft. Bella Shumurda
18,Idowest,Kabaa ft. Mayorkun
