,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Olamide,Rock
3,Ruger,Bounce
4,AV,Big Thug Boys
5,Jaywillz,Medicine
6,Joeboy,Show Me
7,Cheque,History ft. Fireboy DML
8,Joeboy,Focus
9,Burna Boy,Kilometre
10,Olamide,Infinity ft. Omah Lay
11,Buju,Testimony
12,Patoranking,Celebrate Me
13,Omah Lay,Godly
14,Chike,Running (To You) ft. Simi
15,Olamide,Triumphant ft. Bella Shmurda
16,Crayon,Too Correct ft. Rema
17,2Baba,Rise Up ft. Falz
18,Fireboy DML,Champion ft. D Smoke
19,Ruger,Abu Dhabi
20,Wizkid,Ginger ft. Burna Boy
21,Omah Lay,Can't Relate
22,Joeboy,Door ft. Kwesi Arthur
23,Burna Boy,Way Too Big
24,Teni,Dorime 
25,Wizkid,Blessed ft. Damian Marley
26,Seyi Vibez,Professor Peller ft. Zlatan
27,Patoranking,Abule
28,Teni,FOR YOU ft. Davido
29,Olamide,Julie
30,Joeboy,Lonely
31,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
32,Lil Kesh,Love Like This ft. Fireboy DML
33,Burna Boy,23
34,Omah Lay,My Bebe
35,Olamide,Loading ft. BadboyTimz
36,Omah Lay,Bad Influence 
37,Omah Lay,Lo Lo
38,Olamide,Need For Speed
39,Bella Shmurda,Adura ft. Mohbad
40,CKay,Felony
41,Chike,If You No Love
42,Joeboy,Door
43,Omah Lay,Confession
44,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
45,Naira Marley,Aye
46,Olamide,Jailer ft. Jaywillz
47,Wizkid,Essence ft. Tems
48,Gyakie,Forever (Remix) ft. Omah Lay
49,Ajebo Hustlers,Pronto ft. Omah Lay
