,artist,song
0,Omah Lay,Understand
1,LADIPOE,Feeling ft. Buju
2,Olamide,Rock
3,Ruger,Bounce
4,AV,Big Thug Boys
5,Joeboy,Show Me
6,Cheque,History ft. Fireboy DML
7,Jaywillz,Medicine
8,Joeboy,Focus
9,Olamide,Infinity ft. Omah Lay
10,Victor AD,Black ft. Mr Eazi
11,Victor AD,Any More ft. Phyno
12,Patoranking,Celebrate Me
13,Olamide,Triumphant ft. Bella Shmurda
14,2Baba,Rise Up ft. Falz
15,Omah Lay,Godly
16,Chike,Running (To You) ft. Simi
17,Burna Boy,Kilometre
18,Victor AD,OLOFOFO
19,Phyno,Bia
20,Olamide,Need For Speed
21,Buju,Testimony
22,Wizkid,Essence ft. Tems
23,Olamide,Julie
24,Crayon,Too Correct ft. Rema
25,Joeboy,Door ft. Kwesi Arthur
26,Fireboy DML,Champion ft. D Smoke
27,Omah Lay,Can't Relate
28,L.A.X,PEPE ft. Davido
29,Burna Boy,Way Too Big
30,Seyi Vibez,Professor Peller ft. Zlatan
31,Ruger,Abu Dhabi
32,Teni,FOR YOU ft. Davido
33,Olamide,Jailer ft. Jaywillz
34,Olamide,Somebody ft. Phyno
35,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
36,Victor AD,One Kiss
37,Patoranking,Abule
38,Lil Kesh,Love Like This ft. Fireboy DML
39,Olamide,Loading ft. BadboyTimz
40,Victor AD,Bless Boys
41,Joeboy,Lonely
42,Omah Lay,My Bebe
43,Burna Boy,23
44,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
45,Olamide,PonPon ft. Fave
46,Bella Shmurda,Adura ft. Mohbad
47,Chike,If You No Love
48,Teni,Dorime 
49,Chike,Roju
