,artist,song
0,LADIPOE,Feeling ft. Buju
1,Olamide,Rock
2,Joeboy,Show Me
3,Joeboy,Focus
4,Burna Boy,Kilometre
5,Olamide,Infinity ft. Omah Lay
6,Omah Lay,Godly
7,Olamide,Triumphant ft. Bella Shmurda
8,Teni,Dorime 
9,Chayuta,Shining Star
10,Coca Cola,Ginjaaah Your Flow ft. Mayorkun
11,2Baba,Rise Up ft. Falz
12,Falz,Mercy
13,Omah Lay,Can't Relate
14,Seyi Vibez,Professor Peller ft. Zlatan
15,Crayon,Too Correct ft. Rema
16,Joeboy,Door ft. Kwesi Arthur
17,Reeze,Wahala
18,Omah Lay,My Bebe
19,Bella Shmurda,Adura ft. Mohbad
20,Joeboy,Lonely
21,Olamide,Loading ft. BadboyTimz
22,Omah Lay,Bad Influence 
23,Lil Kesh,Love Like This ft. Fireboy DML
24,Olamide,Julie
25,Phyno,Bia
26,Chike,If You No Love
27,Omah Lay,Confession
