,artist,song
0,Olamide,Rock
1,LADIPOE,Feeling ft. Buju
2,Ruger,Bounce
3,Cheque,History ft. Fireboy DML
4,Joeboy,Show Me
5,Joeboy,Focus
6,AV,Big Thug Boys
7,Olamide,Need For Speed
8,Victor AD,OLOFOFO
9,Olamide,Infinity ft. Omah Lay
10,Dangbana Republik,Party Next Door ft. Bella Shmurda
11,Burna Boy,Kilometre
12,Olamide,Julie
13,Olamide,Somebody ft. Phyno
14,Chike,Running (To You) ft. Simi
15,Olamide,Triumphant ft. Bella Shmurda
16,Omah Lay,Godly
17,Jaywillz,Medicine
18,Patoranking,Celebrate Me
19,Olamide,Jailer ft. Jaywillz
20,Wizkid,Essence ft. Tems
21,Crayon,Too Correct ft. Rema
22,Barry Jhay,Ayewada
23,Mr Eazi,Breakup Riddim ft. Nhlanhla Nciza
24,Olamide,PonPon ft. Fave
25,L.A.X,PEPE ft. Davido
26,Joeboy,Door ft. Kwesi Arthur
27,Gyakie,Forever (Remix) ft. Omah Lay
28,Omah Lay,Can\'t Relate
29,DJ Neptune,Music Messiah ft. Wande Coal
30,Olamide,Want ft. Fave
31,Fireboy DML,Champion ft. D Smoke
32,Chike,If You No Love
33,Olamide,Cup Of Tea
34,Burna Boy,Way Too Big
35,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
36,Patoranking,Abule
37,Bella Shmurda,Cash App ft. Zlatan & Lincoln
38,Mr Eazi,Rotate (Freestyle)
39,Burna Boy,23
40,Olamide,Loading ft. BadboyTimz
41,Omah Lay,You
42,Bella Shmurda,Adura ft. Mohbad
43,Omah Lay,My Bebe
44,Olamide,Petty (Bonus Track)
45,Joeboy,Lonely
46,Davido,La La ft. Ckay
47,Oyin,Ife ft. Qdot
48,Olamide,Rough Up ft. Layydoe
49,Flavour,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz
