,artist,song
0,Olamide,Rock
1,LADIPOE,Feeling ft. Buju
2,Ruger,Bounce
3,Olamide,Need For Speed
4,Cheque,History ft. Fireboy DML
5,Joeboy,Show Me
6,Joeboy,Focus
7,Olamide,Somebody ft. Phyno
8,Burna Boy,Kilometre
9,Olamide,Jailer ft. Jaywillz
10,Olamide,Julie
11,Olamide,Want ft. Fave
12,Olamide,Infinity ft. Omah Lay
13,Chike,Running (To You) ft. Simi
14,Omah Lay,Godly
15,Victor AD,OLOFOFO
16,Olamide,PonPon ft. Fave
17,2jaja,Freestyle
18,Olamide,Triumphant ft. Bella Shmurda
19,Patoranking,Celebrate Me
20,Olamide,Cup Of Tea
21,Crayon,Too Correct ft. Rema
22,Wizkid,Essence ft. Tems
23,Olamide,Rough Up ft. Layydoe
24,Olamide,Petty (Bonus Track)
25,L.A.X,PEPE ft. Davido
26,Gyakie,Forever (Remix) ft. Omah Lay
27,Chike,If You No Love
28,Olamide,So Much More
29,Barry Jhay,Ayewada
30,Joeboy,Door ft. Kwesi Arthur
31,Kendickson,Lole
32,Davido,La La ft. Ckay
33,DJ Neptune,Music Messiah ft. Wande Coal
34,Omah Lay,Can\'t Relate
35,Fireboy DML,Champion ft. D Smoke
36,Burna Boy,Way Too Big
37,Mr Eazi,Rotate (Freestyle)
38,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
39,Davido,The Best ft. Mayorkun
40,Patoranking,Abule
41,Bella Shmurda,Cash App ft. Zlatan & Lincoln
42,Burna Boy,23
43,Omah Lay,Bad Influence
44,Omah Lay,Damn
45,Olamide,Loading ft. BadboyTimz
46,Omah Lay,You
47,Bella Shmurda,Adura ft. Mohbad
48,Flavour,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz
49,AV,Big Thug Boys
