,artist,song
0,Olamide,Rock
1,Victor AD,OLOFOFO
2,Cheque,History ft. Fireboy DML
3,Burna Boy,Kilometre
4,LADIPOE,Feeling ft. Buju
5,Joeboy,Focus
6,Naira Marley,Coming ft. Busiswa
7,Omah Lay,Godly
8,Joeboy,Show Me
9,Chike,Running (To You) ft. Simi
10,Crayon,Too Correct ft. Rema
11,Joeboy,Door ft. Kwesi Arthur
12,Olamide,Infinity ft. Omah Lay
13,Teni,FOR YOU ft. Davido
14,Adekunle Gold,It Is What It Is
15,Slimcase,Focus Vibe
16,Gyakie,Forever
17,Omah Lay,Can\'t Relate
18,Olamide,Triumphant ft. Bella Shmurda
19,Davido,La La ft. Ckay
20,Burna Boy,Way Too Big
21,Teni,INJURE ME
22,Steve Crown,Your Love ft. Tope Alabi
23,Tekno,Enjoy (Remix) ft. Mafikizolo
24,Erigga,Dick Appointment
25,Erigga,Many Nites
26,Peruzzi,Somebody Baby ft. Davido
27,DJ Spinall,Sere (Remix) ft. Fireboy DML & 6LACK
28,Chidinma,Jehovah Overdo
29,Omah Lay,My Bebe
30,Falz,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar"
31,Naira Marley,Koleyewon
32,Onos,Faithful God (Live)
33,Omah Lay,You
34,Gyakie,Forever (Remix) ft. Omah Lay
35,KDDO,Loco ft. Mayorkun
36,Dangbana Republik,World ft. Bella Shmurda
37,Timaya,Don Dada
38,Fireboy DML,Champion ft. D Smoke
39,Dj Enimoney,Sugar Daddy ft. Olamide
40,J. Cole,9 5 . s o u t h
41,9ice,Iwaju
42,Patoranking,Abule
43,DJ Tunez,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay"
44,Nathaniel Bassey,Hallelujah Challenge Praise Medley
45,Zlatan,Cho Cho ft. Davido & Mayorkun
46,Nicki Minaj,Seeing Green ft. Drake & Lil Wayne
47,Ruger,Bounce
48,Burna Boy,23
49,J. Cole,m y . l i f e ft. 21 Savage & Morray
50,Olamide,Loading ft. BadboyTimz
51,Omah Lay,Bad Influence 
52,Seyi Shay,Pempe ft. Yemi Alade
53,Blaqbonez,Bling ft. Amaarae & Buju
54,Chike,If You No Love
55,Joeboy,Lonely
56,Naira Marley,Aye
57,Zlatan,Lagos Anthem
58,Mr Real,Baba Fela (Remix) ft. Laycon & Zlatan
59,CKay,Felony
60,Omah Lay,Bad Influence
61,Davido,The Best ft. Mayorkun
62,Omah Lay,Confession
63,Mrolaide ,Forgive
64,Judikay,Capable God
65,Zlatan,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod"
66,Erigga,The End
67,Justin Bieber,Loved By You ft. Burna Boy
68,Mr. P,"I Love You ft. Teni, Simi & Tamar Braxton"
69,Dj Kaywise,High Way ft. Phyno
70,Ajebo Hustlers,Pronto ft. Omah Lay
71,Omah Lay,Damn ft. 6Lack
72,Laycon,Verified ft. Mayorkun
73,Luddy Dave,GAT ME SINGING
74,Lil Kesh,Love Like This ft. Fireboy DML
75,J. Cole,i n t e r l u d e
76,J. Cole,p r i d e . i s . t h e . d e v i l ft. Lil Baby
77,Bella Shmurda,Adura ft. Mohbad
78,Omah Lay,Lo Lo
79,J. Cole,a m a r i
80,Erigga,I No Wear Pant
81,Erigga,Wahala Dey
82,Masterkraft,Egbon ft. Phyno
83,Davido,Jowo
84,Bella Shmurda,Cash App ft. Zlatan & Lincoln
85,Steve Crown,What A Mighty God ft. Nathaniel Bassey
86,Justin Bieber,Peaches ft. Daniel Caesar & Giveon
87,Joeboy,Call
88,Dangbana Republik,Rush
89,Wizkid,Essence ft. Tems
90,Crayon,Jackpot ft. Bella Shumurda
91,Kida Kudz,Ball Till We Fall ft. Bella Shmurda
92,Omah Lay,Damn
93,Blaqbonez,Fendi ft. Joeboy
94,Burna Boy,Bank On It
95,Chike,Roju
96,Masterkraft,Hallelu ft. Bella Shmurda & Zlatan
97,Burna Boy,Real Life ft. Stormzy
98,Jae5,Dimension ft. Skepta & Rema
99,Runtown,If E Happen For Lagos
