rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Peru,Fireboy DML,1,1,1,1,1,1,1,1.0
2,Outside,Buju,2,2,2,2,2,2,2,2.0
3,La La ft. Ckay,Davido,3,3,3,3,3,3,3,3.0
4,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar",Falz,4,4,4,4,4,4,4,4.0
5,Feeling ft. Buju,LADIPOE,5,5,5,5,5,5,5,5.0
6,Music Messiah ft. Wande Coal,DJ Neptune,6,6,6,6,6,6,6,6.0
7,PEPE ft. Davido,L.A.X,7,7,7,7,7,7,7,7.0
8,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie,8,8,8,8,8,8,8,8.0
9,Essence ft. Tems,Wizkid,9,9,9,9,9,9,9,9.0
10,Peteru (Peter),Greatman Takit,10,10,10,10,10,10,10,10.0
11,INJURE ME,Teni,11,11,11,11,11,11,11,11.0
12,Somebody Baby ft. Davido,Peruzzi,12,12,12,12,12,12,12,12.0
13,Coming ft. Busiswa,Naira Marley,13,13,13,13,13,13,13,13.0
14,Don Dada,Timaya,14,14,14,14,14,14,14,14.0
15,Cho Cho ft. Davido & Mayorkun,Zlatan,15,15,15,15,15,15,15,15.0
16,Story,Greatman Takit,16,16,16,16,16,16,16,16.0
17,Pempe ft. Yemi Alade,Seyi Shay,17,17,17,17,17,17,17,17.0
18,Joro Kini Joro,Wizerd,18,18,18,18,18,18,18,18.0
19,Rotate (Freestyle),Mr Eazi,19,19,19,19,19,19,19,19.0
20,OLOFOFO,Victor AD,20,20,20,20,20,20,20,20.0
21,Holy Ghost Fire ft. The Cavemen,KDDO,21,21,21,21,21,21,21,21.0
22,Off You ft. KiDi,Young Jonn,22,22,22,22,22,22,22,22.0
23,Show Me,Joeboy,23,23,23,23,23,23,23,23.0
24,Bounce,Ruger,24,24,24,24,24,24,24,24.0
25,Whyne,Akuchi,25,25,25,25,25,25,25,25.0
26,My Daddy,Greatman Takit,26,26,27,27,27,27,27,26.714285714285715
27,Verified ft. Mayorkun,Laycon,27,27,28,28,28,28,28,27.714285714285715
28,Kilometre,Burna Boy,28,28,29,29,29,29,29,28.714285714285715
29,FOR YOU ft. Davido,Teni,29,29,30,30,30,30,30,29.714285714285715
30,Too Correct ft. Rema,Crayon,30,30,31,31,31,31,31,30.714285714285715
31,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,31,31,32,32,32,32,32,31.714285714285715
32,Koleyewon,Naira Marley,32,32,33,33,33,33,33,32.714285714285715
33,Ginger ft. Burna Boy,Wizkid,33,33,34,34,34,34,34,33.714285714285715
34,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod",Zlatan,34,34,35,35,35,35,35,34.714285714285715
35,Pronto ft. Omah Lay,Ajebo Hustlers,35,35,36,36,36,36,36,35.714285714285715
36,Jafafa ft. Mohbad,Chinko Ekun,36,36,37,37,37,37,37,36.714285714285715
37,Sugar Daddy ft. Olamide,Dj Enimoney,37,37,38,38,38,38,38,37.714285714285715
38,Money ft. Bella Shmurda & Mohbad,terri,38,38,39,39,39,39,39,38.714285714285715
39,Focus Vibe,Slimcase,39,39,40,40,40,40,40,39.714285714285715
40,This Your Body ft. Davido,Skales,40,40,41,41,41,41,41,40.714285714285715
41,GAT ME SINGING,Luddy Dave,41,41,42,42,42,42,42,41.714285714285715
42,Constantly ft. Mayorkun & Peruzzi,Speroachbeatz,42,42,43,43,43,43,43,42.714285714285715
43,6AM,Blaq Jerzee,43,43,44,44,44,44,44,43.714285714285715
44,Loco ft. Mayorkun,KDDO,44,44,45,45,45,45,45,44.714285714285715
45,Egbon ft. Phyno,Masterkraft,45,45,46,46,46,46,46,45.714285714285715
46,Kilofese (Remix) ft. Mayorkun & Busiswa,Zinoleesky,46,46,47,47,47,47,47,46.714285714285715
47,Jackpot ft. Bella Shumurda,Crayon,47,47,48,48,48,48,48,47.714285714285715
48,Kabaa ft. Mayorkun,Idowest,48,48,49,49,49,49,49,48.714285714285715
49,The Key,Tems,49,49,50,50,50,50,50,49.714285714285715
50,Obodo,JINNY SAVAGE,201,201,26,26,26,26,26,76.0
