rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Rock,Olamide,1,1,1,1,1,1,1,1.0
2,Feeling ft. Buju,LADIPOE,2,2,2,2,2,2,2,2.0
3,Bounce,Ruger,3,3,3,3,3,3,3,3.0
4,History ft. Fireboy DML,Cheque,4,4,4,4,4,4,4,4.0
5,Show Me,Joeboy,5,5,5,5,5,5,5,5.0
6,Need For Speed,Olamide,6,6,6,6,6,6,7,6.142857142857143
7,Focus,Joeboy,7,7,7,7,7,7,6,6.857142857142857
8,Kilometre,Burna Boy,8,8,8,8,8,10,11,8.714285714285714
9,Infinity ft. Omah Lay,Olamide,9,9,9,10,11,11,10,9.857142857142858
10,OLOFOFO,Victor AD,13,11,11,12,10,9,9,10.714285714285714
11,Somebody ft. Phyno,Olamide,10,10,10,11,13,13,14,11.571428571428571
12,Julie,Olamide,15,16,12,9,9,12,13,12.285714285714286
13,Jailer ft. Jaywillz,Olamide,11,13,13,14,14,16,19,14.285714285714286
14,Running (To You) ft. Simi,Chike,14,14,16,16,16,15,16,15.285714285714286
15,Godly,Omah Lay,12,12,14,18,18,17,18,15.571428571428571
16,Triumphant ft. Bella Shmurda,Olamide,16,15,15,15,17,18,15,15.857142857142858
17,Celebrate Me,Patoranking,20,20,20,17,15,14,17,17.571428571428573
18,Big Thug Boys,AV,35,30,19,13,12,8,8,17.857142857142858
19,Too Correct ft. Rema,Crayon,18,18,17,19,19,21,21,19.0
20,PonPon ft. Fave,Olamide,17,17,18,20,22,23,23,20.0
21,PEPE ft. Davido,L.A.X,23,24,22,22,21,22,22,22.285714285714285
22,Essence ft. Tems,Wizkid,24,26,23,21,20,19,24,22.428571428571427
23,Want ft. Fave,Olamide,22,22,24,23,24,25,29,24.142857142857142
24,Ayewada,Barry Jhay,26,23,25,26,25,24,25,24.857142857142858
25,Door ft. Kwesi Arthur,Joeboy,29,28,28,27,26,26,26,27.142857142857142
26,Cup Of Tea,Olamide,28,27,27,28,27,29,30,28.0
27,If You No Love,Chike,25,25,26,34,34,30,32,29.428571428571427
28,Music Messiah ft. Wande Coal,DJ Neptune,33,34,30,29,28,28,27,29.857142857142858
29,Forever (Remix) ft. Omah Lay,Gyakie,27,29,29,33,31,31,31,30.142857142857142
30,Can\'t Relate,Omah Lay,34,35,33,30,29,27,28,30.857142857142858
31,Rough Up ft. Layydoe,Olamide,32,33,31,32,33,37,39,33.857142857142854
32,Petty (Bonus Track),Olamide,31,32,32,35,39,36,38,34.714285714285715
33,Champion ft. D Smoke,Fireboy DML,39,39,38,37,35,32,33,36.142857142857146
34,Rotate (Freestyle),Mr Eazi,37,38,39,40,37,38,35,37.714285714285715
35,Way Too Big,Burna Boy,41,41,42,39,38,33,34,38.285714285714285
36,Abule,Patoranking,38,37,41,38,40,39,37,38.57142857142857
37,La La ft. Ckay,Davido,30,31,36,44,44,43,44,38.857142857142854
38,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay",DJ Tunez,40,42,43,43,41,35,36,40.0
39,So Much More,Olamide,36,36,37,41,42,41,49,40.285714285714285
40,Cash App ft. Zlatan & Lincoln,Bella Shmurda,44,45,44,47,43,42,42,43.857142857142854
41,23,Burna Boy,50,49,46,45,45,45,43,46.142857142857146
42,Loading ft. BadboyTimz,Olamide,47,48,49,48,47,48,45,47.42857142857143
43,All ft. Davido,Rexxie,19,19,21,24,30,44,201,51.142857142857146
44,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie,48,50,40,31,36,50,201,65.14285714285714
45,You,Omah Lay,45,44,48,46,48,201,48,68.57142857142857
46,Medicine,Jaywillz,201,201,35,25,23,20,20,75.0
47,Adura ft. Mohbad,Bella Shmurda,201,201,45,49,46,40,40,88.85714285714286
48,My Bebe,Omah Lay,49,47,201,50,49,201,47,92.0
49,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz,Flavour,21,21,34,42,201,201,201,103.0
50,Somebody Baby ft. Davido,Peruzzi,46,40,50,201,201,201,50,112.71428571428571
51,Bad Influence,Omah Lay,201,201,201,201,50,46,46,135.14285714285714
52,Lole,Kendickson,201,201,201,201,32,34,201,153.0
53,The Best ft. Mayorkun,Davido,42,43,201,201,201,201,201,155.71428571428572
54,Decision ft. Medikal,Wendy Shay,43,46,201,201,201,201,201,156.28571428571428
55,Party Next Door ft. Bella Shmurda,Dangbana Republik,201,201,201,201,201,201,12,174.0
56,Freestyle,2jaja,201,201,201,36,201,201,201,177.42857142857142
57,Breakup Riddim ft. Nhlanhla Nciza,Mr Eazi,201,201,201,201,201,201,41,178.14285714285714
58,Damn,Omah Lay,201,201,201,201,201,47,201,179.0
59,World ft. Bella Shmurda,Dangbana Republik,201,201,47,201,201,201,201,179.0
60,Bank On It,Burna Boy,201,201,201,201,201,49,201,179.28571428571428
