,artist,song
0,Ada Ehi,Everything
1,Ada Ehi,Never Go Down ft. Limoblaze
2,Moses Bliss,Too Faithful
3,Ada Ehi,Congratulations ft. Buchi
4,Diana Hamilton,Adom Grace
5,Ada Ehi,"Congratulations ft, Buchi"
6,Steve Crown,You Are Yahweh
7,Mercy Chinwo,Obinasom
8,Nathaniel Bassey,Hallelujah Challenge Praise Medley
9,Ada Ehi,More Than Enough
10,Steve Crown,You Are Great
11,Ada Ehi,Fix My Eyes On You ft. Sinach
12,Ada Ehi,Thank You For My Life
13,Ada Ehi,Now
14,Dunsin Oyekan,Fragrance to Fire
15,Steve Crown,Hosanna
16,Moses Bliss,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple"
17,Steve Crown,All The Glory
18,Samsong,Jesus ft. Mercy Chinwo
19,Sinach,Way Maker
20,Nathaniel Bassey,Yeshua Hamashiach
21,Moses Bliss,Taking Care
22,Sinach,Omemma
23,Nathaniel Bassey,Emmanuel
24,Nathaniel Bassey,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba"
25,Onos,Faithful God (Live)
26,Steve Crown,Your Love ft. Tope Alabi
27,Chidinma,Jehovah Overdo
28,Victoria Orenze,Spirit Chant
29,Frank Edwards,CHIOMA (AFRO VIBE)
30,Nathaniel Bassey,Hallelujah Challenge Worship Medley
31,Nathaniel Bassey,Yahweh Yahweh ft. Sinach
32,Frank Edwards,NO OTHER NAME
33,Prospa Ochimana,Ekwueme ft. Osinachi Nwachukwu (ETTWP)
34,Goodluck Gozbert,Kampeni
35,David G,Covenant Keeper
36,Joe Mettle,Yesu Mo
37,Nathaniel Bassey,Olorun Agbaye - You Are Mighty ft. Chandler Moore & Oba
38,Diana Hamilton,Nyansabuakwa Nyame
39,Dunsin Oyekan,Yah
40,Tope Alabi,Yes And Amen
41,Tosin Ajolore,You Are Not Man
42,Ada Ehi,New Level
43,Dunsin Oyekan,At All Cost
44,Chris Shalom,My Beautifier
45,Ada Ehi,Finally
46,Elijah Oyelade,All Because Of You
47,Moses Bliss,You I Live For ft. Loveworld Indomitable Choir
48,Moses Bliss,Bigger Everyday
49,Victoria Orenze,Have Mercy (Live)
50,Indira,Je Laisse Tout A Dieu
51,Jimmy D Psalmist,My Father My God
52,Mercy Chinwo,Na You Dey Reign
53,Steve Crown,Mighty God ft. Nathaniel Bassey
54,Ada Ehi,iTestify
55,Dunsin Oyekan,You Remain the Same
56,Mercy Chinwo,Onememma ft. Chioma Jesus
57,Eben,Jesus Power
58,Ada Ehi,Settled
59,JayMikee,Heaven
60,Joe Praize,Unchangeable God
61,Minister GUC,All That Matters
62,Dunsin Oyekan,Worship Your Maker
63,Joe Mettle,Ye Obua Mi (My Help)
64,Chioma Jesus,Bulldozer
65,Dunsin Oyekan,More Than a Song
66,Celestine Donkor,Agbebolo ft. NHYIRABA GIDEON
67,Steve Crown,Imela
68,Mike Abdul,Baba Ese ft. Yoruba Mass Choir
69,Tope Alabi,You Are Worthy
70,Goodluck Gozbert,Afadhali Yesu ft.Guardian Angel
71,Joyce Blessing,Adam Nana
72,Tope Alabi,Lae La O Ma Bo Oluwa
73,Tim Godfrey,Nara
74,Indira,Je Veux Te Louer
75,Chioma Jesus,Okemmuo Ft. Mercy Chinwo
76,Ada Ehi,I Overcame
77,Solomon Lange,Mai Taimako Na (My Helper)
78,Moses Bliss,You I Live For
79,Mercy Chinwo,Chinedum
80,Solomon Lange,I Will Praise You
81,Yinka Ayefele,Ekundayo
82,Sinach,All Things Are Ready
83,Ada Ehi,Cheta 
84,Mercy Chinwo,Excess Love
85,Chris Shalom,JESUS
86,Moses Bliss,In Your Hands
87,Mercy Chinwo,Akamdinelu
88,ROSNY KAYIBA,Nazo bondela yo (Je te prie)
89,Tope Alabi,Halleluyah
90,MOGmusic,Local Praise
91,Eben,The Harvest
92,Jimmy D Psalmist,Mighty Man of War
93,Joe Mettle,My Everything
94,Ada Ehi,Notice
95,Frank Edwards,Under The Canopy
96,Tope Alabi,Jesu Ore Otito
97,Prinx Emmanuel,God No Go Shame Us
98,Mercy Chinwo,Oyoyo Chukwu ft. Israel Dammy & EeZee Tee
99,Steve Crown,What A Mighty God ft. Nathaniel Bassey
