rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Monalisa ft. Sarz,Lojay,2,4,4,2,4,3,11,4.285714285714286
2,Wonder ft. Patoranking,Dremo,13,15,15,5,5,5,13,10.142857142857142
3,Check Yourself,Kaptain,15,19,18,17,8,14,26,16.714285714285715
4,Bounce (UK Remix) ft. Midas The Jagaban,Ruger,14,18,22,19,9,17,27,18.0
5,Koleyewon,Naira Marley,16,20,24,20,12,18,30,20.0
6,Early Momo ft. Good Girl LA,Vector,17,22,28,22,19,20,32,22.857142857142858
7,Dimension ft. Skepta & Rema,Jae5,18,23,32,21,17,21,33,23.571428571428573
8,For the Money ft. Peruzzi,Phyno,19,24,36,26,21,23,34,26.142857142857142
9,Late At Night,Roddy Ricch,23,30,40,28,27,24,35,29.571428571428573
10,Many Nites,Erigga,21,29,41,31,25,25,37,29.857142857142858
11,Non Living Thing feat. Oxlade,Sarkodie,22,28,39,30,26,27,38,30.0
12,Good Girls ft. Grafezzy,PlaTBoss,1,1,1,11,1,1,201,31.0
13,System ft. WizKid,Dave,20,27,44,35,29,30,41,32.285714285714285
14,All My Life (feat. Oxlade),M.I Abaga,24,33,45,34,28,26,40,32.857142857142854
15,Off The Grid,Kanye West,201,16,2,3,2,2,5,33.0
16,Praise God,Kanye West,201,14,3,1,3,4,10,33.714285714285715
17,Matriculation (Intro),PlaTBoss,4,3,5,6,11,7,201,33.857142857142854
18,Hustler's Tale,PlaTBoss,5,5,6,7,13,8,201,35.0
19,Politics and Lies,PlaTBoss,6,6,7,8,15,9,201,36.0
20,Jack,Nasty C,25,36,50,39,35,29,43,36.714285714285715
21,Trust Issues,PlaTBoss,7,7,8,9,16,10,201,36.857142857142854
22,Jail,Kanye West,201,13,12,4,6,6,18,37.142857142857146
23,Tomorrow Never Comes,PlaTBoss,8,8,9,10,18,11,201,37.857142857142854
24,Balling,PlaTBoss,9,9,10,12,20,12,201,39.0
25,Living It Up,PlaTBoss,10,10,11,13,22,13,201,40.0
26,Indifferent,PlaTBoss,11,11,13,14,23,15,201,41.142857142857146
27,Graduation,PlaTBoss,12,12,14,16,24,16,201,42.142857142857146
28,God Breathed,Kanye West,201,17,17,15,10,19,42,45.857142857142854
29,Hurricane,Kanye West,201,26,16,18,14,22,36,47.57142857142857
30,Donda,Kanye West,201,25,21,24,31,35,46,54.714285714285715
31,Dick Appointment,Erigga,27,34,201,42,36,31,45,59.42857142857143
32,Second Sermon,Black Sherif,26,35,201,47,37,32,44,60.285714285714285
33,Stay High,Juice WRLD,29,41,201,43,42,34,48,62.57142857142857
34,Ride,Mrolaide ,32,201,201,27,7,40,12,74.28571428571429
35,Donda Chant,Kanye West,201,21,20,23,30,33,201,75.57142857142857
36,Jonah,Kanye West,201,31,19,25,33,36,201,78.0
37,No Child Left Behind,Kanye West,201,46,26,29,32,38,201,81.85714285714286
38,Believe What I Say,Kanye West,201,32,27,33,40,45,201,82.71428571428571
39,The Box,Roddy Ricch,34,42,201,201,43,39,47,86.71428571428571
40,Ok Ok,Kanye West,201,39,23,32,39,201,201,105.14285714285714
41,Moon,Kanye West,201,201,30,37,38,48,201,108.0
42,Coachella feat. Kwesi Arthur,Sarkodie,201,201,201,45,34,28,49,108.42857142857143
43,Jesus Lord,Kanye West,201,201,33,36,41,49,201,108.85714285714286
44,Die Young,Roddy Ricch,35,45,201,201,47,41,201,110.14285714285714
45,Dior,Pop Smoke,31,44,201,201,50,47,201,110.71428571428571
46,Wishing Well,Juice WRLD,37,49,201,201,45,44,201,111.14285714285714
47,Mood Swings ft. Lil Tjay,Pop Smoke,36,47,201,201,49,50,201,112.14285714285714
48,Knack,Lyrical Joe,3,2,25,201,201,201,201,119.14285714285714
49,Junya,Kanye West,201,43,29,38,201,201,201,130.57142857142858
50,24,Kanye West,201,48,31,44,201,201,201,132.42857142857142
51,Lord I Need You,Kanye West,201,201,37,40,46,201,201,132.42857142857142
52,Campaign ft. Ice Prince & BOJ,Efe,201,201,201,49,44,37,201,133.42857142857142
53,Voice of the Heroes ft. Lil Durk,LiL Baby,28,37,201,201,201,201,201,152.85714285714286
54,Rich Off Pain ft. Lil Durk & Rod Wave,LiL Baby,30,40,201,201,201,201,201,153.57142857142858
55,Heaven and Hell,Kanye West,201,201,34,41,201,201,201,154.28571428571428
56,Remote Control,Kanye West,201,201,35,46,201,201,201,155.14285714285714
57,Robbery,Juice WRLD,41,201,201,201,201,42,201,155.42857142857142
58,Keep My Spirit Alive,Kanye West,201,201,38,48,201,201,201,155.85714285714286
59,Tonongo ft. Sarz,Lojay,39,201,201,201,48,201,201,156.0
60,Sorry ft. Mohbad,Balloranking,40,50,201,201,201,201,201,156.42857142857142
61,Jail pt 2,Kanye West,201,201,42,50,201,201,201,156.71428571428572
62,Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,201,201,201,201,201,43,50,156.85714285714286
63,Fountains ft. Tems,Drake,201,201,201,201,201,201,1,172.42857142857142
64,Girls Want Girls ft. Lil Baby,Drake,201,201,201,201,201,201,2,172.57142857142858
65,Champagne Poetry,Drake,201,201,201,201,201,201,3,172.71428571428572
66,TSU,Drake,201,201,201,201,201,201,4,172.85714285714286
67,Fair Trade ft. Travis Scott,Drake,201,201,201,201,201,201,6,173.14285714285714
68,Love All ft. JA, - Drake,201,201,201,201,201,201,7,173.28571428571428
69,In The Bible ft. Lil Durk & Giveon,Drake,201,201,201,201,201,201,8,173.42857142857142
70,Papixe2x80x99s Home,Drake,201,201,201,201,201,201,9,173.57142857142858
71,Way 2 Sexy ft. Future & Young Thug,Drake,201,201,201,201,201,201,14,174.28571428571428
72,N 2 Deep ft. Future,Drake,201,201,201,201,201,201,15,174.42857142857142
73,Get Along Better ft. Ty Dolla $ign,Drake,201,201,201,201,201,201,16,174.57142857142858
74,You Only Live Twice ft. Lil Wayne & Rick Ross,Drake,201,201,201,201,201,201,17,174.71428571428572
75,Knife Talk ft. 21 Savage & Project Pat,Drake,201,201,201,201,201,201,19,175.0
76,Pipe Down,Drake,201,201,201,201,201,201,20,175.14285714285714
77,No Friends In The Industry,Drake,201,201,201,201,201,201,21,175.28571428571428
78,7am On Bridle Path,Drake,201,201,201,201,201,201,22,175.42857142857142
79,Yebbaxe2x80x99s Heartbreak ft. Yebba,Drake,201,201,201,201,201,201,23,175.57142857142858
80,IMY2 ft. Kid Cudi,Drake,201,201,201,201,201,201,24,175.71428571428572
81,Race My Mind,Drake,201,201,201,201,201,201,25,175.85714285714286
82,Fucking Fans,Drake,201,201,201,201,201,201,28,176.28571428571428
83,The Remorse,Drake,201,201,201,201,201,201,29,176.42857142857142
84,La Vida,M.anifest,201,201,201,201,201,201,31,176.71428571428572
85,Up,Cardi B,33,201,201,201,201,201,201,177.0
86,Wahala Dey,Erigga,38,201,201,201,201,201,201,177.71428571428572
87,Naija Vibes,Signature,201,38,201,201,201,201,201,177.71428571428572
88,Go Low,Ms Banks,201,201,201,201,201,201,39,177.85714285714286
89,East To West ft. Jeriq,Dremo,42,201,201,201,201,201,201,178.28571428571428
90,Pure Souls,Kanye West,201,201,43,201,201,201,201,178.42857142857142
91,I No Wear Pant,Erigga,43,201,201,201,201,201,201,178.42857142857142
92,Bout A Million ft. 21 Savage & 42 Dugg,Pop Smoke,44,201,201,201,201,201,201,178.57142857142858
93,Ego ft. Jeriq,Dremo,45,201,201,201,201,201,201,178.71428571428572
94,New Again,Kanye West,201,201,46,201,201,201,201,178.85714285714286
95,Smile ft. The Weeknd,Juice WRLD,201,201,201,201,201,46,201,178.85714285714286
96,Down Below,Roddy Ricch,46,201,201,201,201,201,201,178.85714285714286
97,Align ft. LadiPoe,Show Dem Camp,47,201,201,201,201,201,201,179.0
98,Tell The Vision,Kanye West,201,201,47,201,201,201,201,179.0
99,Jesus Lord pt 2,Kanye West,201,201,48,201,201,201,201,179.14285714285714
100,High Fashion (feat. Mustard),Roddy Ricch,48,201,201,201,201,201,201,179.14285714285714
101,Come to Life,Kanye West,201,201,49,201,201,201,201,179.28571428571428
102,"Crown Of Clay (Remix) ft. Dip Doundou Guiss, Khaligraph Jones & Ashs The Best",Vector,49,201,201,201,201,201,201,179.28571428571428
103,Tell The Vision ft. Kanye West & Pusha T,Pop Smoke,50,201,201,201,201,201,201,179.42857142857142
